"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","35歳未満／実数（円）","35歳未満／構成比（％）","35～39歳／実数（円）","35～39歳／構成比（％）","40～44歳／実数（円）","40～44歳／構成比（％）","45～49歳／実数（円）","45～49歳／構成比（％）","50～54歳／実数（円）","50～54歳／構成比（％）","55～59歳／実数（円）","55～59歳／構成比（％）","60～64歳／実数（円）","60～64歳／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,978,-,1012,-,1328,-,1593,-,1703,-,1415,-,1028,-,944,-
"0","0","0","0","0","調査世帯数",340,-,32,-,35,-,45,-,56,-,57,-,48,-,36,-,31,-
"0","0","0","0","0","世帯人員",3.27,-,3.02,-,3.62,-,3.78,-,3.52,-,3.56,-,3.04,-,2.73,-,2.40,-
"0","0","0","0","0","有業人員",1.74,-,1.62,-,1.59,-,1.51,-,1.66,-,1.85,-,1.97,-,1.96,-,1.69,-
"0","0","0","0","0","世帯主平均年齢",49.7,-,31.0,-,37.0,-,42.0,-,47.1,-,51.9,-,56.9,-,61.8,-,70.4,-
"1","0","0","0","0","受取",1445626,-,1583697,-,1462846,-,1615410,-,1489095,-,1575925,-,1492520,-,1201572,-,905630,-
"1","1","0","0","0","実収入",684038,100.0,696394,100.0,681459,100.0,730092,100.0,722451,100.0,800776,100.0,732119,100.0,556754,100.0,421256,100.0
"1","2","0","0","0","経常収入",669443,97.9,663471,95.3,666816,97.9,716628,98.2,708589,98.1,791308,98.8,723141,98.8,532576,95.7,414288,98.3
"1","3","0","0","0","勤め先収入",634811,92.8,643032,92.3,643413,94.4,698082,95.6,682744,94.5,776008,96.9,697524,95.3,492526,88.5,277399,65.9
"1","4","0","0","0","世帯主収入",523887,76.6,503822,72.3,533611,78.3,578500,79.2,576900,79.9,620994,77.5,588261,80.4,411421,73.9,238056,56.5
"1","6","0","0","0","うち男",496403,72.6,468943,67.3,476586,69.9,570297,78.1,548827,76.0,582193,72.7,554712,75.8,404281,72.6,227702,54.1
"1","5","0","0","0","定期収入",421077,61.6,386060,55.4,408531,59.9,471658,64.6,462367,64.0,494812,61.8,457632,62.5,353792,63.5,220302,52.3
