"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","経営職／実数（円）","経営職／構成比（％）","管理職／実数（円）","管理職／構成比（％）","専門職／実数（円）","専門職／構成比（％）","事務職／実数（円）","事務職／構成比（％）","技術職／実数（円）","技術職／構成比（％）","商工職／実数（円）","商工職／構成比（％）","技能・労務職／実数（円）","技能・労務職／構成比（％）","その他／実数（円）","その他／構成比（％）","（再掲）勤労者世帯のうち正規の職員・従業員／実数（円）","（再掲）勤労者世帯のうち正規の職員・従業員／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,607,-,107,-,690,-,2690,-,968,-,629,-,1085,-,3226,-,4787,-
"0","0","0","0","0","調査世帯数",637,-,35,-,7,-,45,-,166,-,65,-,38,-,70,-,212,-,304,-
"0","0","0","0","0","世帯人員",2.90,-,3.15,-,3.57,-,3.18,-,3.27,-,3.35,-,2.91,-,3.13,-,2.26,-,3.35,-
"0","0","0","0","0","有業人員",1.32,-,1.74,-,1.90,-,1.66,-,1.74,-,1.72,-,1.83,-,1.77,-,0.42,-,1.74,-
"0","0","0","0","0","世帯主平均年齢",59.6,-,61.6,-,51.0,-,50.9,-,49.4,-,46.6,-,61.3,-,54.3,-,75.2,-,48.3,-
"2","2","0","0","0","生計支出",329608,-,404818,-,419978,-,394794,-,365935,-,388859,-,307754,-,281998,-,271265,-,362555,-
"2","3","0","0","0","消費支出",324667,100.0,404818,100.0,419978,100.0,390593,100.0,362842,100.0,362667,100.0,307754,100.0,281998,100.0,265776,100.0,356042,100.0
"2","4","1","0","0","食料",88881,27.4,103088,25.5,117987,28.1,99049,25.4,93952,25.9,94855,26.2,90142,29.3,80385,28.5,79817,30.0,93208,26.2
"2","5","1","1","0","穀類",6719,2.1,7693,1.9,8023,1.9,6517,1.7,6813,1.9,6482,1.8,6817,2.2,7030,2.5,6411,2.4,6780,1.9
"2","6","1","1","1","米類",1647,0.5,2214,0.5,2181,0.5,1316,0.3,1448,0.4,1477,0.4,1774,0.6,1864,0.7,1711,0.6,1529,0.4
"2","6","1","1","2","パン",2932,0.9,3002,0.7,3450,0.8,3158,0.8,3155,0.9,2694,0.7,2998,1.0,2915,1.0,2735,1.0,3029,0.9
"2","6","1","1","3","麺類",1608,0.5,1898,0.5,1731,0.4,1505,0.4,1662,0.5,1706,0.5,1486,0.5,1703,0.6,1493,0.6,1664,0.5
"2","6","1","1","4","他の穀類",531,0.2,579,0.1,661,0.2,539,0.1,547,0.2,604,0.2,559,0.2,549,0.2,473,0.2,558,0.2
"2","5","1","2","0","魚介類",6327,1.9,7737,1.9,6821,1.6,5938,1.5,5224,1.4,5469,1.5,6748,2.2,5290,1.9,7601,2.9,5257,1.5
"2","6","1","2","1","生鮮魚介",3566,1.1,4371,1.1,4198,1.0,3603,0.9,3046,0.8,3094,0.9,3945,1.3,2935,1.0,4115,1.5,3040,0.9
"2","6","1","2","2","塩干魚介",1088,0.3,1307,0.3,1071,0.3,896,0.2,911,0.3,876,0.2,1059,0.3,948,0.3,1360,0.5,901,0.3
"2","6","1","2","3","魚肉練製品",694,0.2,880,0.2,655,0.2,596,0.2,489,0.1,560,0.2,704,0.2,574,0.2,933,0.4,511,0.1
"2","6","1","2","4","他の魚介加工品",980,0.3,1179,0.3,898,0.2,843,0.2,778,0.2,940,0.3,1041,0.3,833,0.3,1193,0.4,804,0.2
"2","5","1","3","0","肉類",8337,2.6,10329,2.6,13696,3.3,9747,2.5,8857,2.4,9040,2.5,9584,3.1,8188,2.9,6683,2.5,9067,2.5
"2","6","1","3","1","生鮮肉",6768,2.1,8512,2.1,11560,2.8,8171,2.1,7294,2.0,7369,2.0,7677,2.5,6682,2.4,5248,2.0,7464,2.1
