1,"東京都生計分析調査　令和 4年 9月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",644,-,-,86,-,94,-,96,-,95,-,97,-,87,-,89,-
7,"0","世帯人員",2.88,-,-,2.70,-,2.59,-,2.70,-,2.85,-,2.90,-,3.21,-,3.20,-
8,"0","有業人員",1.34,-,-,1.32,-,1.00,-,1.19,-,1.36,-,1.30,-,1.56,-,1.62,-
9,"0","世帯主平均年齢",59.7,-,-,62.5,-,65.4,-,59.1,-,59.0,-,59.3,-,55.7,-,57.2,-
10,"0","消費支出",323288,100.0,4.3,101692,100.0,159164,100.0,212757,100.0,263469,100.0,322812,100.0,412014,100.0,787527,100.0
11,"2","基礎的支出",172467,53.3,-1.3,76117,74.9,115610,72.6,142013,66.7,164752,62.5,185822,57.6,226373,54.9,295126,37.5
12,"3","選択的支出",150821,46.7,11.5,25574,25.1,43555,27.4,70744,33.3,98717,37.5,136989,42.4,185642,45.1,492401,62.5
13,"1","食料",92980,28.8,0.7,54347,53.4,69685,43.8,84365,39.7,88363,33.5,106331,32.9,118839,28.8,128343,16.3
14,"2","基礎的支出",73696,22.8,-3.9,46708,45.9,61403,38.6,69243,32.5,71380,27.1,83031,25.7,93114,22.6,90600,11.5
15,"3","選択的支出",19283,6.0,22.9,7640,7.5,8282,5.2,15121,7.1,16983,6.4,23300,7.2,25725,6.2,37743,4.8
16,"1","住居",22438,6.9,-7.2,3462,3.4,5074,3.2,19208,9.0,19658,7.5,16105,5.0,38217,9.3,54944,7.0
