"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","20万円未満／実数（円）","20万円未満／構成比（％）","20万円以上30万円未満／実数（円）","20万円以上30万円未満／構成比（％）","30万円以上40万円未満／実数（円）","30万円以上40万円未満／構成比（％）","40万円以上50万円未満／実数（円）","40万円以上50万円未満／構成比（％）","50万円以上60万円未満／実数（円）","50万円以上60万円未満／構成比（％）","60万円以上70万円未満／実数（円）","60万円以上70万円未満／構成比（％）","70万円以上／実数（円）","70万円以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,1703,-,1330,-,1723,-,1877,-,1409,-,833,-,1126,-
"0","0","0","0","0","調査世帯数",340,-,59,-,44,-,60,-,66,-,49,-,28,-,36,-
"0","0","0","0","0","世帯人員",3.27,-,2.87,-,2.90,-,3.22,-,3.41,-,3.48,-,3.65,-,3.64,-
"0","0","0","0","0","有業人員",1.74,-,1.74,-,1.85,-,1.70,-,1.80,-,1.71,-,1.59,-,1.73,-
"0","0","0","0","0","世帯主平均年齢",49.7,-,56.8,-,51.1,-,47.2,-,46.7,-,47.7,-,48.5,-,50.1,-
"1","0","0","0","0","受取",1445626,-,596450,-,1037288,-,1284931,-,1527892,-,1862743,-,1971301,-,2421730,-
"1","1","0","0","0","実収入",684038,100.0,184133,100.0,439254,100.0,577463,100.0,737975,100.0,873349,100.0,1016076,100.0,1301770,100.0
"1","2","0","0","0","経常収入",669443,97.9,176339,95.8,429677,97.8,556811,96.4,724380,98.2,856368,98.1,1001811,98.6,1280564,98.4
"1","3","0","0","0","勤め先収入",634811,92.8,111993,60.8,376446,85.7,524323,90.8,698238,94.6,834597,95.6,987927,97.2,1263783,97.1
"1","4","0","0","0","世帯主収入",523887,76.6,79612,43.2,283945,64.6,421442,73.0,551246,74.7,708477,81.1,824255,81.1,1116375,85.8
"1","6","0","0","0","うち男",496403,72.6,53345,29.0,229850,52.3,378837,65.6,528427,71.6,696167,79.7,794200,78.2,1115617,85.7
"1","5","0","0","0","定期収入",421077,61.6,74501,40.5,248413,56.6,350186,60.6,447442,60.6,540516,61.9,645075,63.5,897237,68.9
"1","5","0","0","0","臨時収入",4075,0.6,1074,0.6,4418,1.0,5533,1.0,3971,0.5,4721,0.5,4773,0.5,4433,0.3
"1","5","0","0","0","賞与",98735,14.4,4037,2.2,31115,7.1,65723,11.4,99832,13.5,163240,18.7,174407,17.2,214705,16.5
"1","4","0","0","0","世帯主の配偶者の収入",98590,14.4,18400,10.0,72598,16.5,90960,15.8,135576,18.4,116322,13.3,160852,15.8,134796,10.4
"1","6","0","0","0","うち女",95099,13.9,18297,9.9,70952,16.2,79521,13.8,130481,17.7,116322,13.3,158575,15.6,134510,10.3
"1","4","0","0","0","他の世帯員収入",12334,1.8,13981,7.6,19903,4.5,11921,2.1,11416,1.5,9798,1.1,2820,0.3,12612,1.0
"1","3","0","0","0","事業・内職収入",7580,1.1,6136,3.3,9037,2.1,6480,1.1,11617,1.6,6105,0.7,6127,0.6,6001,0.5
"1","4","0","0","0","家賃収入",3529,0.5,1365,0.7,1219,0.3,1252,0.2,7554,1.0,4995,0.6,4293,0.4,3537,0.3
"1","4","0","0","0","他の事業収入",2728,0.4,3612,2.0,5000,1.1,4740,0.8,2321,0.3,914,0.1,784,0.1,527,0.0
"1","4","0","0","0","内職収入",1323,0.2,1159,0.6,2817,0.6,488,0.1,1743,0.2,196,0.0,1050,0.1,1937,0.1
"1","3","0","0","0","他の経常収入",27052,4.0,58210,31.6,44194,10.1,26009,4.5,14525,2.0,15666,1.8,7757,0.8,10780,0.8
"1","4","0","0","0","財産収入",1543,0.2,834,0.5,270,0.1,848,0.1,4083,0.6,2399,0.3,587,0.1,799,0.1
