項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
集計世帯数,7341,,,3986,,
世帯人員(人),2.91,,,3.24,,
有業人員(人),1.33,,,1.79,,
世帯主の配偶者のうち女の有業率（％）,40.9,,,55.9,,
世帯主の年齢 (歳),60.1,,,50.4,,
実収入,-,-,-,617654,2,-1
経常収入,-,-,-,604846,2.3,-0.7
勤め先収入,-,-,-,564011,2.4,-0.6
世帯主収入,-,-,-,450906,1.4,-1.6
世帯主収入うち男,-,-,-,425991,1.1,-1.8
定期収入,-,-,-,365128,1.3,-1.7
臨時収入,-,-,-,3966,-6.3,-9
賞与,-,-,-,81812,2.3,-0.7
世帯主の配偶者の収入,-,-,-,97378,7.2,4.1
世帯主の配偶者の収入うち女,-,-,-,94573,7.3,4.2
他の世帯員収入,-,-,-,15728,0.6,-2.3
事業・内職収入,-,-,-,4977,37.1,33.1
他の経常収入,-,-,-,35858,-2.7,-5.5
特別収入,-,-,-,12808,-7.6,-10.3
実収入以外の受取(繰入金を除く),-,-,-,451936,2.8,-
預貯金引出,-,-,-,346615,2.1,-
実支出,-,-,-,437368,3.6,-
消費支出,290865,4.2,1.2,320627,3.6,0.6
食料,77474,2.3,-2.1,80502,2.5,-1.9
穀類,6343,-0.7,-5.4,6489,-1.7,-6.4
米,1592,-9.7,-5.6,1510,-11.6,-7.6
パン,2665,3.5,-6,2806,2.9,-6.5
麺類,1614,1.8,-5.2,1691,0.5,-6.4
他の穀類,473,1.7,-3.3,482,0.2,-4.8
魚介類,5846,-3.1,-12.6,4898,-3.2,-12.7
生鮮魚介,3243,-6.3,-17.7,2738,-5.9,-17.3
塩干魚介,1025,-1,-8.5,850,-0.7,-8.2
魚肉練製品,712,3.9,-2.8,567,1.3,-5.2
他の魚介加工品,865,1.8,-3.9,743,1.4,-4.2
肉類,7877,-0.3,-4,8400,-1,-4.7
生鮮肉,6409,-0.2,-4.1,6818,-1,-4.9
加工肉,1468,-0.7,-3.6,1582,-0.8,-3.7
乳卵類,3960,-1.5,-3.6,3868,-2.4,-4.5
牛乳,1248,0.2,-1.4,1169,-0.8,-2.4
乳製品,1866,-3.2,-5.6,1872,-3,-5.4
卵,847,-0.4,-3.1,827,-3.3,-5.9
野菜・海藻,8704,-1,-4.9,7947,-1.6,-5.5
生鮮野菜,5861,-0.5,-5.4,5458,-1,-5.9
乾物・海藻,688,-2.1,-2.5,610,-1.1,-1.5
大豆加工品,1082,-1.5,-4.4,970,-2.4,-5.2
他の野菜・海藻加工品,1072,-2.4,-4,908,-4.5,-6.1
果物,2958,-2.5,-8,2347,-1.4,-7
生鮮果物,2670,-2.4,-8.4,2075,-1,-7.1
果物加工品,288,-4,-4.1,272,-4.6,-4.7
油脂・調味料,3825,0.1,-6.2,3806,-1.3,-7.5
油脂,441,8.9,-17.5,423,7.4,-18.6
調味料,3384,-1,-4.3,3383,-2.4,-5.7
菓子類,6760,4.5,0.1,7516,4.9,0.5
調理食品,11744,3.4,-1.1,12086,2.9,-1.5
主食的調理食品,5024,4.6,1.4,5233,4.7,1.5
他の調理食品,6721,2.4,-2.8,6853,1.5,-3.7
飲料,5077,2.5,-0.2,5407,2.2,-0.5
茶類,1085,-1.5,-0.4,1098,-1.4,-0.3
コーヒー・ココア,1033,1.9,-5.8,1110,1.4,-6.3
他の飲料,2959,4.3,2.1,3198,3.7,1.5
酒類,3499,-2.8,-4,3592,-2,-3.2
外食,10881,16,12.5,14145,15.2,11.7
一般外食,10082,18.1,14.4,12810,18,14.3
学校給食,799,-5.3,-5.5,1335,-6.6,-6.8
住居,18645,1.7,-0.5,20115,1.3,-0.9
家賃地代,8597,-1.7,-1.7,11697,-4.2,-4.2
設備修繕・維持,10048,4.8,0.9,8418,10.2,6.1
設備材料,3265,-0.3,-3.9,2888,15.7,11.5
工事その他のサービス,6784,7.5,3.4,5530,7.5,3.4
光熱・水道,24522,13.9,-0.8,24421,13.9,-0.8
電気代,12678,22.9,2.4,12691,23.5,2.9
ガス代,5232,12.6,-5.1,5226,10.7,-6.7
他の光熱,1404,21.8,1.3,1104,29.4,7.7
上下水道料,5207,-3.8,-3.2,5401,-3.6,-3
家具・家事用品,12121,1.6,-2.1,13000,2.2,-1.5
家庭用耐久財,4157,4.8,-0.9,4372,5.9,0.2
家事用耐久財,2098,-0.6,-4.1,2188,-0.5,-4.1
冷暖房用器具,1491,6.6,-0.7,1488,9.4,1.9
一般家具,568,23.7,13.2,696,22.3,11.9
室内装備・装飾品,717,7.2,3.9,742,5.7,2.4
寝具類,754,-6.9,-9,835,-5.3,-7.4
家事雑貨,2259,-1.5,-5.7,2648,-1.7,-5.9
家事用消耗品,3402,0.9,-1.2,3667,-0.1,-2.2
家事サービス,833,1.3,0.5,736,14.6,13.7
被服及び履物,9106,4.6,3,11293,7.9,6.2
和服,133,-17.4,-18.2,153,70,68.3
洋服,3551,5,3,4682,9,7
男子用洋服,1175,5.5,2.9,1572,13,10.2
婦人用洋服,2001,5.6,3.6,2491,9.3,7.3
子供用洋服,375,0.3,-0.2,620,-0.8,-1.3
シャツ・セーター類,1830,5.6,4.2,2175,7.4,6
男子用シャツ・セーター類,582,5.2,3.4,701,5.9,4.1
婦人用シャツ・セーター類,1106,5.8,4.3,1244,9.5,8
子供用シャツ・セーター類,142,5.2,6.6,230,1.3,2.6
下着類,893,-2.4,-3.9,984,-3.3,-4.8
男子用下着類,274,-3.9,-5.1,252,-8.4,-9.6
婦人用下着類,521,-1.7,-3.4,567,-1.7,-3.4
子供用下着類,98,-1,-2,164,-1.2,-2.2
生地・糸類,94,-13,-,91,-6.2,-
他の被服,734,5.6,5,863,4.1,3.5
履物類,1291,7.5,6.3,1634,8.6,7.4
被服関連サービス,580,12.8,9,712,18.3,14.3
保健医療,14705,3.3,3.6,13708,4.4,4.7
医薬品,2630,2.3,1.2,2302,3.5,2.4
健康保持用摂取品,1119,-1.8,-,811,-3.7,-
保健医療用品・器具,2889,4.6,4.4,3303,7.1,6.9
保健医療サービス,8067,3.9,5.1,7291,4.5,5.7
交通・通信,41396,4.3,5.9,50688,2.4,4
交通,4310,29.1,28.5,5768,25.4,24.8
自動車等関係費,24491,6.1,3.5,30540,3.8,1.3
自動車等購入,6801,6.7,5.3,9487,4.2,2.9
自転車購入,365,14.4,6.6,481,9.6,2.1
自動車等維持,17325,5.7,2.9,20571,3.4,0.7
通信,12595,-5.2,8.8,14380,-7.1,6.7
教育,11436,-3.9,-4.8,18126,-5.6,-6.4
授業料等,8373,-6.2,-6.8,13024,-8.1,-8.6
教科書・学習参考教材,213,-0.9,-3.9,353,-3.3,-6.2
補習教育,2849,3.1,1.7,4749,2,0.6
教養娯楽,26642,8.5,7.3,29737,8.3,7.1
教養娯楽用耐久財,2063,-12.1,-15.6,2574,-5.8,-9.5
教養娯楽用品,6772,2.3,0.8,7704,2.6,1.1
書籍・他の印刷物,3058,-5.6,-7.1,2638,-9.2,-10.6
教養娯楽サービス,14750,19.5,19,16820,17.6,17.1
宿泊料,1722,59,60.6,2034,55.5,57.1
パック旅行費,1507,134.7,-,1383,133.2,-
月謝類,2765,8.1,6.5,3869,8.3,6.7
他の教養娯楽サービス,8756,8.7,8.2,9535,8,7.5
その他の消費支出,54817,4.7,1.7,59036,3.3,0.3
諸雑費,25459,5.8,4.6,27278,3.1,2
理美容サービス,3063,3.4,2.6,3245,4.5,3.7
理美容用品,4695,2.1,1.7,5354,3.6,3.2
身の回り用品,1653,9.8,5.4,2001,1.3,-2.8
たばこ,1190,0.3,-4.3,1328,-5.8,-10.1
他の諸雑費,14858,7.6,7.4,15351,3.7,3.5
こづかい(使途不明) ,6640,-6.2,-8.9,8195,-6.2,-8.9
交際費,16732,11.2,8,14810,10.4,7.2
食料,4414,21.3,-,3525,24.3,-
家具・家事用品,269,60.1,-,318,81.7,-
被服及び履物,388,9.6,-,339,4.3,-
教養娯楽,976,38,-,800,30.3,-
他の物品サービス,441,26.4,-,447,24.2,-
贈与金,7003,10.9,-,5279,17.1,-
他の交際費,3242,-7.6,-,4102,-10.7,-
仕送り金,5987,-3.4,-6.2,8754,2.7,-0.3
非消費支出,-,-,-,116740,3.6,-
勤労所得税,-,-,-,21227,7.7,-
個人住民税,-,-,-,20397,0.8,-
他の税,-,-,-,7820,7.2,-
社会保険料,-,-,-,67175,2.8,-
実支出以外の支払(繰越金を除く),-,-,-,652518,1.6,-
預貯金,-,-,-,498671,1.4,-
可処分所得,-,-,-,500914,1.7,-1.3
黒字,-,-,-,180286,-1.6,-
金融資産純増,-,-,-,172027,0.6,-
貯蓄純増,-,-,-,168218,-0.3,-
預貯金純増,-,-,-,152056,-0.1,-
保険純増,-,-,-,16162,-2.2,-
有価証券純購入,-,-,-,3810,61.2,-
土地家屋借金純減,-,-,-,35560,4.7,-
クレジット購入借入金純減,-,-,-,-12167,-,-
平均消費性向（％）,-,-,-,64,-,-
貯蓄純増(平均貯蓄率) （％）　　　　,-,-,-,33.6,-,-
エンゲル係数（％）,26.6,-,-,25.1,-,-
,,,,,,
東京都生計分析調査　令和４年,,,,,,
参考表１　１世帯当たり年平均１か月間の収入と支出－全国,,,,,,
注1） 内訳は主要項目を掲げたため、内訳を足し上げても必ずしも合計とは一致しない。,,,,,,
注2） 「その他の消費支出」、「こづかい（使途不明）」、「交際費」及び「仕送り金」は、消費者物価指数（持家の帰属家賃を除く総合）を用いて実質化している。,,,,,,
注3） 令和４年平均,,,,,,
資料）総務省統計局 「家計調査」,,,,,,
