"区分","項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","調査世帯数",637,-,-,85,-,91,-,94,-,92,-,94,-,91,-,91,-
"0","0","世帯人員",2.90,-,-,2.64,-,2.66,-,2.75,-,2.89,-,2.95,-,3.13,-,3.32,-
"0","0","有業人員",1.32,-,-,1.16,-,1.07,-,1.16,-,1.31,-,1.40,-,1.52,-,1.61,-
"0","0","世帯主平均年齢",59.6,-,-,63.2,-,63.0,-,61.4,-,59.4,-,58.8,-,55.5,-,55.7,-
"0","0","消費支出",305516,100.0,1.8,99138,100.0,158174,100.0,201331,100.0,245976,100.0,300104,100.0,388379,100.0,744829,100.0
"1","0","商品",164957,54.0,-1.6,75920,76.6,108472,68.6,127624,63.4,149064,60.6,171759,57.2,206261,53.1,314965,42.3
"1","1","耐久財",17692,5.8,-11.6,981,1.0,2254,1.4,3474,1.7,5913,2.4,9172,3.1,18763,4.8,83380,11.2
"1","2","半耐久財",23804,7.8,-1.1,4907,4.9,8704,5.5,13432,6.7,18339,7.5,23651,7.9,37104,9.6,60362,8.1
"1","3","非耐久財",123461,40.4,-0.2,70032,70.6,97513,61.6,110719,55.0,124812,50.7,138936,46.3,150395,38.7,171224,23.0
"1","0","サービス",140558,46.0,6.2,23219,23.4,49702,31.4,73707,36.6,96912,39.4,128345,42.8,182118,46.9,429863,57.7
"2","0","食料",92909,30.4,-1.3,51594,52.0,69798,44.1,80077,39.8,90381,36.7,103533,34.5,117103,30.2,137543,18.5
"2","3","非耐久財",76357,25.0,-4.3,46533,46.9,61717,39.0,69237,34.4,76868,31.3,85323,28.4,92819,23.9,101684,13.7
"2","4","サービス",16552,5.4,14.8,5060,5.1,8081,5.1,10840,5.4,13512,5.5,18210,6.1,24284,6.3,35860,4.8
"2","0","住居",26870,8.8,0.9,2846,2.9,7088,4.5,14247,7.1,19148,7.8,22806,7.6,37438,9.6,84255,11.3
"2","1","耐久財",2612,0.9,-20.4,49,0.0,53,0.0,74,0.0,284,0.1,624,0.2,1911,0.5,15298,2.1
"2","2","半耐久財",287,0.1,-25.6,96,0.1,146,0.1,166,0.1,209,0.1,304,0.1,477,0.1,607,0.1
"2","4","サービス",23971,7.8,4.4,2701,2.7,6889,4.4,14008,7.0,18656,7.6,21878,7.3,35050,9.0,68349,9.2
"2","0","光熱・水道（非耐久財）",23329,7.6,15.5,13260,13.4,20372,12.9,22040,10.9,24834,10.1,25812,8.6,26355,6.8,30419,4.1
"2","0","家具・家事用品",12990,4.3,-6.7,3586,3.6,5705,3.6,7651,3.8,9641,3.9,12473,4.2,17724,4.6,34091,4.6
"2","1","耐久財",5181,1.7,-7.0,326,0.3,1071,0.7,1707,0.8,2337,1.0,3781,1.3,7075,1.8,19900,2.7
"2","2","半耐久財",3699,1.2,-8.7,1113,1.1,1854,1.2,2559,1.3,3278,1.3,3855,1.3,5325,1.4,7913,1.1
"2","3","非耐久財",3444,1.1,-0.2,1971,2.0,2514,1.6,2973,1.5,3465,1.4,3833,1.3,4477,1.2,4872,0.7
"2","4","サービス",665,0.2,-21.9,176,0.2,266,0.2,413,0.2,560,0.2,1004,0.3,846,0.2,1406,0.2
"2","0","被服及び履物",12067,3.9,6.4,2349,2.4,4355,2.8,6724,3.3,9582,3.9,12263,4.1,19179,4.9,29934,4.0
"2","2","半耐久財",11210,3.7,5.4,2283,2.3,4116,2.6,6331,3.1,9117,3.7,11460,3.8,17956,4.6,27123,3.6
"2","4","サービス",857,0.3,20.9,66,0.1,240,0.2,393,0.2,466,0.2,803,0.3,1223,0.3,2811,0.4
"2","0","保健医療",17431,5.7,-5.7,5184,5.2,9100,5.8,11751,5.8,14904,6.1,18315,6.1,22540,5.8,40268,5.4
"2","1","耐久財",1041,0.3,-7.0,181,0.2,416,0.3,486,0.2,1056,0.4,1212,0.4,1459,0.4,2476,0.3
"2","2","半耐久財",414,0.1,-31.1,111,0.1,157,0.1,212,0.1,569,0.2,362,0.1,660,0.2,838,0.1
"2","3","非耐久財",6005,2.0,2.0,2668,2.7,4215,2.7,4993,2.5,6215,2.5,6705,2.2,7686,2.0,9521,1.3
"2","4","サービス",9971,3.3,-8.3,2224,2.2,4312,2.7,6061,3.0,7063,2.9,10037,3.3,12735,3.3,27432,3.7
"2","0","交通・通信",35053,11.5,0.9,6984,7.0,13957,8.8,19308,9.6,25290,10.3,33813,11.3,47224,12.2,99001,13.3
"2","1","耐久財",5253,1.7,-15.3,187,0.2,204,0.1,385,0.2,775,0.3,1115,0.4,3232,0.8,31034,4.2
"2","2","半耐久財",1633,0.5,5.1,93,0.1,259,0.2,441,0.2,529,0.2,1297,0.4,2681,0.7,6114,0.8
"2","3","非耐久財",2293,0.8,3.8,604,0.6,1231,0.8,1809,0.9,2566,1.0,2991,1.0,3325,0.9,3542,0.5
"2","4","サービス",25874,8.5,4.5,6101,6.2,12263,7.8,16672,8.3,21419,8.7,28410,9.5,37986,9.8,58312,7.8
"2","0","教育",19542,6.4,2.3,234,0.2,1333,0.8,2796,1.4,4870,2.0,6824,2.3,17622,4.5,103247,13.9
"2","3","非耐久財",198,0.1,-30.0,8,0.0,52,0.0,67,0.0,142,0.1,288,0.1,334,0.1,494,0.1
"2","4","サービス",19344,6.3,2.8,226,0.2,1280,0.8,2728,1.4,4729,1.9,6536,2.2,17289,4.5,102753,13.8
"2","0","教養娯楽",35925,11.8,8.7,7204,7.3,14810,9.4,19968,9.9,27254,11.1,36611,12.2,49778,12.8,95857,12.9
"2","1","耐久財",2590,0.8,-17.3,118,0.1,300,0.2,522,0.3,1195,0.5,1811,0.6,4071,1.0,10079,1.4
"2","2","半耐久財",4270,1.4,-0.9,884,0.9,1623,1.0,2617,1.3,3080,1.3,4253,1.4,6965,1.8,10425,1.4
"2","3","非耐久財",6008,2.0,-0.8,2845,2.9,4312,2.7,4969,2.5,5439,2.2,6820,2.3,7576,2.0,10072,1.4
"2","4","サービス",23056,7.5,17.9,3358,3.4,8574,5.4,11859,5.9,17540,7.1,23727,7.9,31166,8.0,65281,8.8
"2","0","諸雑費",29401,9.6,3.4,5897,5.9,11657,7.4,16770,8.3,20073,8.2,27654,9.2,33417,8.6,90214,12.1
"2","1","耐久財",1015,0.3,44.6,120,0.1,211,0.1,300,0.1,265,0.1,629,0.2,1016,0.3,4593,0.6
