1,"東京都生計分析調査　令和 4年10月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",636,-,-,85,-,94,-,88,-,97,-,91,-,92,-,89,-
7,"0","世帯人員",2.90,-,-,2.60,-,2.71,-,2.84,-,2.93,-,2.85,-,3.05,-,3.34,-
8,"0","有業人員",1.34,-,-,1.16,-,1.05,-,1.19,-,1.41,-,1.36,-,1.56,-,1.66,-
9,"0","世帯主平均年齢",60.0,-,-,64.4,-,64.0,-,59.7,-,60.0,-,57.7,-,56.5,-,57.9,-
10,"0","消費支出",337010,100.0,2.3,108709,100.0,173990,100.0,226121,100.0,279033,100.0,340949,100.0,433772,100.0,791915,100.0
11,"2","基礎的支出",182350,54.1,5.5,82049,75.5,123523,71.0,148254,65.6,175916,63.0,190386,55.8,221585,51.1,333224,42.1
12,"3","選択的支出",154661,45.9,-1.2,26660,24.5,50468,29.0,77867,34.4,103117,37.0,150564,44.2,212187,48.9,458692,57.9
13,"1","食料",99028,29.4,5.4,55440,51.0,72152,41.5,86872,38.4,101352,36.3,101249,29.7,129922,30.0,145736,18.4
14,"2","基礎的支出",75738,22.5,3.2,48660,44.8,61593,35.4,70541,31.2,82047,29.4,76055,22.3,91527,21.1,99538,12.6
15,"3","選択的支出",23290,6.9,13.3,6781,6.2,10559,6.1,16331,7.2,19305,6.9,25194,7.4,38395,8.9,46197,5.8
16,"1","住居",26408,7.8,4.2,4896,4.5,8285,4.8,15996,7.1,15167,5.4,30757,9.0,29347,6.8,79848,10.1
