"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","都平均／持家／実数（円）","都平均／持家／構成比（％）","300万円未満／実数（円）","300万円未満／構成比（％）","300万円未満／持家／実数（円）","300万円未満／持家／構成比（％）","300万円以上／実数（円）","300万円以上／構成比（％）","300万円以上／持家／実数（円）","300万円以上／持家／構成比（％）","（再掲）持家以外／実数（円）","（再掲）持家以外／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,-,8449,-,2575,-,1919,-,7425,-,6530,-,1551,-
"0","0","0","0","0","調査世帯数",211,-,-,181,-,52,-,39,-,158,-,142,-,30,-
"0","0","0","0","0","世帯人員",2.25,-,-,2.27,-,2.25,-,2.27,-,2.26,-,2.27,-,2.17,-
"0","0","0","0","0","有業人員",0.41,-,-,0.41,-,0.35,-,0.35,-,0.43,-,0.42,-,0.40,-
"0","0","0","0","0","世帯主平均年齢",75.3,-,-,75.7,-,76.7,-,77.4,-,74.9,-,75.3,-,73.2,-
"1","0","0","0","0","受取",710502,-,1.5,741459,-,456791,-,477305,-,797511,-,818597,-,546966,-
"1","1","0","0","0","実収入",248209,100.0,5.5,259848,100.0,165673,100.0,176866,100.0,277003,100.0,284150,100.0,192587,100.0
"1","2","0","0","0","経常収入",230354,92.8,0.7,239913,92.3,152205,91.9,161144,91.1,258224,93.2,263505,92.7,184680,95.9
"1","3","0","0","0","勤め先収入",27815,11.2,-14.8,25499,9.8,8543,5.2,10295,5.8,34628,12.5,29982,10.6,43209,22.4
"1","4","0","0","0","世帯主収入",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","6","0","0","0","うち男",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","定期収入",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","臨時収入",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","賞与",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","4","0","0","0","世帯主の配偶者の収入",13357,5.4,45.2,13679,5.3,5950,3.6,7240,4.1,16079,5.8,15591,5.5,11576,6.0
"1","6","0","0","0","うち女",12505,5.0,44.4,12633,4.9,5950,3.6,7240,4.1,14877,5.4,14199,5.0,11576,6.0
"1","4","0","0","0","他の世帯員収入",14458,5.8,-38.3,11820,4.5,2594,1.6,3054,1.7,18549,6.7,14392,5.1,31633,16.4
"1","3","0","0","0","事業・内職収入",8229,3.3,22.9,8373,3.2,2023,1.2,1761,1.0,10444,3.8,10360,3.6,6748,3.5
"1","4","0","0","0","家賃収入",3036,1.2,-8.9,3332,1.3,1168,0.7,1514,0.9,3742,1.4,3885,1.4,1127,0.6
"1","4","0","0","0","他の事業収入",1364,0.5,92.1,1292,0.5,586,0.4,-,-,1638,0.6,1687,0.6,1609,0.8
"1","4","0","0","0","内職収入",3829,1.5,44.4,3748,1.4,269,0.2,247,0.1,5065,1.8,4788,1.7,4012,2.1
"1","3","0","0","0","他の経常収入",194309,78.3,2.5,206041,79.3,141639,85.5,149089,84.3,213153,76.9,223163,78.5,134723,70.0
"1","4","0","0","0","財産収入",8290,3.3,93.9,10089,3.9,212,0.1,262,0.1,11486,4.1,13268,4.7,-,-
"1","4","0","0","0","社会保障給付",185240,74.6,0.8,195274,75.1,141253,85.3,148805,84.1,200662,72.4,209011,73.6,133619,69.4
"1","5","0","0","0","公的年金給付",179697,72.4,0.0,191294,73.6,136016,82.1,148575,84.0,194923,70.4,203911,71.8,118788,61.7
"1","5","0","0","0","他の社会保障給付",5543,2.2,39.0,3980,1.5,5237,3.2,230,0.1,5739,2.1,5100,1.8,14831,7.7
"1","4","0","0","0","仕送り金",779,0.3,-46.9,679,0.3,174,0.1,22,0.0,1006,0.4,884,0.3,1104,0.6
"1","2","0","0","0","特別収入",17855,7.2,178.4,19936,7.7,13469,8.1,15722,8.9,18779,6.8,20645,7.3,7907,4.1
"1","3","0","0","0","受贈金",8505,3.4,...,9997,3.8,781,0.5,555,0.3,11285,4.1,12923,4.5,1014,0.5
"1","3","0","0","0","他の特別収入",9349,3.8,65.3,9939,3.8,12688,7.7,15167,8.6,7494,2.7,7722,2.7,6893,3.6
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",345463,-,-4.1,365160,-,213541,-,222482,-,390423,-,406898,-,238138,-
"1","2","0","0","0","預貯金引出",255245,-,-1.0,265764,-,178986,-,182939,-,280946,-,289762,-,197926,-
"1","2","0","0","0","保険金",32919,-,-18.0,37546,-,9386,-,12161,-,40950,-,45071,-,7389,-
"1","3","0","0","0","個人・企業年金保険金",27714,-,-5.8,31507,-,6332,-,8465,-,35011,-,38251,-,6895,-
"1","3","0","0","0","他の保険金",5205,-,-51.5,6039,-,3054,-,3696,-,5939,-,6820,-,494,-
"1","2","0","0","0","有価証券売却",130,-,10.2,144,-,-,-,-,-,166,-,182,-,-,-
"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","他の借入金",167,-,-87.5,-,-,-,-,-,-,241,-,-,-,852,-
"1","2","0","0","0","クレジット購入借入金",56512,-,-6.1,61134,-,25036,-,27228,-,67509,-,71183,-,31963,-
"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","実収入以外の受取のその他",490,-,-9.1,571,-,133,-,155,-,612,-,700,-,8,-
"1","1","0","0","0","繰入金",116831,-,11.9,116452,-,77577,-,77957,-,130085,-,127548,-,116241,-
"2","0","0","0","0","支払",710502,-,1.5,741459,-,456791,-,477305,-,797511,-,818597,-,546966,-
"2","1","0","0","0","実支出",304792,-,4.2,315330,-,215085,-,221252,-,335267,-,342473,-,250672,-
"2","2","0","0","0","生計支出",271232,-,7.1,278958,-,197989,-,201883,-,295958,-,301018,-,231410,-
"2","3","0","0","0","消費支出",265685,100.0,4.9,272643,100.0,197989,100.0,201883,100.0,288715,100.0,292929,100.0,231410,100.0
"2","4","1","0","0","食料",79514,29.9,0.2,81559,29.9,65604,33.1,66051,32.7,84545,29.3,86304,29.5,69159,29.9
"2","5","1","1","0","穀類",6421,2.4,-2.3,6471,2.4,5898,3.0,5852,2.9,6594,2.3,6647,2.3,6057,2.6
