"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","0","0","0","調査世帯数",340,-,-,48,-,48,-,49,-,49,-,49,-,49,-,47,-
"0","0","0","0","0","世帯人員",3.27,-,-,2.90,-,2.83,-,3.28,-,3.35,-,3.52,-,3.46,-,3.52,-
"0","0","0","0","0","有業人員",1.74,-,-,1.67,-,1.60,-,1.62,-,1.74,-,1.75,-,1.84,-,1.95,-
"0","0","0","0","0","世帯主平均年齢",49.7,-,-,56.3,-,52.3,-,47.9,-,47.7,-,47.3,-,47.9,-,48.6,-
"1","0","0","0","0","受取",1445626,-,-10.2,528815,-,880185,-,1152713,-,1272021,-,1480657,-,1882166,-,2913510,-
"1","1","0","0","0","実収入",684038,100.0,-6.3,127258,100.0,349336,100.0,452594,100.0,546535,100.0,672131,100.0,857875,100.0,1772623,100.0
"1","2","0","0","0","経常収入",669443,97.9,-5.9,121306,95.3,337944,96.7,442061,97.7,537338,98.3,646431,96.2,841279,98.1,1749652,98.7
"1","3","0","0","0","勤め先収入",634811,92.8,-5.7,64911,51.0,277604,79.5,408936,90.4,509842,93.3,627596,93.4,821925,95.8,1723705,97.2
"1","4","0","0","0","世帯主収入",523887,76.6,-4.7,58638,46.1,261478,74.9,370144,81.8,450654,82.5,535285,79.6,637771,74.3,1345971,75.9
"1","6","0","0","0","うち男",496403,72.6,-5.3,39048,30.7,212008,60.7,348804,77.1,428524,78.4,519095,77.2,615325,71.7,1304763,73.6
"1","5","0","0","0","定期収入",421077,61.6,-4.9,57900,45.5,258582,74.0,364086,80.4,438264,80.2,523895,77.9,595716,69.4,708011,39.9
"1","5","0","0","0","臨時収入",4075,0.6,-10.7,247,0.2,1679,0.5,3508,0.8,3851,0.7,3461,0.5,6821,0.8,8990,0.5
"1","5","0","0","0","賞与",98735,14.4,-3.5,490,0.4,1217,0.3,2550,0.6,8538,1.6,7929,1.2,35233,4.1,628970,35.5
"1","4","0","0","0","世帯主の配偶者の収入",98590,14.4,-11.9,5554,4.4,10775,3.1,27330,6.0,53949,9.9,85673,12.7,166611,19.4,338395,19.1
"1","6","0","0","0","うち女",95099,13.9,-11.9,5440,4.3,10658,3.1,26280,5.8,53749,9.8,83552,12.4,154694,18.0,329458,18.6
"1","4","0","0","0","他の世帯員収入",12334,1.8,4.3,719,0.6,5351,1.5,11462,2.5,5239,1.0,6638,1.0,17543,2.0,39339,2.2
"1","3","0","0","0","事業・内職収入",7580,1.1,10.0,5633,4.4,9515,2.7,5658,1.3,6031,1.1,9370,1.4,5916,0.7,10946,0.6
"1","4","0","0","0","家賃収入",3529,0.5,-4.1,744,0.6,3530,1.0,-,-,665,0.1,8152,1.2,4405,0.5,7138,0.4
"1","4","0","0","0","他の事業収入",2728,0.4,68.2,3963,3.1,3977,1.1,4119,0.9,4214,0.8,540,0.1,73,0.0,2276,0.1
"1","4","0","0","0","内職収入",1323,0.2,-16.9,926,0.7,2008,0.6,1539,0.3,1151,0.2,678,0.1,1438,0.2,1533,0.1
