"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","0","0","0","調査世帯数",340,-,-,47,-,48,-,48,-,51,-,49,-,49,-,48,-
"0","0","0","0","0","世帯人員",3.27,-,-,2.87,-,3.14,-,3.24,-,3.28,-,3.41,-,3.49,-,3.45,-
"0","0","0","0","0","有業人員",1.74,-,-,1.49,-,1.62,-,1.76,-,1.79,-,1.81,-,1.82,-,1.88,-
"0","0","0","0","0","世帯主平均年齢",49.7,-,-,51.6,-,51.4,-,49.3,-,50.2,-,47.9,-,49.0,-,48.9,-
"0","0","0","0","0","平均年間収入(万円)",872,-,-,373,-,555,-,670,-,797,-,922,-,1109,-,1673,-
"1","0","0","0","0","受取",1445626,-,-10.2,947429,-,1023025,-,999312,-,1165470,-,1576995,-,1790832,-,2608950,-
"1","1","0","0","0","実収入",684038,100.0,-6.3,385067,100.0,469110,100.0,471501,100.0,567990,100.0,721227,100.0,840313,100.0,1324904,100.0
"1","2","0","0","0","経常収入",669443,97.9,-5.9,378958,98.4,456347,97.3,460539,97.7,559469,98.5,693926,96.2,821552,97.8,1306976,98.6
"1","3","0","0","0","勤め先収入",634811,92.8,-5.7,324148,84.2,407090,86.8,432095,91.6,534225,94.1,671663,93.1,795128,94.6,1271905,96.0
"1","4","0","0","0","世帯主収入",523887,76.6,-4.7,276184,71.7,358291,76.4,383232,81.3,451792,79.5,560608,77.7,673793,80.2,957437,72.3
"1","6","0","0","0","うち男",496403,72.6,-5.3,237330,61.6,327802,69.9,352178,74.7,434751,76.5,547846,76.0,655789,78.0,913221,68.9
"1","5","0","0","0","定期収入",421077,61.6,-4.9,251939,65.4,307024,65.4,339018,71.9,378630,66.7,441452,61.2,528411,62.9,700215,52.9
