1,"東京都生計分析調査　令和 4年12月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",616,-,-,83,-,91,-,87,-,94,-,84,-,88,-,89,-
7,"0","世帯人員",2.94,-,-,2.55,-,2.79,-,2.86,-,2.73,-,2.94,-,3.15,-,3.52,-
8,"0","有業人員",1.40,-,-,1.13,-,1.17,-,1.22,-,1.41,-,1.46,-,1.59,-,1.79,-
9,"0","世帯主平均年齢",59.4,-,-,64.5,-,62.2,-,62.4,-,61.2,-,56.2,-,55.4,-,54.1,-
10,"0","消費支出",378014,100.0,1.2,128310,100.0,202196,100.0,260582,100.0,320940,100.0,393416,100.0,475428,100.0,861903,100.0
11,"2","基礎的支出",216588,57.3,-4.1,97729,76.2,146669,72.5,175296,67.3,207568,64.7,230530,58.6,249743,52.5,407112,47.2
12,"3","選択的支出",161426,42.7,9.4,30582,23.8,55527,27.5,85286,32.7,113371,35.3,162887,41.4,225685,47.5,454791,52.8
13,"1","食料",116799,30.9,-1.6,63590,49.6,91252,45.1,107996,41.4,116435,36.3,129728,33.0,144230,30.3,163880,19.0
14,"2","基礎的支出",90639,24.0,-3.3,55377,43.2,77374,38.3,91001,34.9,94507,29.4,97400,24.8,104744,22.0,113792,13.2
15,"3","選択的支出",26160,6.9,5.0,8213,6.4,13877,6.9,16995,6.5,21927,6.8,32328,8.2,39486,8.3,50088,5.8
16,"1","住居",28004,7.4,-33.6,8221,6.4,8712,4.3,15874,6.1,22174,6.9,30792,7.8,39374,8.3,70604,8.2
