1,"東京都生計分析調査　令和 4年 7月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",632,-,-,86,-,90,-,93,-,92,-,93,-,89,-,89,-
7,"0","0","世帯人員",2.88,-,-,2.58,-,2.52,-,2.60,-,2.98,-,3.02,-,3.08,-,3.35,-
8,"0","0","有業人員",1.31,-,-,1.21,-,0.99,-,1.16,-,1.36,-,1.37,-,1.42,-,1.66,-
9,"0","0","世帯主平均年齢",60.1,-,-,63.7,-,65.3,-,62.2,-,57.5,-,60.2,-,55.4,-,56.5,-
10,"0","0","消費支出",315107,-,4.3,96447,-,153120,-,201470,-,251343,-,318363,-,415243,-,765610,-
11,"0","0","公共的料金",77647,24.6,10.8,24711,25.6,41295,27.0,54889,27.2,65797,26.2,82037,25.8,109539,26.4,164416,21.5
12,"1","0","公共料金等",55169,17.5,11.6,21783,22.6,34473,22.5,42157,20.9,47791,19.0,55762,17.5,68976,16.6,114654,15.0
13,"1","1","米",1611,0.5,-5.1,1009,1.0,1211,0.8,1501,0.7,1606,0.6,1731,0.5,2081,0.5,2132,0.3
14,"1","1","食塩",42,0.0,-6.7,44,0.0,42,0.0,37,0.0,33,0.0,69,0.0,32,0.0,35,0.0
15,"1","1","学校給食",713,0.2,-19.8,265,0.3,285,0.2,333,0.2,755,0.3,989,0.3,957,0.2,1405,0.2
16,"1","1","公営家賃",3378,1.1,219.9,1071,1.1,2553,1.7,3280,1.6,3233,1.3,5138,1.6,3531,0.9,4811,0.6
17,"1","1","電気代",9141,2.9,26.9,4658,4.8,8621,5.6,8854,4.4,9770,3.9,10210,3.2,9410,2.3,12409,1.6
18,"1","1","都市ガス",4514,1.4,23.2,3193,3.3,3676,2.4,3631,1.8,4225,1.7,4813,1.5,5582,1.3,6456,0.8
19,"1","1","上下水道料",4242,1.3,-1.5,2252,2.3,3403,2.2,3440,1.7,4024,1.6,4269,1.3,5847,1.4,6432,0.8
20,"1","1","医科診療代",4791,1.5,-17.1,1996,2.1,2828,1.8,4436,2.2,3491,1.4,3966,1.2,4666,1.1,12089,1.6
21,"1","1","歯科診療代",3484,1.1,21.6,411,0.4,912,0.6,547,0.3,2001,0.8,1767,0.6,6944,1.7,11737,1.5
22,"1","1","出産入院料",-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,"1","1","他の入院料",559,0.2,-56.1,-,-,-,-,369,0.2,-,-,-,-,149,0.0,3372,0.4
24,"1","1","鉄道運賃",3595,1.1,79.4,155,0.2,911,0.6,1147,0.6,2200,0.9,3778,1.2,5223,1.3,11675,1.5
25,"1","1","鉄道通学定期代",267,0.1,-27.8,-,-,-,-,-,-,127,0.1,46,0.0,506,0.1,1183,0.2
26,"1","1","鉄道通勤定期代",1624,0.5,76.7,150,0.2,121,0.1,424,0.2,1749,0.7,246,0.1,719,0.2,7917,1.0
