"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","有業者の有無／有業者なし／実数（円）","有業者の有無／有業者なし／構成比（％）","有業者の有無／有業者あり／実数（円）","有業者の有無／有業者あり／構成比（％）","世帯人員別／2人／実数（円）","世帯人員別／2人／構成比（％）","世帯人員別／3人以上／実数（円）","世帯人員別／3人以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,6417,-,3583,-,7930,-,2070,-
"0","0","0","0","0","調査世帯数",211,-,136,-,75,-,167,-,44,-
"0","0","0","0","0","世帯人員",2.25,-,2.08,-,2.57,-,2.00,-,3.23,-
"0","0","0","0","0","有業人員",0.41,-,-,-,1.14,-,0.25,-,1.02,-
"0","0","0","0","0","世帯主平均年齢",75.3,-,76.4,-,73.5,-,76.1,-,72.4,-
"1","0","0","0","0","受取",710502,-,687045,-,750822,-,685076,-,806246,-
"1","1","0","0","0","実収入",248209,100.0,233570,100.0,274053,100.0,233301,100.0,303028,100.0
"1","2","0","0","0","経常収入",230354,92.8,222210,95.1,244467,89.2,222088,95.2,261929,86.4
"1","3","0","0","0","勤め先収入",27815,11.2,-,-,77132,28.1,21288,9.1,53139,17.5
"1","4","0","0","0","世帯主収入",-,-,-,-,-,-,-,-,-,-
"1","6","0","0","0","うち男",-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","定期収入",-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","臨時収入",-,-,-,-,-,-,-,-,-,-
"1","5","0","0","0","賞与",-,-,-,-,-,-,-,-,-,-
"1","4","0","0","0","世帯主の配偶者の収入",13357,5.4,-,-,37045,13.5,10564,4.5,24323,8.0
"1","6","0","0","0","うち女",12505,5.0,-,-,34711,12.7,9501,4.1,24323,8.0
"1","4","0","0","0","他の世帯員収入",14458,5.8,-,-,40086,14.6,10724,4.6,28816,9.5
"1","3","0","0","0","事業・内職収入",8229,3.3,5036,2.2,13790,5.0,7736,3.3,10075,3.3
"1","4","0","0","0","家賃収入",3036,1.2,2518,1.1,3933,1.4,3143,1.3,2776,0.9
"1","4","0","0","0","他の事業収入",1364,0.5,-,-,3762,1.4,1267,0.5,1625,0.5
"1","4","0","0","0","内職収入",3829,1.5,2518,1.1,6095,2.2,3326,1.4,5674,1.9
"1","3","0","0","0","他の経常収入",194309,78.3,217175,93.0,153545,56.0,193064,82.8,198715,65.6
"1","4","0","0","0","財産収入",8290,3.3,10335,4.4,4701,1.7,8815,3.8,6111,2.0
"1","4","0","0","0","社会保障給付",185240,74.6,206344,88.3,147585,53.9,183718,78.7,190778,63.0
"1","5","0","0","0","公的年金給付",179697,72.4,201496,86.3,140824,51.4,180694,77.5,175958,58.1
"1","5","0","0","0","他の社会保障給付",5543,2.2,4848,2.1,6761,2.5,3024,1.3,14820,4.9
"1","4","0","0","0","仕送り金",779,0.3,495,0.2,1259,0.5,531,0.2,1826,0.6
"1","2","0","0","0","特別収入",17855,7.2,11360,4.9,29585,10.8,11213,4.8,41099,13.6
"1","3","0","0","0","受贈金",8505,3.4,698,0.3,22637,8.3,887,0.4,35632,11.8
"1","3","0","0","0","他の特別収入",9349,3.8,10662,4.6,6948,2.5,10327,4.4,5467,1.8
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",345463,-,352990,-,330514,-,337273,-,378763,-
"1","2","0","0","0","預貯金引出",255245,-,257753,-,249447,-,246792,-,289994,-
"1","2","0","0","0","保険金",32919,-,37879,-,23641,-,34770,-,25692,-
"1","3","0","0","0","個人・企業年金保険金",27714,-,33115,-,18072,-,28815,-,23375,-
"1","3","0","0","0","他の保険金",5205,-,4764,-,5569,-,5955,-,2317,-
"1","2","0","0","0","有価証券売却",130,-,-,-,377,-,167,-,-,-
"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","他の借入金",167,-,248,-,22,-,207,-,-,-
"1","2","0","0","0","クレジット購入借入金",56512,-,56708,-,56420,-,55094,-,61527,-
"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","実収入以外の受取のその他",490,-,403,-,607,-,244,-,1550,-
"1","1","0","0","0","繰入金",116831,-,100484,-,146256,-,114501,-,124456,-
"2","0","0","0","0","支払",710502,-,687045,-,750822,-,685076,-,806246,-
"2","1","0","0","0","実支出",304792,-,305291,-,303370,-,296222,-,338329,-
"2","2","0","0","0","生計支出",271232,-,273346,-,266781,-,263033,-,303412,-
"2","3","0","0","0","消費支出",265685,100.0,265044,100.0,266781,100.0,255935,100.0,303412,100.0
"2","4","1","0","0","食料",79514,29.9,77502,29.2,83012,31.1,74953,29.3,96958,32.0
"2","5","1","1","0","穀類",6421,2.4,6250,2.4,6716,2.5,5979,2.3,8116,2.7
"2","6","1","1","1","米類",1720,0.6,1702,0.6,1751,0.7,1575,0.6,2272,0.7
"2","6","1","1","2","パン",2737,1.0,2645,1.0,2893,1.1,2558,1.0,3427,1.1
"2","6","1","1","3","麺類",1489,0.6,1426,0.5,1600,0.6,1395,0.5,1851,0.6
"2","6","1","1","4","他の穀類",474,0.2,477,0.2,471,0.2,450,0.2,567,0.2
"2","5","1","2","0","魚介類",7620,2.9,7729,2.9,7419,2.8,7339,2.9,8665,2.9
"2","6","1","2","1","生鮮魚介",4126,1.6,4225,1.6,3946,1.5,4028,1.6,4481,1.5
"2","6","1","2","2","塩干魚介",1367,0.5,1391,0.5,1321,0.5,1313,0.5,1572,0.5
"2","6","1","2","3","魚肉練製品",936,0.4,936,0.4,933,0.3,905,0.4,1051,0.3
"2","6","1","2","4","他の魚介加工品",1193,0.4,1177,0.4,1218,0.5,1095,0.4,1561,0.5
"2","5","1","3","0","肉類",6689,2.5,6457,2.4,7105,2.7,6272,2.5,8276,2.7
"2","6","1","3","1","生鮮肉",5255,2.0,5074,1.9,5585,2.1,4938,1.9,6456,2.1
"2","6","1","3","2","加工肉",1434,0.5,1383,0.5,1520,0.6,1334,0.5,1820,0.6
"2","5","1","4","0","乳卵類",4162,1.6,4085,1.5,4289,1.6,3896,1.5,5183,1.7
"2","6","1","4","1","牛乳",1305,0.5,1211,0.5,1467,0.5,1176,0.5,1815,0.6
"2","6","1","4","2","乳製品",2032,0.8,2043,0.8,2008,0.8,1929,0.8,2418,0.8
"2","6","1","4","3","卵",825,0.3,832,0.3,814,0.3,792,0.3,950,0.3
"2","5","1","5","0","野菜・海藻",11481,4.3,11631,4.4,11220,4.2,11149,4.4,12759,4.2
"2","6","1","5","1","生鮮野菜",7983,3.0,8010,3.0,7944,3.0,7744,3.0,8904,2.9
"2","6","1","5","2","乾物・海藻",828,0.3,883,0.3,731,0.3,811,0.3,892,0.3
"2","6","1","5","3","大豆加工品",1235,0.5,1238,0.5,1233,0.5,1198,0.5,1383,0.5
"2","6","1","5","4","他の野菜・海藻加工品",1434,0.5,1500,0.6,1312,0.5,1397,0.5,1581,0.5
"2","5","1","6","0","果物",4478,1.7,4582,1.7,4289,1.6,4410,1.7,4749,1.6
"2","6","1","6","1","生鮮果物",4075,1.5,4162,1.6,3918,1.5,4037,1.6,4229,1.4
"2","6","1","6","2","果物加工品",403,0.2,420,0.2,372,0.1,373,0.1,520,0.2
"2","5","1","7","0","油脂・調味料",3943,1.5,3840,1.4,4123,1.5,3646,1.4,5071,1.7
"2","6","1","7","1","油脂",490,0.2,479,0.2,509,0.2,459,0.2,610,0.2
"2","6","1","7","2","調味料",3452,1.3,3361,1.3,3615,1.4,3187,1.2,4461,1.5
"2","5","1","8","0","菓子類",5988,2.3,5781,2.2,6336,2.4,5505,2.2,7844,2.6
"2","5","1","9","0","調理食品",13024,4.9,12423,4.7,14050,5.3,11948,4.7,17200,5.7
"2","6","1","9","1","主食的調理食品",5454,2.1,5290,2.0,5712,2.1,4995,2.0,7229,2.4
