指数・前年比（％）,年,総合,食料,住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
Shisu,指数_平成25年平均,94.1,89.5,97.7,102.5,92.7,92.9,93.2,99.5,102.7,90.8,94.2
Shisu,指数_平成26年平均,96.8,92.4,98.2,108.1,95.8,94.5,94,101.8,105,94.2,97.8
Shisu,指数_平成27年平均,97.8,94.8,98.3,105.2,96.3,95.4,95.1,101.4,106.2,95.9,98.9
Shisu,指数_平成28年平均,97.7,96.2,97.7,94.5,96.3,96.1,96,100.2,107.1,97.4,99.6
Shisu,指数_平成29年平均,97.9,96.6,97.5,95.8,96.2,96.5,96.7,99.7,107.4,97.8,99.5
Shisu,指数_平成30年平均,99,98,97.5,99.8,95.7,97,98.4,100.2,108,99,100
Shisu,指数_平成31年・令和元年平均,99.9,98.7,98.4,103.1,98.2,98.1,99.2,99.6,106.9,100.8,100.5
Shisu,指数_令和2年平均,100,100,100,100,100,100,100,100,100,100,100
Shisu,指数_令和3年平均,99.7,99.9,101.5,99.2,102.5,100.2,99.7,93.4,100.6,102.1,101.1
Shisu,指数_令和4年平均,102.6,104.4,102.7,118.6,106.2,101.6,99.1,90.6,101.1,103.2,102.4
zennenhi,前年比_平成25年平均,0.2,-0.3,-0.4,5.7,-2.5,-0.4,-0.6,0.5,0.2,-0.9,0.9
zennenhi,前年比_平成26年平均,3,3.3,0.5,5.5,3.3,1.8,0.8,2.4,2.2,3.8,3.8
zennenhi,前年比_平成27年平均,1,2.5,0.1,-2.7,0.5,0.9,1.2,-0.5,1.2,1.8,1.1
zennenhi,前年比_平成28年平均,-0.1,1.5,-0.6,-10.2,0,0.7,0.9,-1.2,0.9,1.5,0.7
zennenhi,前年比_平成29年平均,0.3,0.4,-0.2,1.4,-0.1,0.4,0.7,-0.5,0.3,0.5,-0.1
zennenhi,前年比_平成30年平均,1.1,1.4,0,4.1,-0.4,0.5,1.8,0.5,0.5,1.3,0.5
zennenhi,前年比_平成31年・令和元年平均,0.9,0.7,0.9,3.2,2.6,1.2,0.8,-0.6,-1,1.8,0.5
zennenhi,前年比_令和2年平均,0.1,1.3,1.6,-3,1.8,1.9,0.8,0.4,-6.5,-0.8,-0.5
zennenhi,前年比_令和3年平均,-0.3,-0.1,1.5,-0.8,2.5,0.2,-0.3,-6.6,0.6,2.1,1.1
zennenhi,前年比_令和4年平均,3,4.5,1.2,19.5,3.6,1.3,-0.6,-2.9,0.5,1.1,1.3
,,,,,,,,,,,,
東京都生計分析調査　令和４年,,,,,,,,,,,,
参考表２　消費者物価指数(東京都区部）の推移（中分類「持家の帰属家賃を除く」）,,,,,,,,,,,,
令和２年＝100,,,,,,,,,,,,
