名称,所在地,緯度,経度,電話
開進第四小ねりっこ学童クラブ,練馬区羽沢2-33-1,35.748238,139.672096,03-3994-3008
豊玉第二小ねりっこ学童クラブ,練馬区豊玉上2-16-1,35.737545,139.662467,03-3994-6764
豊玉南小学童クラブ,練馬区豊玉南2-14-1,35.727752,139.656883,03-3993-0044
豊玉学童クラブ,練馬区豊玉南3-32-11,35.729443,139.649248,03-3991-2580
開進第二小ねりっこ学童クラブ,練馬区桜台5-10-5,35.742071,139.657956,03-3994-6814
開進第三小ねりっこ学童クラブ,練馬区桜台2-18-1,35.742852,139.666281,03-3993-2653
練馬第二小ねりっこ学童クラブ,練馬区貫井2-31-13,35.741611,139.633621,03-3999-1190
仲町小ねりっこ学童クラブ,練馬区氷川台2-18-24,35.757497,139.667485,03-3550-9539
開進第一小ねりっこ学童クラブ,練馬区早宮2-1-31,35.755041,139.657972,03-3931-5482
早宮さくら学童クラブ,練馬区早宮3-13-31,35.750305,139.653198,03-3993-3153
練馬東小ねりっこ学童クラブ,練馬区春日町1-30-11,35.752522,139.648267,03-3970-0820
練馬小ねりっこ学童クラブ,練馬区春日町6-11-36,35.751783,139.636187,03-3970-8654
北町小ねりっこ学童クラブ,練馬区北町1-14-11,35.765314,139.664505,03-3550-8057
北町西小ねりっこ学童クラブ,練馬区北町7-3-8,35.760952,139.654097,03-3931-5148
田柄小ねりっこ学童クラブ,練馬区田柄2-19-34,35.765291,139.643543,03-3975-5436
光が丘しいのき学童クラブ,練馬区光が丘2-10-4-201,35.760859,139.62994,03-5998-3088
光が丘コスモス学童クラブ,練馬区光が丘3-3-4-105,35.755884,139.628392,03-3976-4575
光が丘どんぐり学童クラブ,練馬区光が丘3-8-12,35.757227,139.628496,03-3939-8568
光が丘すみれ学童クラブ,練馬区光が丘5-2-5-104,35.759837,139.627274,03-3976-8231
光が丘あさがお学童クラブ,練馬区光が丘5-5-5,35.762881,139.626038,03-3976-6345
光が丘つくし学童クラブ,練馬区光が丘7-3-4-101,35.755942,139.624851,03-3977-9168
旭町小ねりっこ学童クラブ,練馬区旭町2-29-1,35.773348,139.62732,03-3975-5438
富士見台小ねりっこ学童クラブ,練馬区富士見台4-16-10,35.744162,139.622842,03-3999-5355
南が丘小学童クラブ,練馬区南田中2-13-1,35.734114,139.616989,03-3995-7138
石神井東小ねりっこ学童クラブ,練馬区南田中3-9-1,35.736799,139.619715,03-3995-6561
谷原小ねりっこ学童クラブ,練馬区谷原2-9-26,35.750515,139.613557,03-3904-2605
北原小ねりっこ学童クラブ,練馬区谷原4-9-1,35.75551,139.61425,03-3904-5739
泉新小ねりっこ学童クラブ,練馬区三原台3-18-30,35.753797,139.601705,03-5387-0775
石神井町学童クラブ,練馬区石神井町8-1-10,35.745341,139.601461,03-3995-8424
石神井小ねりっこ学童クラブ,練馬区石神井台1-1-25,35.735413,139.599763,03-5393-1909
石神井台小ねりっこ学童クラブ,練馬区石神井台8-6-33,35.734503,139.581459,03-3929-4926
石神井台けやき学童クラブ,練馬区石神井台6-2-10,35.740161,139.586245,03-3924-1882
上石神井小ねりっこ学童クラブ,練馬区上石神井4-10-4,35.727097,139.58897,03-3928-4640
大泉東小ねりっこ学童クラブ,練馬区東大泉1-22-1,35.748126,139.591124,03-3923-9214
大泉小ねりっこ学童クラブ,練馬区東大泉4-25-36,35.751622,139.584188,03-3921-3639
大泉西小学童クラブ,練馬区西大泉4-25-2,35.764971,139.572497,03-3925-8755
大泉第六小ねりっこ学童クラブ,練馬区南大泉5-25-29,35.751198,139.572174,03-3978-0326
大泉第三小ねりっこ学童クラブ,練馬区大泉学園町3-22-2,35.763816,139.579255,03-3921-7937
大泉学園緑小ねりっこ学童クラブ,練馬区大泉学園町5-11-37,35.766213,139.585949,03-3922-8662
早宮小学童クラブ,練馬区早宮4-10-17,35.752098,139.650693,03-5999-9531
向山小ねりっこ学童クラブ,練馬区向山2-14-11,35.740129,139.641118,03-3926-0958
中村小ねりっこ学童クラブ,練馬区中村2-8-1,35.730536,139.644375,03-3577-0530
八坂小ねりっこ学童クラブ,練馬区土支田4-47-15,35.768636,139.612269,03-5387-0712
谷原あおぞら学童クラブ,練馬区谷原5-6-5,35.751199,139.613081,03-3996-9500
石神井西小ねりっこ学童クラブ,練馬区関町北1-1-5,35.723835,139.579569,03-3594-8020
豊玉小ねりっこ学童クラブ,練馬区豊玉中4-2-20,35.732245,139.651983,03-3993-6200
大泉第ニ小ねりっこ学童クラブ,練馬区南大泉4-29-11,35.744359,139.573772,03-3924-8771
中村西小ねりっこ学童クラブ,練馬区中村北4-17-1,35.733651,139.634806,03-3990-2977
春日小ねりっこ学童クラブ,練馬区春日町5-12-1,35.746625,139.639362,03-3926-7414
大泉北小ねりっこ学童クラブ,練馬区大泉町4-28-22,35.76217,139.595283,03-3925-2690
高松小ねりっこ学童クラブ,練馬区高松3-16-1,35.749805,139.627395,03-3998-1020
田柄第二小ねりっこ学童クラブ,練馬区田柄1-5-27,35.758447,139.643126,03-5997-0023
関町小ねりっこ学童クラブ,練馬区関町北3-23-34,35.724654,139.5724,03-3929-0311
大泉学園小ねりっこ学童クラブ,練馬区大泉学園町4-7-8,35.765322,139.593008,03-3867-3561
立野小ねりっこ学童クラブ,練馬区立野町17-6,35.717677,139.580882,03-3920-2154
光が丘第八小ねりっこ学童クラブ,練馬区光が丘1-4-1,35.768502,139.637093,03-3930-1223
大泉桜学園学童クラブ,練馬区大泉学園町9-2-12,35.77623,139.591794,03-3924-8411
豊玉東小ねりっこ学童クラブ,練馬区豊玉北1-16-1,35.732724,139.668126,03-6914-9188
光が丘春の風小ねりっこ学童クラブ,練馬区光が丘7-3-3-102,35.755122,139.62486,03-5997-7171
光が丘秋の陽小ねりっこ学童クラブ,練馬区光が丘2-1-1,35.761608,139.634692,03-3976-6106
下石神井小ねりっこ学童クラブ,練馬区下石神井2-20-18,35.731888,139.605658,03-3997-5101
大泉第一小ねりっこ学童クラブ,練馬区大泉町3-16-23,35.765359,139.598713,03-3925-2366
大泉南小ねりっこ学童クラブ,練馬区東大泉6-28-1,35.744622,139.580821,03-3922-1161
光が丘夏の雲小ねりっこ学童クラブ,練馬区光が丘3-6-1,35.75735,139.631341,03-5998-1113
南町小ねりっこ学童クラブ,練馬区練馬2-7-5,35.740726,139.652567,03-3993-2550
練馬第三小ねりっこ学童クラブ,練馬区貫井1-36-15,35.73732,139.635013,03-3577-0048
上石神井北小ねりっこ学童クラブ,練馬区石神井台5-1-10,35.7348,139.588179,03-3920-0255
関町北小ねりっこ学童クラブ,練馬区関町北5-13-40,35.732803,139.574065,03-3920-0881
