名称,所在地,緯度,経度,電話
栄町児童館学童クラブ,練馬区栄町40-7,35.739466,139.671202,03-3994-3287
中村児童館学童クラブ,練馬区中村2-25-3,35.731702,139.642331,03-3998-4890
北町はるのひ児童館学童クラブ,練馬区北町6-35-7,35.75722,139.649454,03-3933-5100
北町児童館学童クラブ,練馬区北町1-19-17,35.763987,139.667876,03-3931-5481
土支田児童館学童クラブ,練馬区土支田2-32-8,35.763512,139.61345,03-3925-4784
南田中児童館学童クラブ,練馬区南田中5-15-25,35.737905,139.611342,03-3995-5534
三原台児童館学童クラブ,練馬区三原台2-11-29,35.757188,139.606163,03-3924-8796
石神井児童館学童クラブ,練馬区石神井町7-28-21,35.744662,139.597986,03-3996-3800
石神井台児童館学童クラブ,練馬区石神井台2-18-13,35.735576,139.589646,03-3995-8267
上石神井児童館学童クラブ,練馬区上石神井1-5-2,35.725646,139.592216,03-3929-0999
関町児童館学童クラブ,練馬区関町南4-15-7-102,35.722774,139.572279,03-3920-1601
東大泉児童館学童クラブ,練馬区東大泉7-20-1,35.742458,139.577223,03-3921-8100
厚生文化会館学童クラブ,練馬区練馬4-2-3,35.740244,139.650011,03-3991-3080
豊玉北地区区民館学童クラブ,練馬区豊玉北3-7-9,35.73256,139.661371,03-3948-3061
桜台地区区民館学童クラブ,練馬区桜台3-39-17,35.745799,139.663153,03-3993-5461
貫井地区区民館学童クラブ,練馬区貫井1-9-1,35.738029,139.635389,03-3926-7218
氷川台地区区民館学童クラブ,練馬区氷川台2-16-14,35.756988,139.667121,03-3932-2065
高松地区区民館学童クラブ,練馬区高松3-24-27,35.751093,139.623611,03-3999-7911
北町第二地区区民館学童クラブ,練馬区北町6-24-101,35.761062,139.655465,03-3931-1276
下石神井地区区民館学童クラブ,練馬区下石神井6-8-15,35.733635,139.603464,03-3904-5061
西大泉地区区民館学童クラブ,練馬区西大泉5-3-32,35.760043,139.57235,03-3921-6494
大泉学園地区区民館学童クラブ,練馬区大泉学園町8-9-5,35.772779,139.592695,03-3922-4101
中村児童館第二学童クラブ,練馬区中村2-25-3,35.731705,139.642165,03-3998-4890
平和台児童館学童クラブ,練馬区平和台2-18-14,35.760075,139.661332,03-3550-8058
東大泉児童館第二学童クラブ,練馬区東大泉7-20-1,35.74246,139.577401,03-3921-8100
