"名称","住所","形状","過去登録","説明","場所名称","アクセス方法","ID$(ラベル)","経度","緯度","分類"
"旧中野刑務所表門","新井三丁目37番3号","レンガ建築の門","","","","","2","139.662002025855","35.714505372854","平和史跡"
"平和記念碑","新井三丁目37番6号","広島市被爆庁舎の敷石で製作された記念碑","","","","","3","139.663247350537","35.7172974171478","平和史跡"
"「憲法擁護・非核都市」の宣言碑","中野四丁目11番19号","","","","","","4","139.662467028844","35.7085369832323","平和史跡"
"白玉稲荷神社の常明灯","中央二丁目8番24号","戦火を受けて焼けただれた常明灯","","","","","6","139.682656047784","35.6982517531563","平和史跡"
"明治寺（百観音）のイチョウ","沼袋二丁目28番20号","空襲で炎上した本堂の熱で","","","","","7","139.664162483023","35.7220661231028","平和史跡"
"東光寺のしいの木","上高田五丁目21番5号","焼夷弾で焼けた後、根から再生したしいの木","","","","","8","139.676163916204","35.7174153882338","平和史跡"
"旧野方給水塔","江古田一丁目3番みずのとう公園内","空襲時の弾丸跡が残る給水塔","","","","","9","139.674881113917","35.7246573774611","平和史跡"
"成願寺の防空壕","本町二丁目26番6号","長さ40m、面積80㎡の防空壕","","","","","10","139.681770023997","35.6941115880322","平和史跡"
"石棒さま","中央一丁目41番1号","空襲で破壊された笠付きの庚申塔","","","","","11","139.683436244545","35.6988568723662","平和史跡"
"布袋様","中央二丁目58番区立宮前公園向かい側","戦火をくぐり抜けた布袋様","","","","","12","139.678616489981","35.7010897474459","平和史跡"
"護憲の像(母と子の平和)","中野二丁目13番14号産業振興センター前庭","漫画家 森哲郎氏から寄贈されたブロンズ像","","","","","13","139.668285335586","35.7045733679164","平和史跡"
