"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","名称_通称","POIコード","外部識別子","外部識別子の値","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等_方書","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FORMURL","連絡先備考_その他_SNSなど","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能時間特記事項","説明","車椅子可","車椅子貸出","ツエ貸出","バリアフリートイレ","スロープ_エレベータ_エスカレータ","点字ブロック等の移動支援","点字や読上による支援","盲導犬_介助犬_聴導犬同伴","字幕","筆談対応","優先駐車場","オストメイト対応トイレ","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考","フリーWI_FI","更衣室","シャワー室","飲食物を購入できる場所","トレーニング室","陸上競技","水泳","サッカー","スキー","テニス","ボート","ホッケー","ボクシング","バレーボール","体操","バスケットボール","スケート","レスリング","セーリング","ウエイトリフティング","ハンドボール","自転車競技","ソフトテニス","卓球","軟式野球","相撲","馬術","フェンシング","柔道","ソフトボール","バドミントン","弓道","ライフル射撃","剣道","近代五種","ラグビーフットボール","山岳_スポーツクライミング","カヌー","アーチェリー","空手道","アイスホッケー","銃剣道","クレー射撃","なぎなた","ボウリング","ボブスレー_リュージュ_スケル_トン","野球","綱引","少林寺拳法","ゲートボール","武術太極拳","ゴルフ","カーリング","パワーリフティング","オリエンテーリング","グラウンド_ゴルフ","トライアスロン","バウンドテニス","エアロビック","バイアスロン","スポーツチャンバラ","ドッジボール","チアリーディング","ペタンク_ブール","ダンススポーツ","拳法競技","経度","緯度","分類"
"131148","N40320000001","東京都中野区","鷺宮スポーツ・コミュニティプラザ","サギノミヤスポーツ・コミュニティプラザ","Saginomiya Sports and Community Plaza","","1110a","","","131148","","中野区白鷺3-1-13","","中野区","白鷺3","1ー13","","","","","","03-3337-1771","","","","","","","中野区","月火水木金土日","9:00","月～土曜日　22:45、日曜日・祝日　21:45","毎月第4月曜日（休日にあたる場合はその翌日）、12/29～1/3は休館日、夏期期間のプールは午前7時から開始","","可","無","無","有","館内エレベーター有","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","無","有","無","有","水、お茶、スポーツドリンクによる水分補給を除き、原則飲食は禁止","無","可","https://www.saginomiya-sports-comm.net/","","","","無","有","有","有","無","無","有","無","無","無","無","無","無","有","有","有","無","無","無","無","有","無","有","有","無","無","無","無","無","有","有","無","無","無","無","無","無","無","無","有","無","無","無","有","無","無","無","無","有","無","有","無","無","無","無","無","無","無","有","無","有","有","有","無","有","有","139.636442645793","35.7224692109235","スポーツ施設"
"131148","N40320000002","東京都中野区","中部スポーツ・コミュニティプラザ","チュウブスポーツ・コミュニティプラザ","Central Sports and Community Plaza","","1110a","","","131148","","中野区中央3-19-1","","中野区","中央3","19ー1","","","","","","03-3363-0608","","","","","","","中野区","月火水木金土日","9:30","20:45","毎月第1・第3月曜日（休日にあたる時はその翌日）、12/29～1/3は休館日","","可","無","無","有","館内エレベーター有","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","無","無","無","有","水、お茶、スポーツドリンクによる水分補給を除き、原則飲食は禁止","無","可","http://www.nakano-sports-comm.net/central/facility/","","","","トレーニングルームにて利用可","有","有","無","有","無","無","無","無","有","無","無","無","有","有","有","無","無","無","無","有","無","有","有","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","有","無","無","無","有","無","無","無","無","有","無","有","無","無","無","無","無","無","無","有","無","有","有","有","無","有","有","139.67420678233","35.7003729695231","スポーツ施設"
"131148","N40320000003","東京都中野区","南部スポーツ・コミュニティプラザ","ナンブスポーツ・コミュニティプラザ","Southern  Sports and Community Plaza","","1110a","","","131148","","中野区弥生町5-11-26","","中野区","弥生町5","11ー26","","","","","","03-5340-7881","","","","","","","中野区","月火水木金土日","9:30","23:00","毎月第1・第3月曜日（休日にあたる時はその翌日）、12/29～1/3は休館日","","可","無","無","有","館内エレベーター有","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","有","無","無","有","水、お茶、スポーツドリンクによる水分補給を除き、原則飲食は禁止","無","可","http://www.nakano-sports-comm.net/southern/facility/","","","","トレーニングルームにて利用可","有","有","無","有","無","有","無","無","有","無","無","無","有","有","有","無","無","無","無","有","無","有","有","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","有","無","無","無","有","無","無","無","無","有","無","有","無","無","無","無","無","無","無","有","無","有","有","有","無","有","有","139.66850453217","35.6881107502144","スポーツ施設"
"131148","N40320000004","東京都中野区","上高田運動施設（野球場、庭球場）","カミタカダウンドウシセツ","Kamitakada  Sports Facility","","","","","131148","","中野区上高田5-6-1","","中野区","上高田5","6ー1","","","","","","03-3385-8900","","","","","","","中野区","月火水木金土日","3/1～12/10　07:00、12/11～2月末　09:00","21:00","5月第3木曜日、12/29～1/3は休場日","","可","無","無","有","館内エレベーター有","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","有","無","無","有","可","無","可","https://www.tetsugakudo.jp/kamitakada/niwas.html","","","","無","有","有","有","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","有","有","有","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","139.678574950167","35.7173316338774","スポーツ施設"
"131148","N40320000005","東京都中野区","哲学堂運動施設（野球場、庭球場、弓道場）","テツガクドウウンドウシセツ","Tetsugakudo Park Sports Facility","","","","","131148","","中野区松が丘1-34-28","","中野区","松が丘1","34ー28","","","","","","03-3951-2515","","","","","","","中野区","月火水木金土日","3/1～6/30　08:00、7/1～8/31　07:00、9/1～11/30　08:00、12/1～2月末　09:00","3/1～9/30　18:00、10/1～2月末日　17:00","9月第1木曜日、12/29～1/3は休場日","","可","無","無","無","無","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","有","無","無","有","可","無","可","https://www.tetsugakudo.jp/tetsugakudou/niwa.html","","","","無","有","有","有","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","有","無","有","無","無","無","無","有","無","有","有","無","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","139.673858450597","35.7219423776738","スポーツ施設"
"131148","N40320000006","東京都中野区","妙正寺川公園運動広場","ミョウショウジガワコウエンウンドウヒロバ","Myoshojigawa Park Athletic Field","","","","","131148","","中野区松が丘1-33","","中野区","松が丘1","33","","","","","","03-3951-2515","","","","","","","中野区","月火水木金土日（毎月1日～15日）","9:00","6/1～8/31　19:00、9/1～5/31　17:00","毎月16日～月末は新宿区の利用期間、第2第4土曜日は中学生以下及びその同伴者への開放日","","可","無","無","無","無","無","無","可","無","可（受付にて）","無","無","無","有","可","無","可","https://www.tetsugakudo.jp/place.html","","","","無","有","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","139.673416600785","35.720968165005","スポーツ施設"
"131148","N40320000007","東京都中野区","中野区立総合体育館","ナカノクリツソウゴウタイイクカン","Nakano City General Gymnasium","","","","","131148","","中野区新井3-37","","中野区","新井3","37-78","","","","","","03-5860-0024","","","","","","","中野区","月火水木金土日","6:45","22:30","毎月第2月曜日（休日にあたる場合はその翌日）、12/29～1/3は休館日","","可","可","無","有","館内エレベーター有","施設入口から受付まで点字ブロック敷設","有（諸室名称の点字表示）","可","無","可（受付にて）","有","有","有","有","水、お茶、スポーツドリンクによる水分補給を除き、原則飲食は禁止","無","可","https://www.heiwanomori-park.com/","","","","カフェスペースにて利用可","有","有","カフェスペース有","有","有","無","無","無","無","無","無","無","有","有","有","無","無","無","無","有","無","有","有","無","無","無","無","有","無","有","無","無","有","無","無","無","無","無","有","無","無","無","有","無","無","無","無","有","無","有","無","無","無","無","無","無","無","有","無","有","有","有","無","有","有","139.662988875083","35.7158028869535","スポーツ施設"
"131148","N40320000008","東京都中野区","哲学堂庭球場","テツガクドウテイキュウジョウ","Tetsugakudo Park Tennis Courts","","","","","131148","","中野区松が丘1-34-28","","中野区","松が丘1","34ー28","","","","","","03-3951-2515","","","","","","","中野区","月火水木金土日","3/1～6/30　08:00、7/1～8/31　07:00、9/1～11/30　08:00、12/1～2月末　09:00","3/1～9/30　18:00、10/1～2月末日　17:00","9月第1木曜日、12/29～1/3は休場日","","可","無","無","無","無","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","有","無","無","有","可","無","可","https://www.tetsugakudo.jp/tetsugakudou/niwa.html","","","","無","有","有","有","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","139.673858450597","35.7219423776738","スポーツ施設"
"131148","N40320000009","東京都中野区","哲学堂野球場","テツガクドウヤキュウジョウ","Tetsugakudo Park Baseball Field","","","","","131148","","中野区松が丘1-34-28","","中野区","松が丘1","34ー28","","","","","","03-3951-2515","","","","","","","中野区","月火水木金土日","3/1～6/30　08:00、7/1～8/31　07:00、9/1～11/30　08:00、12/1～2月末　09:00","3/1～9/30　18:00、10/1～2月末日　17:00","9月第1木曜日、12/29～1/3は休場日","","可","無","無","無","無","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","有","無","無","有","可","無","可","https://www.tetsugakudo.jp/tetsugakudou/baseball.html","","","","無","有","有","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","139.673858450597","35.7219423776738","スポーツ施設"
"131148","N40320000010","東京都中野区","上高田庭球場","カミタカダテイキュウジョウ","Kamitakada Tennis Courts","","","","","131148","","中野区中野区上高田5-6-1","","中野区","上高田5","6ー1","","","","","","03-3385-8900","","","","","","","中野区","月火水木金土日","3/1～12/10　07:00、12/11～2月末　09:00","21:00","5月第3木曜日、12/29～1/3は休場日","","可","無","無","有","館内エレベーター有","施設入口から受付まで点字ブロック敷設","無","可","無","可（受付にて）","有","無","無","有","可","無","可","https://www.tetsugakudo.jp/kamitakada/niwas.html","","","","無","有","有","有","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","有","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","無","139.678574950167","35.7173316338774","スポーツ施設"
