"都道府県コード又は市区町村コード","No","都道府県名","市区町村名","名称","名称_カナ","名称_通称","POIコード","住所","方書","電話番号","内線番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","説明","バリアフリー情報","URL","備考","郵便番号","アクセス方法","駐車場_有無","駐車場情報","料金_要否","料金_基本","料金_詳細","利用条件_有無","利用条件_詳細","託児所_有無","託児所_詳細","画像","画像_ライセンス","画像_詳細","経度","緯度","分類"
"131148","115","東京都","中野区","宮園高齢者会館","ミヤゾノコウレイシャカイカン","","1499a","中野区中央2-18-21","","03-3365-0318","","","","","","","","","","","","164-0011","ＪＲ「東中野」駅下車徒歩12分・東京メトロ丸ノ内線・都営大江戸線「中野坂上」駅下車徒歩5分","","","","","","","","","","","","","139.682485610715","35.7004229776672","区民活動センター・高齢者会館等_中部"
"131148","116","東京都","中野区","昭和高齢者会館","ショウワコウレイシャカイカン","","1499a","中野区東中野3-19-18","","03-3367-0813","","","","","","","","","","","","164-0003","JR「東中野」駅西口より徒歩5分、都営地下鉄大江戸線「東中野」駅A2出口より徒歩5分、東京メトロ東西線「落合」駅1番出口より徒歩5分","","","","","","","","","","","","","139.680779926314","35.7083222009287","区民活動センター・高齢者会館等_中部"
"131148","117","東京都","中野区","東中野いこいの家","ヒガシナカノイコイノイエ","","1499a","中野区東中野4-9-22-201","","03-3364-5938","","","","","","","","","","","","164-0003","JR「東中野」駅東口より徒歩2分、都営地下鉄大江戸線「東中野」駅A1出口より徒歩4分","","","","","","","","","","","","","139.685771207837","35.7074763909635","区民活動センター・高齢者会館等_中部"
"131148","118","東京都","中野区","上高田高齢者会館","カミタカダコウレイシャカイカン","","1499a","中野区上高田2-8-11","","03-3385-3307","","","","","","","","","","","","164-0002","西武新宿線「新井薬師前」駅南口より徒歩10分、JR「中野」駅北口から関東バス(宿08「新宿駅西口」行)「もみじ山通」より徒歩4分、JR「中野」駅北口から関東バス(池11「池袋駅西口」行、中10「丸山営業所」行、中12「江古田駅」行)・国際興業バス(池11「池袋駅西口」行)「中野五丁目」より徒歩6分","","","","","","","","","","","","","139.672458802044","35.7107741179762","区民活動センター・高齢者会館等_中部"
"131148","119","東京都","中野区","上高田東高齢者会館","カミタカダヒガシコウレイシャカイカン","","1499a","中野区上高田4-17-3","","03-3228-7220","","","","","","","","","","","","164-0002","西武新宿線「新井薬師前」駅南口より徒歩7分、東京メトロ東西線「落合」駅1・2番出口より徒歩7分、JR「東中野」駅西口より徒歩10分、都営地下鉄大江戸線「東中野」駅A1出口より徒歩10分","","","","","","","","","","","","","139.677870633415","35.7128945897698","区民活動センター・高齢者会館等_中部"
"131148","140","東京都","中野区","中部すこやか福祉センター","チュウブスコヤカフクシセンター","","1399a","中野区中央3-19-1","","03-3367-7788","","","","","","","","","","","","164-0011","電車　ＪＲ中央線、東京メトロ東西線「中野」駅下車　南口より徒歩20分、東京メトロ丸ノ内線「新中野」駅下車　出口4番より徒歩9分　　バス　京王バス（渋64）、関東バス（宿05）「堀越学園前」下車徒歩5分　駐車場　車での来所はご遠慮ください。障害のある方は、事前にお問い合わせください。","","","","","","","","","","","","","139.67420678233","35.7003729695231","区民活動センター・高齢者会館等_中部"
"131148","155","東京都","中野区","東部区民活動センター","トウブクミンカツドウセンター","","1305a","中野区中央2-18-21","","03-3363-0751","","","","","","","","","","","","164-0011","ＪＲ「東中野」駅下車徒歩12分・東京メトロ丸ノ内線・都営大江戸線「中野坂上」駅下車徒歩5分　 ※駐車場は、ありません。","","","","","","","","","","","","","139.682485610715","35.7004229776672","区民活動センター・高齢者会館等_中部"
"131148","156","東京都","中野区","桃園区民活動センター","モモゾノクミンカツドウセンター","","1305a","中野区中央4-57-1","","03-3382-5151","","","","","","","","","","","","164-0011","ＪＲ中野駅南口から徒歩10分 駐車場はありません。","","","","","","","","","","","","","139.667329508614","35.7022896069225","区民活動センター・高齢者会館等_中部"
"131148","157","東京都","中野区","昭和区民活動センター","ショウワクミンカツドウセンター","","1305a","中野区中野6-16-20","","03-3368-8181","","","","","","","","","","","","164-0001","JR「中野」「東中野」駅下車徒歩15分、東京メトロ東西線「落合」駅下車徒歩20分　※駐車場は、ありません。","","","","","","","","","","","","","139.674988727722","35.707320861026","区民活動センター・高齢者会館等_中部"
"131148","158","東京都","中野区","東中野区民活動センター","ヒガシナカノクミンカツドウセンター","","1305a","中野区東中野5-27-5","","03-3364-6677","","","","","","","","","","","","164-0003","ＪＲ「東中野」駅東口北側から徒歩8分・都営大江戸線「東中野」駅から徒歩12分・東京メトロ東西線「落合」駅3番出口から徒歩5分","","","","","","","","","","","","","139.690363131841","35.7102226558072","区民活動センター・高齢者会館等_中部"
"131148","159","東京都","中野区","上高田区民活動センター","カミタカダクミンカツドウセンター","","1305a","中野区上高田2-11-1","","03-3389-1311","","","","","","","","","","","","164-0002","西武新宿線「新井薬師前」駅南口下車徒歩10分・ＪＲ中野駅北口から徒歩20分・ＪＲ中野駅北口から関東バス宿08小滝橋経由新宿駅西口行「もみじ山通」下車徒歩5分・ＪＲ中野駅北口から関東バス中12江原中野通経由江古田駅行・国際興業バス池11新井薬師前駅経由池袋駅西口行「中野五丁目」下車徒歩5分・ＪＲ東中野駅西口から徒歩25分","","","","","","","","","","","","","139.672564451814","35.7115506405589","区民活動センター・高齢者会館等_中部"
