"都道府県コード又は市区町村コード","No","都道府県名","市区町村名","名称","名称_カナ","名称_通称","POIコード","住所","方書","電話番号","内線番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","説明","バリアフリー情報","URL","備考","郵便番号","アクセス方法","駐車場_有無","駐車場情報","料金_要否","料金_基本","料金_詳細","利用条件_有無","利用条件_詳細","託児所_有無","託児所_詳細","画像","画像_ライセンス","画像_詳細","添付ファイル","経度","緯度","分類"
"131148","120","東京都","中野区","沼袋高齢者会館","ヌマブクロコウレイシャカイカン","沼袋高齢者会館","1499a","中野区沼袋1-34-14","","03-3387-7381","","","","月火水木金","9：00","17：00","","","多目的トイレあり","","","165-0025","西武新宿線沼袋駅下車徒歩3分","","","","","","","","","","","","","","139.665185670066","35.7197200650732","高齢者会館等_北部"
"131148","121","東京都","中野区","野方高齢者会館","ノガタコウレイシャカイカン","野方高齢者会館","1499a","中野区野方2-29-12","","03-3388-9586","","","","月火水木金","9：00","17：00","","","多目的トイレあり","","","165-0027","西武新宿線野方駅下車徒歩10分　　西武新宿線沼袋駅下車徒歩11分","","","","","","","","","","","","","","139.656558275944","35.7146754503126","高齢者会館等_北部"
"131148","122","東京都","中野区","東山高齢者会館","ヒガシヤマコウレイシャカイカン","東山高齢者会館","1499a","中野区野方4-41-7","","03-3228-5280","","","","月火水木金","9：00","17：00","","","多目的トイレあり、エレベータあり","","","165-0027","西武新宿線野方駅下車徒歩10分","","","","","","","","","","","","","","139.656453426755","35.72162883715","高齢者会館等_北部"
"131148","141","東京都","中野区","北部すこやか福祉センター","ホクブスコヤカフクシセンター","北部すこやか福祉センター","1399a","中野区江古田4-31-10","","03-3389-4321","","","","月火水木金土","8：30","17：00","祝日、年末年始は利用不可。","","多目的トイレあり","","","165-0022","電車…西武新宿線「沼袋」駅下車 北口より徒歩10分　　バス…京王バス（中92）「江古田4丁目」下車 徒歩2分 　　※車でのご来館は、ご遠慮ください。障害のある方は、事前にお問い合わせください。","","","","","","","","","","","","","https://ss13.wgm.info-mapping.com/13114/file/公共施設一覧_北部すこやか福祉/北部すこやか福祉センター　ご案内.pdf","139.661481744202","35.7246492439286","高齢者会館等_北部"
"131148","160","東京都","中野区","新井区民活動センター","アライクミンカツドウセンター","新井区民活動センター","1305a","中野区新井3-11-4","","03-3389-1411","","","","月火水木金土日","8:30","22:00","定期清掃月（6月、9月、12月、3月）の第3月曜日（第3月曜日が祝日の場合は、直後の休日でない日）及び年末年始は利用不可。※改修工事期間中（2019年11月1日から2020年3月1日まで）は、平日のみ午前8時30分から午後5時まで利用可能。","","多目的トイレ有り;車椅子貸出有り;エレベーター有り;手すり有り;点字ブロック有り","","","165-0026","ＪＲ中野駅北口より徒歩15分・西武新宿線「沼袋」駅南口より徒歩10分 　※車での来館は、ご遠慮ください。障害のある方は、事前にお問い合わせください。","","","","","","","","","","","","","","139.663561935998","35.714251744636","高齢者会館等_北部"
"131148","161","東京都","中野区","江古田区民活動センター","エゴタクミンカツドウセンター","江古田区民活動センター","1305a","中野区江原町2-3-15","","03-3954-6811","","","","月火水木金土日","8:30","22:00","毎月第3月曜日（第3月曜日が祝日の場合は、直後の休日でない日）は、午前8時30分から午後5時まで。年末年始は利用不可","","多目的トイレ有り;車椅子貸出有り;エレベーター有り;手すり有り;点字ブロック有り","","","165-0023","ＪＲ中野駅北口から関東バス中27江古田の森行、中25練馬駅行、中28江古田駅行「江古田3丁目」下車徒歩4分・ＪＲ中野駅北口から中41江古田駅行(丸山営業所経由)「江古田区民活動センター・江古田地域事務所」下車徒歩3分・都営大江戸線「新江古田」駅A1出入口徒歩7分 　　　　　　※車での来館は、ご遠慮ください。障害のある方は、事前にお問合わせください。","","","","","","","","","","","","","","139.669746450145","35.7288001639687","高齢者会館等_北部"
"131148","162","東京都","中野区","沼袋区民活動センター","ヌマブクロクミンカツドウセンター","沼袋区民活動センター","1305a","中野区沼袋2-40-18","","03-3389-4571","","","","月火水木金土日","8:30","22:00","毎月第3月曜日（第3月曜日が祝日の場合は、直後の休日でない日）は、午前8時30分から午後5時まで。年末年始は利用不可","","多目的トイレ有り;車椅子貸出有り;エレベーター有り;手すり有り;点字ブロック有り","","","165-0025","西武新宿線「沼袋」駅北口下車徒歩7分・ＪＲ中野駅北口から京王バス中92練馬駅行「江古田四丁目」下車徒歩1分 駐車場はありません。車での来館はご遠慮ください。障害のある方は、事前にお問い合わせください。","","","","","","","","","","","","","","139.663046943301","35.7236111514129","高齢者会館等_北部"
"131148","163","東京都","中野区","野方区民活動センター","ノガタクミンカツドウセンター","野方区民活動センター","1305a","中野区野方5-3-1","","03-3330-4121","","","","月火水木金土日","8:30","22:00","毎月第2月曜日（第3月曜日が祝日の場合は、直後の休日でない日）は、午前8時30分から午後5時まで。年末年始は利用不可","","多目的トイレ有り;車椅子貸出有り;エレベーター有り;エスカレーター有り;手すり有り;点字ブロック有り","","","165-0027","西武新宿線「野方」駅下車徒歩2分 ※車での来館は、ご遠慮ください。障害のある方は、事前にお問い合わせください。","","","","","","","","","","","","","","139.653372525234","35.7183322407295","高齢者会館等_北部"
"131148","164","東京都","中野区","野方区民活動センター分室","ノガタクミンカツドウセンターブンシツ","野方区民活動センター分室","1305a","中野区丸山2-24-1-109","","03-3338-7057","","","","月火水木金","9:00","17:00","祝日、年末年始は利用不可。","","","","","165-0021","西武新宿線「野方」下車徒歩10分","","","","","","","","","","","","","","139.650366553558","35.7237272515667","高齢者会館等_北部"
"131148","165","東京都","中野区","松が丘シニアプラザ","マツガオカシニアプラザ","松が丘シニアプラザ","","中野区松が丘1-32-10","","03-5380-5761","","","","月火水木金土","9：00","17：00","","","多目的トイレあり、エレベータあり","","","165-0024","西武新宿線新井薬師前駅下車徒歩13分　　関東バス、京王バス「下田橋」下車すぐ","","","","","","","","","","","","","","139.672061083615","35.7211626713389","高齢者会館等_北部"
