"名称","所在地","連絡先","入出庫可能時間","収容台数","利用形態","一時利用料_都度","定期利用料_1ヶ月","定期利用料_3ヶ月","定期利用料_年間","バイク利用","バイク一時利用料","窓口開設時間","添付ファイル","経度","緯度","分類"
"鷺宮南自転車駐車場","東京都中野区白鷺2-49","03-3310-6244","24時間","450台","一時利用と定期利用の併設","1回100円","1100円","3000円","-","可","1回200円","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/4_鷺宮南自転車駐車場利用案内.pdf","139.636253","35.7219859999984","区営自転車駐車場設置箇所"
"鷺宮北自転車駐車場","東京都中野区鷺宮3-30","03-3310-5381","24時間","248台","一時利用と定期利用の併設","1回100円","1900円","5100円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/6_鷺宮北自転車駐車場利用案内.pdf","139.639751","35.7236809999985","区営自転車駐車場設置箇所"
"鷺宮東自転車駐車場","東京都中野区若宮3-56","03-3338-5644","24時間","400台","一時利用と定期利用の併設","1回100円","1600円","4200円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/5_鷺宮東自転車駐車場利用案内.pdf","139.640608999999","35.721372999998","区営自転車駐車場設置箇所"
"都立家政北自転車駐車場","東京都中野区鷺宮1-26-4","03-3336-3732","24時間","270台","一時利用と定期利用の併設","1回100円","1900円","5100円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/11_都立家政北自転車駐車場利用案内.pdf","139.644979999999","35.7230789999986","区営自転車駐車場設置箇所"
"都立家政南自転車駐車場","東京都中野区若宮3-15-12","03-3337-2627","24時間","370台","一時利用と定期利用の併設","1回100円","1900円","5100円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/10_都立家政南自転車駐車場利用案内.pdf","139.645196999999","35.7217919999979","区営自転車駐車場設置箇所"
"野方第一自転車駐車場","東京都中野区野方5-32","03-3310-2340","24時間","140台","一時利用のみ","1回100円","-","-","-","不可","-","24時間(自動精算機)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/19_野方第一自転車駐車場利用案内.pdf","139.651439","35.7200389999983","区営自転車駐車場設置箇所"
"野方第二自転車駐車場","東京都中野区野方5-32","03-3310-2340","24時間","260台","一時利用と定期利用の併設","1回100円","1900円","5100円","-","不可","-","6:30~18:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/20_野方第二自転車駐車場利用案内.pdf","139.651723999999","35.7200759999987","区営自転車駐車場設置箇所"
"野方東自転車等駐車整理区画(南)","東京都中野区野方5-25,5-26","03-3310-2340","24時間","344台","年間利用のみ","-","-","-","9600円","不可","-","6:30~18:00(野方第二)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/2122_野方東自転車等駐車整理区画利用案内.pdf","139.653674","35.718616999998","区営自転車駐車場設置箇所"
"野方東自転車等駐車整理区画(北)","東京都中野区野方6-1","03-3310-2340","24時間","226台","定期利用のみ","-","-","-","9600円","不可","-","6:30~18:00(野方第二)","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/2122_野方東自転車等駐車整理区画利用案内.pdf","139.653675","35.7198719999979","区営自転車駐車場設置箇所"
"中野西自転車駐車場（屋外）","東京都中野区中野4-14","03-5380-1373","24時間","1417台","定期利用のみ","-","900円","2400円","-","不可","-","6:30~20:00","https://ss13.wgm.info-mapping.com/13114/file/区営自転車駐車場設置箇所/2_中野西自転車駐車場利用案内.pdf","139.661991272306","35.705919380698","区営自転車駐車場設置箇所"
