"市区町村コード","番号","都道府県名","市区町村名","営業所名称","営業の種類","業態","営業所所在地","営業所方書","営業所電話番号","許可番号","初回許可年月日","許可日","許可開始日","許可満了日","最終確認日","経度","緯度","分類"
"","","","","","洋食屋さん　レストラントロワ・フェザン","【～Ｒ３．５】飲食店営業（一般・その他）","南台一丁目１番２号","シャルム西新宿　１階","03-3374-1933","30中環生食第433号","平成16年8月4日","平成30年8月16日","平成30年9月1日","令和7年8月31日","","139.677739357548","35.6873499244933","食品等営業許可_届出一覧"
"","","","","","スギ薬局　中野南台店","⑬ その他の食料・飲料販売業","南台一丁目１番１４号","サンハイツ１階","03-6300-6091","3中健衛食第536号","","","","","","139.676925024951","35.6870940592172","食品等営業許可_届出一覧"
"","","","","","スギドラック　中野南台店","⑪ 百貨店、総合スーパー","南台一丁目１番１４号","サンハイツ１階","03-6300-6091","4中健衛食第354号","","","","","","139.676925024951","35.6870940592172","食品等営業許可_届出一覧"
"","","","","","ＣＨＯＣＯＬＡＴＥ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","南台一丁目２番７号","","","31中健衛食第759号","平成14年1月25日","令和2年2月25日","令和2年2月1日","令和9年1月31日","","139.676502103196","35.6869729858485","食品等営業許可_届出一覧"
"","","","","","秀苑","【～Ｒ３．５】飲食店営業（一般・中華料理）","南台一丁目２番７号","","3376-1369","29中環生食第1204号","平成16年3月31日","平成30年3月13日","平成30年4月1日","令和7年3月31日","","139.676502103196","35.6869729858485","食品等営業許可_届出一覧"
"","","","","","鳥芳","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","南台一丁目３番８号","","3376-7431","29中環生食第904号","平成22年11月30日","平成29年12月6日","平成29年12月1日","令和6年11月30日","","139.676183676085","35.6868081250857","食品等営業許可_届出一覧"
"","","","","","（有）三浦屋","【～Ｒ３．５】飲食店営業（弁当）","南台一丁目５番７号","","3377-7437","2中健衛食第1315号","平成12年3月31日","令和3年3月25日","令和3年4月1日","令和10年3月31日","","139.675627020858","35.686712578591","食品等営業許可_届出一覧"
"","","","","","ＨＳＪＷＯＲＫＳ","【～Ｒ３．５】飲食店営業（一般・その他）","南台一丁目１３番５号","","03-6304-2883","2中健衛食第1119号","平成27年2月5日","令和3年2月10日","令和3年3月1日","令和9年2月28日","","139.673229643275","35.6835874239959","食品等営業許可_届出一覧"
"","","","","","曙寿司","飲食店営業［一般飲食店］","南台一丁目１４番４号","","3377-0839","3中健衛食第1211号","令和3年9月30日","令和3年9月30日","令和3年9月30日","令和9年9月30日","","139.673122713974","35.6837461790987","食品等営業許可_届出一覧"
"","","","","","東京大学教育学部付属中等教育学校","③ 乳類販売業","南台一丁目１５番１号","東京大学教育学部付属中等教育学校","3377-3411","3中健衛食第537号","","","","","","139.673129048981","35.6858391135084","食品等営業許可_届出一覧"
"","","","","","東大生協東大付属中高店","⑥ 弁当販売業","南台一丁目１５番１号","","5351-6304","3中健衛食第538号","","","","","","139.673129048981","35.6858391135084","食品等営業許可_届出一覧"
"","","","","","社会福祉法人ちとせ校友会　中野南台ちとせ保育園","? 集団給食施設","南台二丁目１番５号","","03-6454-1983","3中健衛食第1668号","","","","","","139.673011868291","35.6830973325144","食品等営業許可_届出一覧"
"","","","","","ＰＲＩＭＡＬ","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","南台二丁目４番１号","１Ｆ","03-6382-4748","28中環生食第255号","平成28年7月12日","平成28年7月12日","平成28年7月12日","令和5年7月31日","","139.671396377235","35.6815889662893","食品等営業許可_届出一覧"
"","","","","","割烹料理　活魚料理　海花","【～Ｒ３．５】飲食店営業（一般・その他）","南台二丁目１０番５号","","03-6304-8826","2中健衛食第496号","平成25年7月18日","令和2年7月30日","令和2年8月1日","令和9年7月31日","","139.669659037478","35.6816290273218","食品等営業許可_届出一覧"
"","","","","","ワタミタクショク中野南台営業所","⑥ 弁当販売業","南台二丁目１１番６号","ブルージュ星野　１階","","3中健衛食第540号","","","","","","139.66966240479","35.6818748151828","食品等営業許可_届出一覧"
"","","","","","茂木商店","⑦ 野菜果物販売業","南台二丁目１６番１号","","3381-4103","3中健衛食第377号","","","","","","139.671358331119","35.6823782749302","食品等営業許可_届出一覧"
"","","","","","ケータリングＮＯＴＯ","【～Ｒ３．５】飲食店営業（仕出し）","南台二丁目１８番３号","和暢ビル１階","03-5964-5501","29中環生食第648号","平成29年10月2日","平成29年10月2日","平成29年10月2日","令和6年10月31日","","139.67162804585","35.6825800104097","食品等営業許可_届出一覧"
"","","","","","ケータリングＮＯＴＯ","【～Ｒ３．５】菓子製造業（その他・その他）","南台二丁目１８番３号","和暢ビル１階","03-5964-5501","30中環生食第231号","平成30年5月31日","平成30年5月31日","平成30年5月31日","令和7年5月31日","","139.67162804585","35.6825800104097","食品等営業許可_届出一覧"
"","","","","","ケータリングＮＯＴＯ","【～Ｒ３．５】そうざい製造業","南台二丁目１８番３号","和暢ビル１階","03-5964-5501","30中環生食第232号","平成30年5月31日","平成30年5月31日","平成30年5月31日","令和7年5月31日","","139.67162804585","35.6825800104097","食品等営業許可_届出一覧"
"","","","","","神楽坂　前田","【～Ｒ３．５】そうざい製造業","南台二丁目１８番３号","和暢ビル１階","03-5964-5501","29中環生食第857号","平成29年11月14日","平成29年11月14日","平成29年11月14日","令和6年11月30日","","139.67162804585","35.6825800104097","食品等営業許可_届出一覧"
