"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","業態廃止日","緯度","経度"
"202204","2022/4/18","薬局","休止","高輪薬局","東京都港区高輪三丁目7番8号","西町ビル1階","03-6721-7304","3港み生薬第69号",,"35.632756","139.732319"
"202204","2022/4/8","薬局","廃止","西新橋中央薬局","東京都港区西新橋一丁目5番9号","TSビル2階","03-5251-8300","27港み生薬第90号","2022/4/7","35.668188","139.751892"
"202205","2022/5/6","薬局","廃止","永井薬局","東京都港区麻布十番一丁目8番10号",,"03-3583-3889","28港み生薬第8号","2022/4/30","35.655959","139.735522"
"202206","2022/6/1","薬局","廃止","雄飛堂薬局　浜松町店","東京都港区芝浦一丁目3番10号","チサンホテル浜松町1階","03-6811-5655","2港み生薬第37号","2022/5/31","35.649863","139.755531"
"202206","2022/6/13","薬局","廃止","高輪薬局","東京都港区高輪三丁目7番8号","西町ビル1階","03-6721-7304","3港み生薬第69号","2022/6/6","35.632756","139.732319"
"202207","2022/7/1","薬局","廃止","ニホンドウ薬局","東京都港区高輪三丁目25番29号","前川ビル1階","03-5420-4193","29港み生薬第41号","2022/6/26","35.631471","139.73794"
"202207","2022/7/19","薬局","廃止","アイビス薬局　三田店","東京都港区三田三丁目1番5号","第一奈半利川ビル1階","03-6453-8914","28港み生薬第50号","2022/7/13","35.647789","139.743720"
"202208","2022/8/1","薬局","廃止","はなみずき薬局","東京都港区芝浦三丁目13番18号","TOHOビル1階","03-6809-3166","31港み生薬第32号","2022/7/31","35.643222","139.748857"
"202208","2022/8/2","薬局","廃止","フレンド薬局　芝大門店","東京都港区芝公園一丁目7番16号","三堀ビル1階","03-6450-1861","29港み生薬第8号","2022/7/31","35.657185","139.751999"
"202208","2022/8/1","薬局","廃止","善光堂薬局","東京都港区南青山三丁目13番22号",,"03-3401-3714","29港み生薬第97号","2022/4/25","35.665741","139.713440"
"202209","2022/9/9","薬局","廃止","健康館薬局","東京都港区高輪四丁目1番18号","高輪ビル1階","050-3802-1631","31港み生薬第69号","2022/8/31","35.629197","139.731554"
"202209","2022/9/14","薬局","廃止","いまくま薬局","東京都港区南青山四丁目2番4号","シャトー青山第3  1階","03-3479-9058","3港み生薬第49号","2022/8/31","35.666107","139.720379"
"202210","2022/10/3","薬局","廃止","セルフケア薬局　東京ポートシティ竹芝店","東京都港区海岸一丁目7番1号","東京ポートシティ竹芝オフィスタワー6階",,"3港み生薬第81号","2022/9/30","35.655311","139.7604"
"202211","2022/11/1","薬局","廃止","みなと虎ノ門薬局","東京都港区虎ノ門三丁目10番4号","虎ノ門ガーデン102号室","03-6453-0617","2港み生薬第42号","2022/10/31","35.664775","139.74772"
"202212","2022/12/6","薬局","廃止","田町駅前薬局","東京都港区芝浦三丁目1番32号","なぎさテラス108-B","03-3457-7700","31港み生薬第49号","2022/11/30","35.644924","139.748367"
"202301","2023/1/5","薬局","廃止","オバタ薬局","東京都港区麻布十番一丁目7番11号","麻布井上ビル1階","03-3401-8717","30港み生薬第62号","2022/12/31","35.656315","139.734587"
"202301","2023/1/24","薬局","廃止","ＱＯＬサポート　クオール薬局　田町店","東京都港区芝五丁目27番6号","泉田町ビル1階","03-6435-3089","30港み生薬第48号","2023/1/22","35.647095","139.746482"
"202302","2023/2/1","薬局","廃止","みらい薬局","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル4F","03-5114-5101","30港み生薬第83号","2023/1/31","35.669220","139.741745"

"薬局廃止休止一覧(令和5年2月28日現在)","Ver202302",,,,,,,,,,
