"年月[西暦]","調査項目","設問","回答者の属性種別","回答者の属性","選択肢A[人]","選択肢B[人]","選択肢C[人]","選択肢D[人]","選択肢E[人]","選択肢F[人]","選択肢G[人]","選択肢H[人]","選択肢I[人]","選択肢J[人]","選択肢K[人]","選択肢L[人]","選択肢M[人]","選択肢N[人]","選択肢O[人]","選択肢P[人]","選択肢Q[人]","選択肢R[人]","選択肢S[人]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]","選択肢K[%]","選択肢L[%]","選択肢M[%]","選択肢N[%]","選択肢O[%]","選択肢P[%]","選択肢Q[%]","選択肢R[%]","選択肢S[%]"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","性別","男性","66","43","28","80","54","87","33","101","29","32","33","45","47","10","10","17","21","6","33","27.2","17.7","11.5","32.9","22.2","35.8","13.6","41.6","11.9","13.2","13.6","18.5","19.3","4.1","4.1","7.0","8.6","2.5","13.6"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","性別","女性","75","71","36","115","66","110","67","93","52","26","53","45","57","14","14","26","28","4","28","27.6","26.1","13.2","42.3","24.3","40.4","24.6","34.2","19.1","9.6","19.5","16.5","21.0","5.1","5.1","9.6","10.3","1.5","10.3"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","18～29歳","17","15","8","18","6","21","5","20","6","2","8","7","9","1","6","3","4","0","6","36.2","31.9","17.0","38.3","12.8","44.7","10.6","42.6","12.8","4.3","17.0","14.9","19.1","2.1","12.8","6.4","8.5","0.0","12.8"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","30～39歳","30","17","13","23","21","38","20","31","19","10","15","13","17","9","3","10","9","1","11","30.6","17.3","13.3","23.5","21.4","38.8","20.4","31.6","19.4","10.2","15.3","13.3","17.3","9.2","3.1","10.2","9.2","1.0","11.2"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","40～49歳","36","32","15","58","38","51","37","57","29","14","27","25","33","5","7","9","14","6","22","24.3","21.6","10.1","39.2","25.7","34.5","25.0","38.5","19.6","9.5","18.2","16.9","22.3","3.4","4.7","6.1","9.5","4.1","14.9"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","50～59歳","31","25","15","52","26","45","23","44","11","16","18","25","24","3","6","12","9","3","16","23.7","19.1","11.5","39.7","19.8","34.4","17.6","33.6","8.4","12.2","13.7","19.1","18.3","2.3","4.6","9.2","6.9","2.3","12.2"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","60～69歳","17","14","8","29","15","25","12","27","12","8","10","10","14","2","1","6","10","0","5","28.3","23.3","13.3","48.3","25.0","41.7","20.0","45.0","20.0","13.3","16.7","16.7","23.3","3.3","1.7","10.0","16.7","0.0","8.3"
"202003","区の取組","Q7. 港区の環境をより良くしていくため、今後、区が特に重点的に取り組むべきと思うものを選んでください。（〇は5つまで）","年齢","70歳以上","10","11","5","15","14","17","3","15","4","8","8","10","7","4","1","3","3","0","1","32.3","35.5","16.1","48.4","45.2","54.8","9.7","48.4","12.9","25.8","25.8","32.3","22.6","12.9","3.2","9.7","9.7","0.0","3.2"

"港区の環境に関する区民アンケート（Web）調査結果・クロス集計表・区の取組Q7","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
