応援消防署／応援を受けた消防本部,件数／計,件数／普通応援,件数／特別応援,出場車両／計,出場車両／ポンプ車,出場車両／救急車,出場車両／特殊車,出場車両／その他,従事／件数,従事／台数,従事／放水口数,従事／使用ホース数,従事／放水時間(分),出場人員／計,出場人員／従事,出場人員／不従事,公務災害発生状況,焼損床面積(m2)
計,298,193,105,423,158,173,75,17,176,270,15,101,1142,1581,950,631,－,－
京橋／綾瀬市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
芝／成田市,3,－,3,3,－,3,－,－,3,3,－,－,－,9,9,－,－,－
高輪／綾瀬市,3,－,3,3,－,3,－,－,3,3,－,－,－,9,9,－,－,－
荏原／川崎市,2,－,2,2,－,2,－,－,2,2,－,－,－,6,6,－,－,－
大井／川崎市,1,－,1,1,－,－,1,－,1,1,－,－,－,2,2,－,－,－
大森／川崎市,2,－,2,2,－,1,1,－,1,1,－,－,－,9,6,3,－,－
東調布／川崎市,2,2,－,2,2,－,－,－,－,－,－,－,－,8,－,8,－,－
蒲田／川崎市,13,8,5,17,6,5,6,－,7,13,－,－,－,59,43,16,－,－
矢口／川崎市,5,3,2,16,7,1,8,－,1,9,－,－,－,67,41,26,－,－
玉川／川崎市,47,47,－,74,32,21,21,－,36,66,3,23,392,267,195,72,－,－
成城／川崎市,4,2,2,6,3,1,2,－,－,－,－,－,－,27,－,27,－,－
渋谷／綾瀬市,4,－,4,4,－,4,－,－,4,4,－,－,－,12,12,－,－,－
杉並／千葉市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
志村／和光市,8,1,7,11,3,8,－,－,3,3,－,－,－,26,9,17,－,－
志村／新座市,1,－,1,1,1,－,－,－,－,－,－,－,－,4,－,4,－,－
志村／朝霞市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
志村／戸田市,5,－,5,6,1,3,1,1,2,2,－,－,－,27,10,17,－,－
板橋／川口市,1,－,1,1,－,－,1,－,－,－,－,－,－,6,－,6,－,－
練馬／和光市,3,1,2,3,1,2,－,－,2,2,1,10,225,10,7,3,－,－
石神井／和光市,5,－,5,5,－,5,－,－,3,3,－,－,－,15,9,6,－,－
石神井／新座市,21,17,4,36,11,10,15,－,13,24,－,－,－,153,80,73,－,－
王子／川口市,4,4,－,4,－,4,－,－,3,3,－,－,－,12,9,3,－,－
赤羽／川口市,10,10,－,16,6,6,4,－,6,7,－,－,－,67,23,44,－,－
足立／八潮市,3,1,2,3,2,1,－,－,1,1,－,－,－,13,3,10,－,－
足立／草加市,4,－,4,4,－,4,－,－,3,3,－,－,－,9,9,－,－,－
足立／松戸市,1,－,1,1,－,1,－,－,－,－,－,－,－,3,－,3,－,－
西新井／川口市,4,3,1,12,4,3,5,－,4,11,1,2,29,59,53,6,－,－
西新井／吉川市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
本所／市川市,1,1,－,1,－,1,－,－,－,－,－,－,－,3,－,3,－,－
本所／綾瀬市,2,－,2,2,－,－,2,－,－,－,－,－,－,11,－,11,－,－
城東／浦安市,2,－,2,2,－,－,2,－,－,－,－,－,－,11,－,11,－,－
本田／松戸市,1,－,1,1,－,1,－,－,－,－,－,－,－,3,－,3,－,－
本田／市川市,1,1,－,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
金町／松戸市,3,3,－,3,－,3,－,－,1,1,－,－,－,9,3,6,－,－
江戸川／浦安市,16,16,－,27,11,16,－,－,12,22,－,－,－,100,89,11,－,－
小岩／市川市,6,6,－,19,7,6,6,－,6,16,－,－,－,76,64,12,－,－
八王子／津久井広域,22,22,－,33,12,10,－,11,21,31,2,11,270,124,117,7,－,－
府中／稲城市,2,2,－,4,3,－,－,1,1,3,2,20,32,19,15,4,－,－
調布／稲城市,1,1,－,1,1,－,－,－,－,－,－,－,－,4,－,4,－,－
多摩／稲城市,5,－,5,5,－,5,－,－,3,3,－,－,－,15,9,6,－,－
町田／横浜市,13,1,12,13,1,12,－,－,10,10,－,－,－,40,30,10,－,－
町田／相模原市,5,3,2,5,3,2,－,－,2,2,－,－,－,20,7,13,－,－
町田／川崎市,6,6,－,8,5,3,－,－,3,3,1,3,27,23,10,13,－,－
町田／大和市,3,－,3,3,－,3,－,－,1,1,－,－,－,9,3,6,－,－
狛江／大和市,2,－,2,6,4,－,－,2,－,－,－,－,－,28,－,28,－,－
清瀬／新座市,4,4,－,4,4,－,－,－,－,－,－,－,－,16,－,16,－,－
清瀬／東久留米市,15,15,－,15,15,－,－,－,2,2,2,17,133,60,8,52,－,－
清瀬／所沢市,1,1,－,1,1,－,－,－,－,－,－,－,－,4,－,4,－,－
小平／東久留米市,9,－,9,9,－,9,－,－,6,6,－,－,－,27,18,9,－,－
保谷／東久留米市,7,7,－,7,7,－,－,－,－,－,－,－,－,28,－,28,－,－
保谷／新座市,2,2,－,2,2,－,－,－,－,－,－,－,－,8,－,8,－,－
青梅市／入問市,1,－,1,1,－,1,－,－,－,－,－,－,－,3,－,3,－,－
北多摩西部／所沢市,3,3,－,5,1,3,－,1,2,－,－,－,－,19,6,13,－,－
北多摩西部／東久留米市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
東村山／東久留米市,4,－,4,7,2,4,－,1,2,3,3,15,34,24,18,6,－,－
