事故種別,内容,救急搬送人員（人）,,,,
ころぶ,机・テーブル,41,,,,
ころぶ,その他の家具,39,,,,
ころぶ,階段,31,,,,
ころぶ,椅子,26,,,,
ころぶ,自転車,23,,,,
落ちる,階段,135,,,,
落ちる,椅子,47,,,,
落ちる,自転車の補助イス,31,,,,
落ちる,ベッド,30,,,,
落ちる,滑り台,29,,,,
ぶつかる,机・テーブル,37,,,,
ぶつかる,その他の家具,22,,,,
ぶつかる,人,15,,,,
ぶつかる,ぶらんこ,12,,,,
ぶつかる,壁・天井,12,,,,
ものがつまる等,その他の玩具,21,,,,
ものがつまる等,薬剤等,17,,,,
ものがつまる等,魚等の骨,11,,,,
ものがつまる等,ビー玉類,9,,,,
ものがつまる等,アメ玉類,8,,,,
はさむ・はさまれる,手動ドア,31,,,,
はさむ・はさまれる,エレベーター,5,,,,
はさむ・はさまれる,鉄道車両の戸袋,5,,,,
はさむ・はさまれる,自転車,5,,,,
はさむ・はさまれる,窓・柵,4,,,,
やけど,カップ麺,8,,,,
やけど,味噌汁・スープ,7,,,,
やけど,ポット・魔法瓶,6,,,,
やけど,食器類,6,,,,
やけど,お茶・コーヒー類,6,,,,
切る・刺さる,歯ブラシ,13,,,,
切る・刺さる,ナイフ,10,,,,
切る・刺さる,ハサミ・爪切り,7,,,,
切る・刺さる,その他の家具,3,,,,
切る・刺さる,筆記具,2,,,,
かまれる・刺される,虫,3,,,,
かまれる・刺される,動物等,3,,,,
かまれる・刺される,不明,1,,,,
おぼれる,浴槽,2,,,,
