用途,甲種防火対象物／訓練実施状況／実施対象物数,甲種防火対象物／訓練実施状況／述べ回数合計,甲種防火対象物／延べ訓練参加人員(単位・百人),甲種防火対象物／職員等の出向／延べ件数,甲種防火対象物／職員等の出向／延べ人員,乙種防火対象物／訓練実施状況／実施対象物数,乙種防火対象物／訓練実施状況／述べ回数合計,乙種防火対象物／延べ訓練参加人員(単位・百人),乙種防火対象物／職員等の出向／延べ件数,乙種防火対象物／職員等の出向／延べ人員
計,22516,81711,91812,33249,142804,1656,3770,1245,1485,5271
(一)／イ,56,178,114,92,516,－,－,－,－,－
(一)／ロ,37,129,34,81,319,1,2,1,2,30
(二)／イ,6,15,3,3,11,2,4,1,－,－
(二)／ロ,97,172,29,60,201,16,24,1,18,44
(三)／イ,81,209,24,119,371,11,24,1,8,16
(三)／ロ,543,1078,183,438,1533,172,303,31,119,323
(四),1217,4811,2431,2409,10125,56,99,14,44,158
(五)／イ,1235,4106,538,1975,6681,56,153,7,49,171
(五)／ロ,2397,5024,1855,2903,20592,122,273,93,167,723
(六)／イ,741,3204,1536,1610,6881,2,3,7,3,10
(六)／ロ,1196,11257,10255,2933,12059,83,580,317,128,427
(六)／ハ,737,3428,5043,910,3938,34,93,80,28,102
(七),2389,10097,44729,3899,14854,17,68,191,27,80
(八),45,92,32,57,344,1,3,－,－,－
(九)／イ,62,101,8,15,51,76,157,5,33,120
(九)／ロ,28,60,5,14,55,83,112,7,52,132
(十),100,525,160,163,1425,2,2,3,13,33
(十一),142,290,160,158,1163,52,73,16,51,244
(十二)／イ,870,4242,2563,2018,8335,44,163,57,66,254
(十二)／ロ,5,27,16,11,65,－,－,－,－,－
(十三)／イ,15,41,37,15,91,1,6,4,－,－
(十三)／ロ,1,1,1,1,5,－,－,－,－,－
(十四),184,491,129,302,1255,6,17,3,7,22
(十五)／(1),519,1608,853,913,3694,45,126,47,56,226
(十五)／(2),2049,5626,4084,2456,10201,105,182,73,102,404
(十五)／(3),592,1759,879,1020,4247,118,276,73,143,506
(十六)／イ,6141,20985,15082,7748,29605,461,875,171,288,918
(十六)／ロ,1014,2044,975,876,3880,87,148,42,77,289
(十六の二),11,103,51,43,237,－,－,－,－,－
(十七),6,8,3,7,70,3,4,－,4,39
