時間帯,救急出場件数／計,救急出場件数／交通事故,救急出場件数／火災事故,救急出場件数／運動競技事故,救急出場件数／自然災害事故,救急出場件数／水難事故,救急出場件数／労働災害事故,救急出場件数／一般負傷,救急出場件数／自損行為,救急出場件数／加害,救急出場件数／急病,救急出場件数／転院搬送,救急出場件数／医師搬送,救急出場件数／資器材等輸送,救急出場件数／その他,救護人員／計,救護人員／交通事故,救護人員／火災事故,救護人員／運動競技事故,救護人員／自然災害事故,救護人員／水難事故,救護人員／労働災害事故,救護人員／一般負傷,救護人員／自損行為,救護人員／加害,救護人員／急病,救護人員／転院搬送
計,392200,77622,3841,3032,6,235,5227,50947,3560,9124,212270,20870,260,1013,4193,368926,83447,987,3158,5,175,5150,47970,2885,8860,195613,20676
0時台,15855,2720,139,3,－,8,46,2163,151,1004,8977,388,11,20,225,14802,3064,43,3,－,7,47,1972,136,983,8162,385
1時台,13157,1973,149,4,1,4,52,1505,160,899,7846,355,13,12,184,12267,2249,40,4,1,3,51,1360,143,877,7185,354
2時台,11179,1545,142,1,－,1,51,1151,136,763,6946,266,4,10,163,10541,1859,24,1,－,1,49,1045,126,761,6408,267
3時台,9399,1216,157,2,－,2,34,835,120,542,6117,219,7,14,134,8898,1449,47,2,－,1,35,770,105,534,5740,215
4時台,8409,1044,165,3,－,2,30,726,110,424,5626,166,7,9,97,7843,1173,32,3,－,1,28,669,93,410,5273,161
5時台,8253,1038,105,4,－,4,33,658,137,248,5757,149,4,11,105,7707,1155,36,4,－,1,33,600,108,239,5387,144
6時台,9034,1359,93,6,－,7,56,862,141,194,6060,126,10,20,100,8485,1510,29,10,－,3,56,812,97,195,5649,124
7時台,12844,3152,134,24,1,6,101,1242,140,142,7542,206,16,21,117,12123,3321,37,27,1,3,101,1174,116,138,7000,205
8時台,17933,5083,113,39,2,4,275,1991,140,155,9440,508,13,36,134,17112,5267,37,40,1,2,268,1926,112,147,8806,506
9時台,20249,3700,167,120,－,4,506,2440,135,150,10974,1805,14,90,144,19309,3929,42,118,－,3,493,2365,107,144,10323,1785
10時台,19608,3382,201,217,－,8,504,2467,141,132,10119,2143,21,85,188,18488,3510,70,226,－,6,499,2387,103,128,9435,2124
11時台,17949,3252,192,326,－,11,520,2289,143,118,9061,1779,21,74,163,16876,3451,37,342,－,8,512,2196,105,112,8357,1756
12時台,17742,3579,176,315,－,16,210,2304,136,153,8879,1707,24,68,175,16744,3795,43,324,－,12,207,2225,105,150,8193,1690
13時台,19167,3643,194,300,－,12,443,2605,151,164,9748,1635,14,82,176,17999,3820,38,307,－,9,444,2489,121,161,8991,1619
14時台,19353,4151,180,375,1,4,513,2648,159,155,9303,1547,18,84,215,18308,4426,40,397,1,4,510,2520,124,156,8596,1534
15時台,19059,4494,183,374,1,18,439,2680,167,185,8775,1479,6,55,203,18009,4771,52,394,1,14,424,2567,133,175,8020,1458
16時台,19439,4906,197,304,－,13,426,2753,182,206,8827,1327,4,84,210,18408,5221,43,320,－,10,416,2626,142,194,8117,1319
17時台,19914,5469,184,208,－,8,265,2732,166,213,9195,1184,17,70,203,18806,5731,43,219,－,4,256,2597,145,202,8433,1176
18時台,19503,4899,203,97,－,20,170,2612,182,232,9904,916,5,41,222,18291,5115,50,98,－,16,171,2449,138,222,9123,909
19時台,19158,4087,182,124,－,16,159,2680,151,326,10449,714,7,39,224,18039,4411,47,130,－,13,157,2524,122,304,9623,708
20時台,19011,3367,178,118,－,22,139,2926,160,425,10807,648,8,25,188,17797,3630,50,122,－,19,139,2732,130,413,9916,646
21時台,19239,3298,151,49,－,13,105,3115,146,556,11008,591,6,20,181,18007,3631,50,48,－,10,106,2894,119,561,10001,587
22時台,18743,3163,127,12,－,19,89,2903,156,757,10741,529,5,23,219,17395,3524,31,12,－,16,88,2668,128,704,9700,524
23時台,18003,3102,129,7,－,13,61,2660,150,981,10169,483,5,20,223,16672,3435,26,7,－,9,60,2403,127,950,9175,480
