"救急隊出場先
区市町村","全事故
種別",ころぶ,落ちる,ぶつかる,"ものが
つまる等","切る・
刺さる","はさむ・
はさまれる",やけど,"かまれる・
刺される",おぼれる,その他,不明
全出場先,954.4 ,554.5 ,106.8 ,44.8 ,24.3 ,22.1 ,12.7 ,8.6 ,4.4 ,4.0 ,133.6 ,38.7 
千代田区,2692.8 ,1486.3 ,470.1 ,144.3 ,37.2 ,62.5 ,46.1 ,17.9 ,10.4 ,6.0 ,334.7 ,77.4 
中央区,1090.4 ,617.3 ,158.3 ,54.5 ,25.2 ,34.0 ,23.4 ,9.4 ,2.9 ,3.5 ,128.4 ,33.4 
港区,1282.8 ,711.1 ,171.8 ,71.4 ,25.9 ,38.6 ,26.6 ,12.7 ,5.8 ,2.3 ,167.5 ,49.0 
品川区,906.2 ,544.5 ,95.2 ,41.3 ,19.4 ,18.0 ,12.3 ,7.1 ,2.2 ,3.0 ,133.4 ,29.8 
大田区,929.4 ,537.4 ,104.3 ,39.1 ,19.9 ,20.0 ,15.3 ,7.2 ,3.3 ,4.0 ,126.4 ,52.6 
目黒区,829.3 ,489.1 ,93.8 ,45.1 ,16.7 ,22.0 ,14.2 ,5.3 ,3.6 ,0.7 ,109.5 ,29.1 
世田谷区,820.3 ,475.5 ,89.6 ,41.3 ,23.4 ,21.3 ,9.7 ,8.5 ,2.1 ,4.3 ,112.8 ,31.9 
渋谷区,1220.8 ,659.4 ,154.9 ,82.9 ,16.9 ,36.0 ,18.2 ,12.1 ,5.6 ,4.3 ,183.1 ,47.3 
新宿区,1353.0 ,743.0 ,183.6 ,71.5 ,24.9 ,35.0 ,21.1 ,15.6 ,2.9 ,2.9 ,193.2 ,59.1 
中野区,855.6 ,500.5 ,96.5 ,39.4 ,22.1 ,19.7 ,7.5 ,9.3 ,2.1 ,3.9 ,118.3 ,36.2 
杉並区,810.8 ,479.3 ,92.9 ,34.2 ,23.2 ,18.7 ,8.4 ,8.5 ,2.4 ,4.4 ,105.7 ,33.1 
文京区,828.0 ,467.4 ,94.9 ,44.6 ,24.7 ,19.0 ,11.0 ,11.5 ,3.1 ,3.5 ,115.2 ,33.1 
豊島区,1127.4 ,632.4 ,136.1 ,59.5 ,21.2 ,28.9 ,12.9 ,10.4 ,2.4 ,1.4 ,166.7 ,55.3 
北区,1027.9 ,635.7 ,98.8 ,40.2 ,23.2 ,17.8 ,13.9 ,8.8 ,3.1 ,5.1 ,133.4 ,47.9 
板橋区,896.0 ,541.2 ,84.9 ,40.0 ,23.5 ,20.7 ,10.3 ,9.1 ,3.7 ,3.2 ,117.9 ,41.6 
練馬区,815.2 ,486.0 ,89.3 ,32.4 ,22.4 ,19.1 ,7.6 ,7.3 ,3.2 ,1.6 ,114.4 ,31.8 
台東区,1376.9 ,791.1 ,177.8 ,59.9 ,20.6 ,30.4 ,15.2 ,9.3 ,4.9 ,6.9 ,200.3 ,60.4 
荒川区,1009.1 ,585.6 ,108.1 ,42.0 ,30.0 ,22.6 ,16.6 ,10.6 ,4.2 ,7.9 ,142.2 ,39.3 
足立区,967.9 ,560.8 ,106.9 ,38.6 ,31.1 ,21.4 ,14.2 ,8.1 ,5.1 ,4.1 ,139.5 ,38.1 
墨田区,966.8 ,576.8 ,111.7 ,43.9 ,25.8 ,14.9 ,10.2 ,4.7 ,1.1 ,7.3 ,140.8 ,29.7 
江東区,1139.9 ,626.5 ,125.4 ,64.9 ,27.0 ,29.4 ,24.7 ,12.2 ,2.2 ,6.5 ,178.1 ,43.1 
葛飾区,1167.5 ,683.0 ,127.6 ,51.2 ,36.5 ,25.2 ,12.9 ,12.6 ,5.5 ,7.6 ,155.9 ,49.6 
江戸川区,1175.5 ,676.2 ,124.3 ,56.4 ,34.6 ,25.6 ,20.0 ,12.1 ,6.1 ,5.5 ,166.0 ,48.7 
立川市,1059.7 ,623.0 ,117.0 ,47.1 ,30.3 ,18.4 ,7.6 ,7.0 ,4.9 ,3.3 ,154.4 ,46.6 
国立市,869.4 ,521.1 ,83.8 ,45.8 ,19.6 ,19.6 ,9.2 ,7.9 ,1.3 ,1.3 ,123.1 ,36.7 
武蔵野市,942.8 ,581.8 ,86.7 ,42.0 ,23.7 ,21.0 ,11.5 ,9.5 ,3.4 ,0.7 ,128.7 ,33.9 
三鷹市,791.6 ,476.0 ,78.9 ,37.3 ,23.1 ,18.9 ,5.8 ,8.9 ,3.2 ,2.1 ,98.4 ,38.9 
府中市,758.1 ,421.5 ,76.1 ,42.7 ,23.8 ,18.8 ,7.3 ,4.6 ,6.5 ,3.8 ,125.6 ,27.3 
昭島市,912.4 ,528.4 ,82.8 ,52.0 ,25.5 ,25.5 ,15.9 ,7.0 ,6.2 ,1.8 ,123.3 ,44.0 
調布市,808.6 ,492.4 ,79.9 ,45.8 ,23.5 ,16.4 ,8.0 ,6.3 ,2.5 ,3.4 ,105.1 ,25.2 
小金井市,692.1 ,403.8 ,69.5 ,32.3 ,14.5 ,23.4 ,7.3 ,5.7 ,5.7 ,3.2 ,96.9 ,29.9 
小平市,816.2 ,491.5 ,81.8 ,34.8 ,17.4 ,19.9 ,7.2 ,9.7 ,4.6 ,2.0 ,113.0 ,34.3 
東村山市,930.2 ,557.5 ,102.3 ,28.4 ,25.7 ,17.8 ,7.3 ,9.9 ,6.6 ,3.3 ,135.9 ,35.6 
国分寺市,737.8 ,453.2 ,72.5 ,34.7 ,26.0 ,16.6 ,7.1 ,5.5 ,3.9 ,3.9 ,85.1 ,29.2 
狛江市,703.8 ,411.9 ,78.1 ,19.2 ,28.8 ,9.6 ,7.2 ,7.2 ,4.8 ,4.8 ,106.9 ,25.2 
東大和市,904.9 ,532.1 ,102.0 ,36.3 ,27.0 ,17.6 ,8.2 ,7.0 ,5.9 ,4.7 ,132.4 ,31.6 
武蔵村山市,817.8 ,458.2 ,79.1 ,61.1 ,13.9 ,31.9 ,19.4 ,8.3 ,4.2 ,1.4 ,118.0 ,22.2 
清瀬市,1026.6 ,635.5 ,100.1 ,26.7 ,24.0 ,24.0 ,9.3 ,6.7 ,1.3 ,4.0 ,150.9 ,44.1 
東久留米市,901.7 ,531.6 ,95.7 ,44.4 ,17.9 ,18.8 ,6.8 ,6.8 ,0.9 ,7.7 ,130.8 ,40.2 
西東京市,816.3 ,504.3 ,75.7 ,35.4 ,17.0 ,12.6 ,6.3 ,4.9 ,1.9 ,6.3 ,111.6 ,40.3 
八王子市,877.5 ,498.4 ,102.2 ,40.4 ,24.2 ,21.0 ,11.6 ,7.7 ,8.9 ,3.9 ,131.5 ,27.8 
青梅市,749.2 ,429.1 ,89.3 ,26.5 ,24.2 ,18.9 ,9.1 ,4.5 ,15.1 ,6.1 ,99.1 ,27.2 
町田市,924.8 ,556.9 ,89.9 ,40.3 ,25.6 ,18.9 ,8.2 ,5.6 ,9.1 ,4.0 ,132.8 ,33.6 
日野市,799.3 ,440.6 ,103.2 ,29.4 ,21.9 ,19.8 ,12.8 ,7.0 ,9.1 ,3.2 ,104.8 ,47.6 
多摩市,846.6 ,528.0 ,64.0 ,45.8 ,16.2 ,15.5 ,9.4 ,4.0 ,8.8 ,3.4 ,121.9 ,29.6 
福生市,1019.7 ,548.2 ,132.8 ,59.9 ,28.1 ,22.5 ,11.2 ,7.5 ,3.7 ,3.7 ,175.9 ,26.2 
羽村市,827.8 ,506.2 ,93.2 ,42.0 ,31.1 ,3.7 ,14.6 ,-,5.5 ,1.8 ,109.6 ,20.1 
瑞穂町,862.8 ,408.4 ,98.3 ,73.7 ,24.6 ,30.7 ,52.2 ,12.3 ,3.1 ,3.1 ,125.9 ,30.7 
あきる野市,784.1 ,418.8 ,99.7 ,36.2 ,22.4 ,22.4 ,12.5 ,5.0 ,22.4 ,7.5 ,124.7 ,12.5 
日の出町,952.5 ,512.4 ,144.7 ,54.3 ,42.2 ,18.1 ,18.1 ,-,-,6.0 ,114.5 ,42.2 
檜原村,1893.9 ,662.9 ,426.1 ,47.3 ,94.7 ,94.7 ,142.0 ,47.3 ,47.3 ,-,189.4 ,142.0 
奥多摩町,2264.1 ,861.6 ,561.0 ,80.1 ,20.0 ,140.3 ,-,20.0 ,80.1 ,20.0 ,300.5 ,180.3 
