年次,計,劇場等,キャバレー等,飲食店等,百貨店等,旅館等,共同住宅,病院等,学校等,図書館等,発着場等,神社等,工場等,駐車場等,倉庫,事務所等,複合用途,地下街等
平成２７年・技術講習(自衛消防業務新規講習),6518,54,2,8,226,109,202,270,191,20,247,5,110,26,46,1645,3332,25
平成２７年・実務講習（追加講習）,7627,60,2,15,230,123,229,303,211,19,343,6,140,22,41,2000,3850,33
平成２８年・技術講習(自衛消防業務新規講習),6514,54,2,8,226,109,202,270,191,20,247,5,110,26,46,1644,3329,25
平成２８年・実務講習（追加講習）,6246,49,2,12,189,101,187,248,173,15,281,5,114,18,34,1638,3153,27
平成２９年・技術講習(自衛消防業務新規講習),6684,56,2,9,235,113,206,277,198,21,250,6,113,27,47,1687,3412,25
平成２９年・実務講習（追加講習）,6126,48,2,12,185,99,185,244,169,15,277,5,112,18,33,1604,3091,27
平成３０年・技術講習(自衛消防業務新規講習),6545,55,2,9,230,111,202,271,194,20,245,6,111,26,46,1652,3341,24
平成３０年・実務講習（追加講習）,5879,46,2,12,178,95,178,234,162,14,266,5,107,17,32,1539,2966,26
令和元年・技術講習(自衛消防業務新規講習),6038,50,2,8,212,102,187,250,179,19,227,5,102,24,42,1526,3080,23
令和元年・実務講習（追加講習）,7209,56,2,14,218,117,218,287,199,18,326,6,132,21,39,1887,3637,32
