区分,計,交通事故,火災事故,運動競技事故,自然災害事故,水難事故,労働災害事故,一般負傷,自損行為,加害,急病,転院搬送
計,355654,87247,891,3036,13,161,5225,45547,2884,8352,183444,18854
性別／男,217004,62983,561,2548,11,96,4797,26709,1143,6737,100470,10949
性別／女,138650,24264,330,488,2,65,428,18838,1741,1615,82974,7905
年齢別／0～2歳,13377,715,8,－,－,31,－,3642,－,6,6711,2264
年齢別／3～5歳,7632,1754,4,2,－,4,－,2120,－,12,3471,265
年齢別／6～14歳,14688,6426,25,376,－,14,－,2956,18,185,4114,574
年齢別／15～19歳,30643,16778,36,745,1,5,382,1886,261,837,9056,656
年齢別／20～29歳,68733,27326,182,1052,2,11,1266,5328,1013,2571,28045,1937
年齢別／30～39歳,35829,10149,149,467,5,5,891,3711,502,1513,16882,1555
年齢別／40～49歳,45714,10432,186,302,4,9,1152,5490,431,1738,23863,2107
年齢別／50～59歳,46155,7784,117,71,－,13,1061,6005,323,1061,26831,2889
年齢別／60～64歳,19030,2209,47,8,－,4,251,2544,90,200,12358,1319
年齢別／65～69歳,15972,1396,39,9,－,8,123,2197,60,103,10780,1257
年齢別／70歳以上,57881,2278,98,4,1,57,99,9668,186,126,41333,4031
曜日別／日曜日,52839,13134,138,1045,2,32,440,7343,428,1660,26836,1781
曜日別／月曜日,51075,11850,119,233,1,27,744,6164,448,936,27460,3093
曜日別／火曜日,48825,11780,118,302,－,14,822,5960,418,1055,25450,2906
曜日別／水曜日,48839,11723,114,314,7,17,764,6223,405,1056,25445,2771
曜日別／木曜日,49190,11937,125,292,2,21,798,6176,390,1086,25601,2762
曜日別／金曜日,51236,12737,158,280,－,28,795,6636,391,1182,26104,2925
曜日別／土曜日,53650,14086,119,570,1,22,862,7045,404,1377,26548,2616
曜日別／年末・年始,6734,1137,25,6,－,9,34,914,32,192,4114,271
曜日別／祝日,11069,2725,35,195,1,2,142,1605,108,311,5505,440
程度別／軽症,206090,70739,585,1963,9,30,2949,32717,941,7145,87475,1537
程度別／中 等 症,120794,14854,227,1055,4,24,2033,11921,974,1056,76691,11955
程度別／重症,18086,870,41,10,－,7,130,521,335,91,11746,4335
程度別／重篤,7767,602,30,7,－,41,88,284,293,48,5360,1014
程度別／死亡,2917,182,8,1,－,59,25,104,341,12,2172,13
