出火階,火災件数／計,火災件数／地下階層／地下1階,火災件数／地下階層／地下2階,火災件数／地下階層／地下3階,火災件数／地下階層／地下4階,火災件数／地下階層／地下5階,火災件数／地下階層／地下6階以上,火災件数／地上階層／地上階なし,火災件数／地上階層／1階建,火災件数／地上階層／2階建,火災件数／地上階層／3階建,火災件数／地上階層／4階建,火災件数／地上階層／5階建,火災件数／地上階層／6階建,火災件数／地上階層／7階建,火災件数／地上階層／8階建,火災件数／地上階層／9階建,火災件数／地上階層／10階建,火災件数／地上階層／11階建,火災件数／地上階層／12階建,火災件数／地上階層／13階建,火災件数／地上階層／14階建,火災件数／地上階層／15階以上,火災件数／損傷程度／全焼,火災件数／損傷程度／半焼,火災件数／損傷程度／部分焼,火災件数／損傷程度／ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積(m2),損害額(千円),死者,傷者
計,430,330,68,25,4,3,－,1,8,34,49,51,56,44,38,46,29,20,19,8,6,11,10,4,1,36,389,451,160,384,1952,838680,4,57
28階,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,1,1,5,－,36,－,1
25階,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,1,1,4,－,38,－,1
16階,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,1,－,－,－,1,－,－
13階,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,1,1,－,－,－,－,－,－
12階,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,－,1,3,7,12,11809,－,－
11階,4,3,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,2,－,1,－,－,－,－,4,4,1,4,－,90,－,－
9階,4,2,－,2,－,－,－,－,－,－,－,－,－,－,－,1,1,－,1,－,1,－,－,－,－,－,4,4,－,－,－,2928,－,－
8階,9,8,1,－,－,－,－,－,－,－,－,－,－,－,－,2,2,2,1,－,1,－,1,－,－,－,9,9,2,2,－,896,－,2
7階,12,8,3,1,－,－,－,－,－,－,－,－,－,－,2,3,1,3,1,1,－,1,－,－,－,3,9,12,11,29,55,34760,－,4
6階,20,14,5,1,－,－,－,－,－,－,－,－,－,6,5,2,－,3,3,－,1,－,－,－,－,1,19,20,6,10,40,8766,－,1
5階,20,14,4,2,－,－,－,－,－,－,－,－,4,2,2,2,2,2,2,2,－,1,1,－,－,2,18,20,10,23,40,16116,1,2
4階,27,20,5,1,－,1,－,－,－,－,－,7,8,1,3,4,2,1,－,－,－,－,1,－,－,2,25,27,16,27,84,39251,－,2
3階,46,40,6,－,－,－,－,－,－,－,9,4,10,6,4,4,4,3,－,－,1,1,－,－,－,5,41,47,28,62,116,65797,－,13
2階,60,51,8,1,－,－,－,－,－,5,13,8,8,6,2,8,5,1,1,1,－,2,－,－,－,8,52,62,25,63,202,131095,－,10
1階,128,110,13,5,－,－,－,－,2,21,22,18,16,12,11,7,6,4,4,1,1,2,1,4,1,9,114,146,46,125,1289,427851,1,12
地下1階,77,56,14,5,2,－,－,1,4,7,5,12,8,10,9,10,2,1,4,1,－,2,1,－,－,5,72,77,10,23,114,88548,1,7
地下2階,15,－,8,4,1,2,－,－,2,－,－,2,2,1,－,3,3,－,1,－,－,－,1,－,－,－,15,15,－,－,－,6998,1,2
地下3階,2,－,－,2,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,2,2,－,－,－,3600,－,－
地下4階,1,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,1,1,－,－,－,100,－,－
