応援を行った消防本部／応援救急隊,出場件数／合計,出場件数／搬送,出場件数／不搬送／計,出場件数／不搬送／現場処置,出場件数／不搬送／不救護,救護人員／計,救護人員／搬送,救護人員／現場処置,程度別搬送人員／死亡,程度別搬送人員／重篤,程度別搬送人員／重症,程度別搬送人員／中等症,程度別搬送人員／軽症,備考
計,89,67,22,－,22,91,91,－,－,2,5,28,56,
稲城市／稲城1,1,1,－,－,－,1,1,－,－,－,－,1,－,府中市(1件)
東久留米市／東久留米,4,2,2,－,2,2,2,－,－,－,－,1,1,小平市(3件)､清瀬市(1件)
東久留米市／新川,1,1,－,－,－,1,1,－,－,－,－,1,－,東村山(1件)
市川市／市川第2,7,6,1,－,1,13,13,－,－,－,－,1,12,江戸川区(7件)
市川市／市川第3,1,－,1,－,1,－,－,－,－,－,－,－,－,江戸川区(1件)
八潮市／八潮,2,2,－,－,－,2,2,－,－,－,－,1,1,足立区(2件)
草加市／草加,1,1,－,－,－,1,1,－,－,－,－,－,1,足立区(1件)
川口市／新郷,5,3,2,－,2,3,3,－,－,－,－,2,1,足立区(5件)
川口市／南平,1,1,－,－,－,1,1,－,－,－,－,－,1,足立区(1件)
和光市／和光1,1,1,－,－,－,2,2,－,－,－,－,2,－,板橋区(1件)
新座市／新座,4,1,3,－,3,1,1,－,－,－,1,－,－,清瀬市(3件)､練馬区(1件)
新座市／大和田,1,－,1,－,1,－,－,－,－,－,－,－,－,練馬区(1件)
所沢市／西分署,3,3,－,－,－,9,9,－,－,－,－,2,7,東大和市(3件)
所沢市／南分署,12,11,1,－,1,13,13,－,－,2,－,4,7,東大和市(11件)､東村山市(1件)
所沢市／東分署,1,1,－,－,－,2,2,－,－,－,－,－,2,東村山市(1件)
戸田市／戸田,1,－,1,－,1,－,－,－,－,－,－,－,－,板橋区(1件)
三郷市／南,2,2,－,－,－,2,2,－,－,－,1,1,－,葛飾区(2件)
川崎市／川崎,1,－,1,－,1,－,－,－,－,－,－,－,－,太田区(1件)
川崎市／臨港,1,1,－,－,－,1,1,－,－,－,－,－,1,太田区(1件)
川崎市／高津,5,3,2,－,2,3,3,－,－,－,1,－,2,世田谷区(5件)
川崎市／久地,3,3,－,－,－,5,5,－,－,－,－,3,2,世田谷区(3件)
川崎市／宮前,17,13,4,－,4,22,22,－,－,－,2,6,14,世田谷区(17件)
川崎市／多摩,3,1,2,－,2,2,2,－,－,－,－,2,－,世田谷区(3件)
相模原市／大沼,1,1,－,－,－,1,1,－,－,－,－,1,－,町田市(1件)
相模原市／相模原,1,1,－,－,－,2,2,－,－,－,－,－,2,町田市(2件)
津久井郡広域行政組合／津久井,2,2,－,－,－,2,2,－,－,－,－,－,2,八王子市(2件)
津久井郡広域行政組合／藤野,7,6,1,－,1,－,－,－,－,－,－,－,－,八王子市(7件)
