区分,許可・設置,許可・変更,完成検査・設置,完成検査・変更,"仮使用承認","譲渡引渡届",品名、数量の倍数変更届,廃止届,資料提出
計,601,2495,511,2204,1097,137,1461,1752,6126
製造所,3,63,2,60,36,0,64,9,102
貯蔵所,424,853,370,783,74,93,914,1300,2767
屋内貯蔵所,129,149,97,125,26,11,672,276,617
屋外タンク貯蔵所,13,80,12,73,24,1,34,118,237
屋内タンク貯蔵所,31,49,21,51,11,18,13,145,262
地下タンク貯蔵所,108,201,86,165,12,26,61,347,1426
簡易タンク貯蔵所,0,1,1,1,0,3,1,7,2
移動タンク貯蔵所,126,355,128,350,0,32,65,321,172
屋外貯蔵所,17,18,25,18,1,2,68,86,51
取扱所,174,1579,139,1361,987,44,483,443,3257
給油取扱所,92,1079,66,926,682,22,53,185,2333
営業用,65,977,44,835,650,12,48,132,2202
自家用,27,102,22,91,32,10,5,53,131
販売取扱所,16,5,11,3,1,10,297,55,64
第１種,11,3,7,2,0,7,229,48,35
第２種,5,2,4,1,1,3,68,7,29
移送取扱所,1,4,0,2,0,0,0,0,5
一般取扱所,65,491,62,430,304,12,133,203,855
