区分,ポンプ車,化学車,特殊化学車,はしご車,空中作業車,屈折放水塔車,救急車,救助車,救援車,照明電源車,防災機動車,工作車,方面警防車,司令車,救助先行車,指揮監察車,査察広報車,補給車,消防艇,貨物車,資材搬送車,人員輸送車,その他の車両
総出場回数,202947,19560,2164,24382,1969,1553,393872,9301,183,533,391,366,2244,1305,29889,48921,49625,245,1792,1669,205,11208,1019
総走行距離(km),1556951,157730,19773,180234,15625,11651,3580742,88478,1138,6556,8172,7177,41128,81841,208199,1297115,1045747,5790,36353,66001,4275,316246,24506
災害出場回数,50125,6285,321,7440,456,355,368487,4975,25,103,68,8,182,237,15038,－,1718,60,259,－,27,－,134
火災出場回数,43195,4662,308,7216,451,346,1967,2771,24,77,22,1,168,224,9475,－,1300,50,127,－,18,－,131
火災出場回数／従事／出場回数,5179,796,7,181,6,3,－,199,－,61,－,－,－,38,－,－,－,18,6,－,－,－,－
火災出場回数／従事／走行距離(km),21046,3479,165,930,29,62,－,1343,－,904,－,－,－,947,－,－,－,120,74,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／ポンプ運用,5539:56:00,753:44:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7:25,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／はしご架梯,－,－,－,150:17:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／塔体運用,－,－,－,－,5:10,8:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／照明作業,－,－,－,－,－,－,－,－,－,150:17:00,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／無線開局,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／救援作業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2:00,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／その他,－,－,4:05,－,－,－,－,189:20:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／不従事／出場回数,38016,3866,301,7035,445,343,1967,2572,24,16,22,1,168,186,9475,－,1300,32,121,－,18,－,131
火災出場回数／不従事／走行距離(km),183823,19835,1979,41728,2398,1498,11104,17719,85,217,573,26,2277,2398,52463,－,8386,716,878,－,334,－,3471
その他の災害出場回数,6930,1623,13,224,5,9,366520,2204,1,26,46,7,14,13,5563,－,418,10,132,－,9,－,3
その他の災害出場回数／従事／出場回数,707,208,1,38,－,－,－,194,－,16,－,7,－,8,－,－,－,3,28,－,6,－,－
その他の災害出場回数／従事／走行距離(km),3028,888,29,194,－,－,－,1941,－,268,－,220,－,153,－,－,－,74,395,－,149,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／ポンプ運用,111:36:00,35:56:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／はしご架梯,－,－,－,13:18,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／塔体運用,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／照明作業,－,－,－,－,－,－,－,－,－,23:03,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／無線開局,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／救援作業,－,－,－,－,－,－,－,－,－,－,－,9:30,－,－,－,－,－,4:30,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／その他,－,－,0:30,－,－,－,－,69:07:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／不従事／出場回数,6223,1415,12,186,5,9,366520,2010,1,10,46,－,14,5,5563,－,418,7,104,－,3,－,3
その他の災害出場回数／不従事／走行距離(km),32515,9769,106,1196,14,23,3290006,16928,1,89,1032,－,192,56,31718,－,3191,227,1494,－,43,－,53
その他出場回数,152822,13275,1843,16942,1513,1198,25385,4326,158,430,323,358,2062,1068,14851,48921,47907,185,1533,1669,178,11208,885
その他出場回数／非火災／出場回数,1223,212,4,164,12,－,32,7,14,－,－,－,－,1,475,－,34,－,12,－,－,－,－
その他出場回数／非火災／走行距離(km),5282,989,10,1054,43,－,158,27,45,－,－,－,－,8,2371,－,170,－,53,－,－,－,－
その他出場回数／演習その他／出場回数,151599,13063,1839,16778,1501,1198,25353,4319,144,430,323,358,2062,1067,14376,48921,47873,185,1521,1669,178,11208,885
その他出場回数／演習その他／走行距離,1311257,122770,17484,135132,13141,10068,279474,50520,1007,5078,6567,6931,38657,78279,121647,1297115,1034000,4653,33459,66001,3749,316246,20982
その他出場回数／演習その他／付属装置運用時間(時間：分)／ポンプ運用,19453:08,1922:46:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,200:15:00,－,－,－,－
その他出場回数／演習その他／付属装置運用時間(時間：分)／その他,－,－,226:247,9735:51:00,710:50:00,281:35:00,－,357:25:00,38:00:00,363:26:00,4:30,278:30:00,－,－,－,－,－,20:30,－,－,－,－,671:59:00
点検走行距離(km),677,89,5,26,24,5,115,2,－,6,30,－,2,6,50,74,51,1,27,－,－,37,－
