用途,防火管理者を届出している防火対象物,防火管理者,防火管理者の選任届・解任届受理状況／選任,防火管理者の選任届・解任届受理状況／解任,共同防火管理協議事項を届出している防火対象物
計,86619,152307,23315,11858,16302
(一)／イ／劇場・映画館・演芸場又は観覧場,90,110,42,31,0
(一)／ロ／公会堂又は集会場,62,60,27,16,0
(二)／イ／キャバレー・カフェー・ナイトクラブ・その他これらに類するもの,81,301,78,23,1
(二)／ロ／遊技場又はダンスホール,611,937,120,61,7
(三)／イ／待合・料理店・その他これらに類するもの,365,380,28,12,0
(三)／ロ／飲食店,3564,6480,2107,827,105
(四)／百貨店・マーケット・その他の物品販売業を営む店舗又は展示場,2154,3894,1326,828,58
(五)／イ／旅館・ホテル又は宿泊所,1518,1619,263,185,16
(五)／ロ／寄宿舎・下宿又は共同住宅,18799,18654,2317,1275,421
(六)／イ／病院・診療所又は助産所,1037,1130,225,139,7
(六)／ロ／各種福祉施設,1412,1596,318,230,1
(六)／ハ／幼稚園・盲学校・聾学校・養護学校,1037,1046,111,90,0
(七)／小学校・中学校・高等学校・高等専門学校・大学・専修学校・各種学校・その他これらに類するもの,3192,3208,876,715,0
(八)／図書館・博物館・美術館・その他これらに類するもの,207,225,56,37,0
(九)／イ／蒸気浴場・熱気浴場・その他これらに類するもの,238,262,49,25,2
(九)／ロ／公衆浴場,1667,1677,29,24,0
(十)／車両の停車場又は船舶若しくは航空機の発着場,156,182,71,64,0
(十一)／神社・寺院・協会・その他これらに類するもの,1010,1012,77,30,0
(十二)／イ／工場又は作業場,2260,2340,320,240,0
(十二)／ロ／映画スタジオ又はテレビスタジオ,16,20,7,5,0
(十三)／イ／自動車車庫又は駐車場,63,68,12,8,0
(十三)／ロ／飛行機又は回転翼航空機の格納庫,10,10,1,1,0
(十四)／倉庫,652,904,197,140,3
(十五)／その他の事業場,12456,25751,5658,3025,394
(十六)／イ／特定用途を含む複合用途,26323,67816,7699,3282,13050
(十六)／ロ／その他の複合用途,7112,11821,1213,463,2225
(十六の二)／地下街,13,473,67,66,10
(十六の三)／準地下街,0,0,1,1,2
(十七)／文化財建造物,25,23,5,2,0
条例該当,489,308,15,13,0
