区分,合計・人員,合計・回数,"普通救命講習・人員","普通救命講習・回数","上級救命講習・人員","上級救命講習・回数","応急救護講習・人員","応急救護講習・回数","応急手当普及員講習・人員","応急手当普及員講習・回数","応急手当指導員講習・人員","応急手当指導員講習・回数","患者等搬送乗務員講習・人員","患者等搬送乗務員講習・回数","緊急即時通報派遣員講習・人員","緊急即時通報派遣員講習・回数"
平成27年,"706,638","20,677","192,015","9,341","49,416","2,204","459,593","8,864","2,877",181,1248,30,628,25,861,32
平成28年,"703,379","21,239","192,990","9,706","49,025","2,248","455,896","8,996","2,989",205,1059,25,642,26,778,33
平成29年,"651,006","19,986","192,432","8,874","53,530","2,176","400,040","8,670","2,929",183,718,25,578,26,779,32
平成30年,"697,823","19,877","188,387","8,399","54,784","2,202","449,258","8,970","2,915",195,940,52,652,26,887,33
令和元年,"696,673","19,791","184,920","8,251","51,488","2,166","454,846","9,043","3,259",231,873,42,552,26,735,32
消防団員,"9,846",-,901,-,"3,132",-,4946,-,740,-,127,14,0,0,0,0
事業所等,"176,345",-,"94,438",-,"15,884",-,"65,914",-,109,-,0,0,0,0,0,0
町会等,"139,908",-,"7,400",-,1164,-,"131,321",-,23,-,0,0,0,0,0,0
学校関係,"183,881",-,"72,897",-,"10,483",-,"100,240",-,261,-,0,0,0,0,0,0
その他,"186,693",-,"9,284",-,"20,825",-,"152,425",-,"2,126",-,746,28,552,26,735,32
盾ﾝずべの保育園,182-0026,調布市小島町３丁目４９番１５号,139.53839,35.64592,JGD2011,042-444-8901,80
他の法人,こんぺいとう保育園,182-0033,調布市富士見町１－３９－５４,139.53796,35.6617,JGD2011,042-488-7177,36
区市町村,調布市立富士見保育園,182-0033,調布市富士見町２－３－２６,139.53906,35.65842,JGD2011,042-481-7671,100
他の法人,保恵学園保育所,182-0033,調布市富士見町３－１,139.53658,35.66269,JGD2011,042-498-2002,110
社福法人,しきの森保育園,182-0034,調布市下石原２－５４－１,139.5369,35.65353,JGD2011,042-426-7151,80
社福法人,子供の家こすずめ保育園,182-0035,調布市上石原１－２０－１６,139.53014,35.65937,JGD2011,042-484-1300,90
区市町村,調布市立上石原保育園,182-0035,調布市上石原２－８－３,139.52721,35.65668,JGD2011,042-484-0234,120
営利法人,ヒューマンアカデミー上石原保育園,182-0035,調布市上石原３－２１－３,139.52229,35.65305,JGD2011,042-480-8181,80
区市町村,調布市立宮の下保育園,182-0035,調布市上石原３－３４－１０,139.52477,35.6515,JGD2011,042-486-5682,100
社福法人,城山保育園上石原,182-0035,調布市上石原３－８－１０,139.52602,35.65369,JGD2011,042-490-2031,120
営利法人,ちいはぐ・飛田給,182-0036,調布市飛田給２－２１－２ＹＡＨＩＲＯビル１階,139.52309,35.65956,JGD2011,042-485-0338,42
社福法人,南つくし野保育園,194-0002,町田市南つくし野２－１７－１,139.47504,35.5173,JGD2011,042-788-5228,99
社福法人,もりのおがわ保育園,194-0003,町田市小川１－１１－２,139.47537,35.52754,JGD2011,042-788-7025,120
社福法人,こびとのもり保育園,194-0003,町田市小川６丁目１番３２号,139.47125,35.52209,JGD2011,042-850-5423,99
社福法人,レイモンド南町田保育園,194-0004,町田市鶴間八丁目４番３０号　クレインドビル１Ｆ,139.47458,35.51125,JGD2011,042-706-9641,60
社福法人,光の原保育園,194-0005,町田市南町田１－３－４８,139.46945,35.52243,JGD2011,042-788-5381,100
社福法人,田園保育園,194-0005,町田市南町田３－１－１,139.46722,35.51915,JGD2011,042-795-1081,66
社福法人,ハッピードリーム鶴間,194-0005,町田市南町田４－２２－７,139.46693,35.51476,JGD2011,042-796-3322,142
社福法人,子どもの森南町田保育園,194-0005,町田市南町田４－２９－１２,139.47006,35.51456,JGD2011,042-850-6140,118
社福法人,子どもの森ゆうぱーく保育園,194-0005,町田市南町田4-33-1,139.46921,35.51365,JGD2011,042-850-7025,100
社福法人,成瀬南野保育園,194-0011,町田市成瀬が丘３－２２－１,139.46825,35.53622,JGD2011,042-795-2101,80
社福法人,こばと保育園,194-0012,町田市金森６－３７－１８,139.45549,35.52271,JGD2011,042-796-3628,65
社福法人,こうりん保育園,194-0012,町田市金森７－６－１,139.45409,35.53243,JGD2011,042-725-7070,96
社福法人,こひつじ保育園,194-0013,町田市原町田２－１１－５,139.45218,35.54064,JGD2011,042-722-2672,115
社福法人,なごみ第二保育園,194-0013,町田市原町田３－１９－６,139.4559,35.54173,JGD2011,042-739-3753,100
社福法人,なごみ保育園,194-0013,町田市原町田５－１－５,139.44824,35.54674,JGD2011,042-724-0753,87
営利法人,太陽の子町田駅前保育園,194-0013,町田市原町田６－１７－８クオーレ１Ｆ,139.44714,35.54536,JGD2011,042-709-7177,39
区市町村,市立町田保育園,194-0013,町田市原町田６－２６－１５,139.44783,35.54471,JGD2011,042-722-2679,89
社福法人,赤ちゃんの家保育園,194-0013,町田市原町田６－２７－１０,139.44841,35.54505,JGD2011,042-726-9558,87
営利法人,町田プチ・クレイシュ,194-0013,町田市原町田６－２８－１９　フジビル９８　１Ｆ,139.44783,35.5457,JGD2011,042-727-9188,80
社福法人,高ヶ坂保育園,194-0014,町田市高ヶ坂６－２－１０,139.46123,35.54192,JGD2011,042-727-2373,70
社福法人,高ヶ坂ふたば保育園,194-0014,町田市高ヶ坂７－２６－６,139.46271,35.53983,JGD2011,042-720-8215,75
区市町村,市立金森保育園,194-0015,町田市金森東１－１２－１６,139.45998,35.53503,JGD2011,042-723-3664,100
社福法人,ねむの木保育園,194-0015,町田市金森東３－１７－２５,139.46512,35.53032,JGD2011,042-706-0733,55
