区分,ポンプ車,化学車,特殊化学車,はしご車,空中作業車,屈折放水塔車,救急車,救助車,救援車,照明電源車,防災機動車,工作車,方面警防車,司令車,救助先行車,指揮監察車,査察広報車,補給車,消防艇,貨物車,資材搬送車,人員輸送車,その他の車両
総出場回数,201184,19147,2025,15959,1837,1039,405274,9159,20,939,357,423,2045,1963,29807,53799,46592,162,1668,1866,281,11083,1120
総走行距離(km),1558065,157353,18982,180501,14453,11330,3693446,91301,673,7120,7006,7591,44388,45856,212611,1450770,1014272,2905,33620,64902,5248,308828,28819
災害出場回数,49103,6495,315,1200,537,224,380335,4941,9,151,77,15,311,428,15457,－,1618,31,316,－,73,－,94
火災出場回数,41862,4748,302,918,527,193,1812,2707,8,111,21,－,141,375,9419,－,1231,29,156,－,28,－,93
火災出場回数／従事／出場回数,5231,819,6,221,15,－,－,189,－,62,－,－,－,－,－,－,－,－,4,－,3,－,－
火災出場回数／従事／走行距離(km),21550,4153,35,1027,75,－,－,1302,－,1045,－,－,－,－,－,－,－,－,60,－,61,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／ポンプ運用,5364:31:00,760:43:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／はしご架梯,－,－,－,153:41:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／塔体運用,－,－,－,－,13:10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／照明作業,－,－,－,－,－,－,－,－,－,124:09:00,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／無線開局,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／救援作業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／従事／付属装置運用時間(時間：分)／その他,－,－,3:50,－,－,－,－,160:10:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
火災出場回数／不従事／出場回数,36631,3929,296,697,512,193,1812,2518,8,49,21,－,141,375,9419,－,1231,29,152,－,25,－,93
火災出場回数／不従事／走行距離(km),184651,24115,1856,41570,2783,2900,11209,17783,26,662,411,－,2115,5501,56730,－,8192,466,977,－,442,－,2603
その他の災害出場回数,7241,1747,13,282,10,31,378523,2234,1,40,56,15,170,53,6038,－,387,2,160,－,45,－,1
その他の災害出場回数／従事／出場回数,811,183,1,52,4,－,－,194,－,21,－,6,－,－,－,－,－,－,41,－,29,－,－
その他の災害出場回数／従事／走行距離(km),3564,908,9,232,13,－,－,1977,－,327,－,96,－,－,－,－,－,－,786,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／ポンプ運用,106:24:00,32:47:00,－,－,13,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／はしご架梯,－,－,－,21:22,13,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／塔体運用,－,－,－,－,2:12,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／照明作業,－,－,－,－,－,－,－,－,－,30:28:00,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／無線開局,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／救援作業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／従事／付属装置運用時間(時間：分)／その他,－,－,－,－,－,－,－,85:35:00,－,－,－,6:05,－,－,－,－,－,－,－,－,－,－,－
その他の災害出場回数／不従事／出場回数,6430,1564,12,230,6,31,378523,2040,1,19,56,9,170,53,6038,－,387,2,119,－,16,－,1
その他の災害出場回数／不従事／走行距離(km),34266,10643,89,1605,25,80,3441858,17285,22,351,1215,189,131,363,33769,－,4387,12,1701,－,206,－,34
その他出場回数,152081,12652,1710,14759,1300,815,24939,4218,11,788,280,408,1734,1535,14350,53799,44974,131,1352,1866,208,11083,1026
その他出場回数／非火災／出場回数,829,191,3,113,11,－,25,2,－,394,－,1,－,－,372,－,20,－,8,－,－,－,－
その他出場回数／非火災／走行距離(km),3597,892,11,751,56,－,126,9,－,－,－,4,－,－,1895,－,123,－,46,－,－,－,－
その他出場回数／演習その他／出場回数,151252,12461,1707,14646,1289,815,24914,4216,11,394,280,407,1734,1535,13978,53799,44954,131,1344,1866,208,11083,1026
その他出場回数／演習その他／走行距離,1310437,116642,16982,135316,11501,8350,240253,52945,625,4735,5380,7302,42142,39992,120217,1450770,1001570,2427,30050,64902,4539,308828,26182
その他出場回数／演習その他／付属装置運用時間(時間：分)／ポンプ運用,17874:43,1873:07:00,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,747:30:00,－,－,－,－
その他出場回数／演習その他／付属装置運用時間(時間：分)／その他,－,－,230:50:00,8543:00:00,594:30:00,229:35:00,－,361:05:00,26:45:00,418:25:00,－,364:05:00,－,－,－,－,－,－,－,－,61:30:00,－,366:15:00
点検走行距離(km),482,47,7,35,3,1,85,－,－,6,－,－,5,－,1883,89,157,－,34,－,11,28,－
