応援消防本部,事案数・計,事案数・普通応援で対応,事案数・特別応援で対応,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
令和元年,491,487,4,804,541,121,67,75,170,366,19,107,464,"3,049","1,463",1590
川口市,21,21,0,52,30,5,12,5,8,31,2,18,103,181,108,73
秩父,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,17,17,0,25,19,2,0,4,1,0,0,0,0,95,10,85
草加八潮,35,34,1,35,35,0,0,0,0,0,0,0,0,124,0,124
戸田市,17,17,0,19,18,0,0,1,2,2,2,26,116,57,6,51
埼玉県南西部,115,115,0,184,119,52,5,8,39,104,11,34,140,767,423,344
三郷市,3,3,0,3,3,0,0,0,0,0,0,0,0,11,0,11
市川市,37,37,0,57,33,7,0,17,5,0,0,0,0,221,45,176
松戸市,15,15,0,55,25,6,12,12,0,0,0,0,0,188,0,188
浦安市,18,18,0,24,18,6,0,0,4,0,0,0,0,90,28,62
稲城市,16,13,3,32,21,3,3,5,2,11,2,23,60,108,41,67
横浜市,45,45,0,88,45,20,16,7,24,62,1,3,15,328,234,94
川崎市,89,89,0,128,105,5,12,6,35,54,1,3,30,505,242,263
相模原市,50,50,0,89,57,15,7,10,50,89,0,0,0,322,326,0
大和市,13,13,0,13,13,0,0,0,0,13,0,0,0,52,0,52
都留市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上野原市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
