危険物品名(kg),計,製造所,屋内貯蔵所,屋外タンク貯蔵所 ,屋内タンク貯蔵所,地下タンク貯蔵所,簡易タンク貯蔵所,移動タンク貯蔵所,屋外貯蔵所,給油取扱所,販売取扱所・第１種,販売取扱所・第２種,移送取扱所,一般取扱所
第四類_特殊引火物,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"第四類_第一石油類・非水溶性液体	",2410.639,-,74.666,850,-,100,0.6,180,-,546.123,-,-,580,79.25
"第四類_第一石油類・水溶性液体	",0.7,-,0.7,-,-,-,-,-,-,-,-,-,-,-
第四類_アルコール類,0.155,-,0.155,-,-,-,-,-,-,-,-,-,-,-
"第四類_第二石油類・非水溶性液体	",25678.9921,-,70.148,19848.781,8.7,894.69,0.6,356.36,398.8098,1923.894,-,-,1720,457.0093
"第四類_第二石油類・水溶性液体	",11.1,-,2.1,-,-,-,-,-,-,4,-,-,-,5
"第四類_第三石油類・非水溶性液体	",18570.612,-,6.586,11782.8,193.365,260,-,54.55,681.78,133.8,-,-,4570,887.731
"第四類_第三石油類・水溶性液体	",12,-,-,-,-,-,-,-,-,-,-,-,-,12
第四類_第四石油類　,77.8165,-,13.785,-,-,-,-,-,17,-,-,-,-,47.0315
第四類_動植物油類,-,-,-,-,-,-,-,-,-,-,-,-,-,-
