ガス漏れ要因,火災件数／合計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者,火元建物等用途別火災件数／(三)ロ／飲食店,火元建物等用途別火災件数／(五)ロ／共同住宅,火元建物等用途別火災件数／(十二)イ／作業場,火元建物等用途別火災件数／複合用途の住宅,火元建物等用途別火災件数／住宅,火元建物等用途別火災件数／建物以外
計,41,31,1,2,2,26,8,－,2,213,62425,1,21,3,13,2,4,9,10
器具等の取扱不適,16,16,1,1,2,12,－,－,－,148,53909,－,7,1,10,－,2,3,－
器具等の取扱不適／コックの誤操作,6,6,1,－,－,5,－,－,－,67,2423,－,3,1,4,－,－,1,－
器具等の取扱不適／コックの誤操作／二口ガス栓の不使用側コックを開いた,5,5,－,－,－,5,－,－,－,－,161,－,1,1,3,－,－,1,－
器具等の取扱不適／コックの誤操作／器具栓を完全に締めなかった,1,1,1,－,－,－,－,－,－,67,2262,－,2,－,1,－,－,－,－
器具等の取扱不適／点火失点,5,5,－,－,－,5,－,－,－,－,49,－,2,－,3,－,1,1,－
器具等の取扱不適／点火失点／点火までの時間をとりすぎた,1,1,－,－,－,1,－,－,－,－,1,－,－,－,－,－,1,－,－
器具等の取扱不適／点火失点／点火の確認をしなかった,4,4,－,－,－,4,－,－,－,－,48,－,2,－,3,－,－,1,－
器具等の取扱不適／立ち消え,3,3,－,－,1,2,－,－,－,26,3345,－,2,－,3,－,－,－,－
器具等の取扱不適／立ち消え／煮こぼれ,3,3,－,－,1,2,－,－,－,26,3345,－,2,－,3,－,－,－,－
器具等の取扱不適／その他,2,2,－,1,1,－,－,－,－,55,48092,－,－,－,－,－,1,1,－
器具等の取扱不適／その他／ゴム管が器具に接近していた,1,1,－,－,1,－,－,－,－,7,657,－,－,－,－,－,－,1,－
器具等の取扱不適／その他／ガス栓に体があたりコックが開いた,1,1,－,1,－,－,－,－,－,48,47435,－,－,－,－,－,1,－,－
維持管理不適,9,5,－,－,－,5,3,－,1,－,1018,－,7,－,－,1,1,3,4
維持管理不適／ゴム管結合部の緩み,6,3,－,－,－,3,3,－,－,－,606,－,6,－,－,－,1,2,3
維持管理不適／ゴム管結合部の緩み／ホ－スバンドなし,2,－,－,－,－,－,2,－,－,－,522,－,1,－,－,－,－,－,2
維持管理不適／ゴム管結合部の緩み／ホ－スバンド絞めつけ不良,1,－,－,－,－,－,1,－,－,－,8,－,2,－,－,－,－,－,1
維持管理不適／ゴム管結合部の緩み／ゴム管差し込み不良,3,3,－,－,－,3,－,－,－,－,76,－,3,－,－,－,1,2,－
維持管理不適／ゴム管等の老化亀裂,3,2,－,－,－,2,－,－,1,－,412,－,1,－,－,1,－,1,1
維持管理不適／ゴム管等の老化亀裂／ゴム管,1,1,－,－,－,1,－,－,－,－,11,－,－,－,－,－,－,1,－
維持管理不適／ゴム管等の老化亀裂／ガス管の腐食,2,1,－,－,－,1,－,－,1,－,401,－,1,－,－,1,－,－,1
ガス関係工事人の行為,2,1,－,－,－,1,1,－,－,－,445,－,1,－,－,－,－,1,1
その他,9,4,－,－,－,4,4,－,1,－,417,－,3,2,－,－,－,2,5
自殺,3,3,－,1,－,2,－,－,－,65,6131,1,2,－,2,－,1,－,－
その他意図的に放出,2,2,－,－,－,2,－,－,－,－,505,－,1,－,1,1,－,－,－
