年齢別,ころぶ（人）,落ちる（人）,ぶつかる（人）,ものがつまる等（人）,切る・刺さる（人）,はさむ・はさまれる（人）,やけど（人）,かまれる・刺される（人）,おぼれる（人）
0-4歳,2069,2067,800,1058,179,251,370,37,21
5-9歳,1124,636,521,114,85,109,51,23,3
10-14歳,731,240,424,30,74,27,31,20,1
15-19歳,503,166,405,15,126,54,24,18,1
20-24歳,900,390,385,27,284,106,72,21,4
25-29歳,844,344,308,30,305,84,59,28,2
30-34歳,859,338,264,36,230,105,60,31,0
35-39歳,954,390,267,41,215,101,33,34,2
40-44歳,1169,400,247,36,197,102,48,23,8
45-49歳,1629,537,292,58,224,115,62,50,7
50-54歳,2252,743,297,56,215,111,51,47,5
55-59歳,2757,751,264,66,153,108,33,43,5
60-64歳,3030,699,194,61,133,79,32,30,21
65-69歳,4016,825,195,93,131,56,34,34,28
70-74歳,6486,1066,236,142,132,75,40,54,54
75-79歳,8830,1186,239,244,118,72,35,41,69
80-84歳,11830,1314,263,346,75,53,36,29,114
85-89歳,13123,1195,234,416,60,50,42,18,101
90-94歳,8176,670,113,249,13,22,21,7,71
95-99歳,2367,257,32,99,3,10,8,1,14
100-104歳,333,35,5,18,0,1,1,0,3
105-109歳,22,4,0,3,0,1,0,0,0
