"救急隊出場先
区市町村",全発生場所,"住宅等
居住場所","道路・
交通施設","店舗・
遊技施設等","公園・
遊園地・
運動場等","会社・
公共施設等","学校・
児童施設等",医療施設,その他（不明含む）
全出場先,127382 ,72267 ,33345 ,8478 ,4707 ,3748 ,2448 ,560 ,1829 
千代田区,1810 ,338 ,926 ,229 ,39 ,190 ,33 ,16 ,39 
中央区,1860 ,654 ,687 ,284 ,40 ,117 ,28 ,8 ,42 
港区,3323 ,1367 ,1127 ,384 ,112 ,183 ,43 ,22 ,85 
品川区,3683 ,1924 ,1096 ,294 ,155 ,120 ,54 ,14 ,26 
大田区,6819 ,4084 ,1692 ,351 ,241 ,235 ,103 ,19 ,94 
目黒区,2333 ,1374 ,600 ,132 ,85 ,55 ,40 ,17 ,30 
世田谷区,7550 ,4703 ,1717 ,388 ,330 ,127 ,170 ,36 ,79 
渋谷区,2814 ,1191 ,903 ,333 ,125 ,123 ,46 ,19 ,74 
新宿区,4671 ,1879 ,1691 ,584 ,169 ,188 ,64 ,24 ,72 
中野区,2863 ,1717 ,818 ,123 ,68 ,64 ,36 ,12 ,25 
杉並区,4650 ,2848 ,1193 ,215 ,180 ,74 ,85 ,13 ,42 
文京区,1876 ,1094 ,457 ,94 ,86 ,57 ,48 ,13 ,27 
豊島区,3239 ,1446 ,1148 ,348 ,80 ,96 ,68 ,18 ,35 
北区,3630 ,1968 ,1132 ,190 ,147 ,81 ,63 ,12 ,37 
板橋区,5109 ,3042 ,1376 ,260 ,155 ,125 ,80 ,27 ,44 
練馬区,6033 ,3777 ,1431 ,307 ,207 ,116 ,123 ,22 ,50 
台東区,2804 ,1201 ,1030 ,258 ,93 ,115 ,34 ,12 ,61 
荒川区,2185 ,1213 ,655 ,116 ,59 ,70 ,36 ,7 ,29 
足立区,6688 ,4061 ,1695 ,310 ,220 ,193 ,118 ,20 ,71 
墨田区,2665 ,1479 ,779 ,169 ,74 ,73 ,41 ,10 ,40 
江東区,4762 ,2638 ,1079 ,355 ,304 ,236 ,58 ,20 ,72 
葛飾区,4448 ,2718 ,1103 ,217 ,178 ,101 ,65 ,16 ,50 
江戸川区,6006 ,3661 ,1416 ,330 ,242 ,171 ,98 ,28 ,60 
立川市,1956 ,1128 ,441 ,173 ,74 ,60 ,41 ,13 ,26 
国立市,664 ,390 ,147 ,38 ,24 ,26 ,26 ,7 ,6 
武蔵野市,1392 ,716 ,390 ,154 ,58 ,28 ,30 ,5 ,11 
三鷹市,1505 ,960 ,327 ,69 ,71 ,25 ,34 ,2 ,17 
府中市,1973 ,1215 ,420 ,109 ,90 ,47 ,46 ,6 ,40 
昭島市,1036 ,633 ,202 ,76 ,37 ,44 ,26 ,3 ,15 
調布市,1923 ,1138 ,454 ,138 ,98 ,26 ,35 ,7 ,27 
小金井市,857 ,532 ,174 ,47 ,35 ,20 ,31 ,6 ,12 
小平市,1596 ,1049 ,327 ,73 ,44 ,26 ,50 ,7 ,20 
東村山市,1410 ,914 ,311 ,63 ,34 ,31 ,33 ,3 ,21 
国分寺市,936 ,594 ,236 ,50 ,13 ,12 ,19 ,3 ,9 
狛江市,586 ,418 ,104 ,24 ,13 ,11 ,8 ,-,8 
東大和市,772 ,517 ,137 ,41 ,20 ,15 ,28 ,3 ,11 
武蔵村山市,589 ,375 ,95 ,38 ,21 ,26 ,21 ,3 ,10 
清瀬市,769 ,494 ,173 ,26 ,23 ,14 ,22 ,7 ,10 
東久留米市,1055 ,687 ,209 ,83 ,19 ,12 ,34 ,4 ,7 
西東京市,1682 ,1058 ,387 ,99 ,73 ,21 ,30 ,6 ,8 
八王子市,4930 ,3109 ,924 ,279 ,186 ,133 ,145 ,21 ,133 
青梅市,990 ,647 ,161 ,45 ,35 ,26 ,24 ,3 ,49 
町田市,3969 ,2397 ,926 ,272 ,133 ,78 ,99 ,23 ,41 
日野市,1495 ,928 ,327 ,77 ,56 ,34 ,43 ,9 ,21 
多摩市,1257 ,694 ,331 ,91 ,59 ,30 ,29 ,7 ,16 
福生市,545 ,314 ,121 ,42 ,26 ,14 ,12 ,2 ,14 
羽村市,453 ,286 ,91 ,26 ,13 ,18 ,12 ,1 ,6 
瑞穂町,281 ,156 ,45 ,18 ,14 ,37 ,4 ,1 ,6 
あきる野市,629 ,379 ,91 ,29 ,32 ,15 ,25 ,3 ,55 
日の出町,158 ,95 ,17 ,22 ,3 ,8 ,6 ,-,7 
檜原村,40 ,19 ,3 ,-,1 ,-,-,-,17 
奥多摩町,113 ,48 ,23 ,5 ,13 ,1 ,1 ,,22 
