応援を行った消防本部／応援救急隊,出場件数／合計,出場件数／搬送,出場件数／不搬送／計,出場件数／不搬送／現場処置,出場件数／不搬送／不救護,救護人員／計,救護人員／搬送,救護人員／現場処置,程度別搬送人員／死亡,程度別搬送人員／重篤,程度別搬送人員／重症,程度別搬送人員／中等症,程度別搬送人員／軽症,備考
計,141,105,36,－,36,165,165,－,2,1,7,45,110,
稲城市／稲城,1,1,－,－,－,1,1,－,－,－,－,－,1,多摩市(1件)
東久留米市／東久留米,6,3,3,－,3,5,5,－,－,1,－,1,3,"小平市(2件)､東村山市(2件)
清瀬市(2件)"
浦安市／今川,11,7,4,－,4,11,11,－,－,－,－,3,8,江戸川区(11件)
市川市／市川第1,2,1,1,－,1,1,1,－,－,－,1,－,－,江戸川区(2件)
市川市／市川第2,4,3,1,－,1,7,7,－,－,－,1,－,6,江戸川区(4件)
市川市／市川第3,1,－,1,－,1,－,－,－,－,－,－,－,－,江戸川区(1件)
市川市／市川第9,2,2,－,－,－,6,6,－,－,－,－,1,5,江戸川区(2件)
松戸市／西口,2,1,1,－,1,1,1,－,－,－,－,1,－,葛飾区(2件)
松戸市／20世紀丘,1,－,1,－,1,－,－,－,－,－,－,－,－,葛飾区(1件)
八潮市／八潮,5,5,－,－,－,6,6,－,－,－,－,2,4,足立区(5件)
草加市／草加,1,1,－,－,－,1,1,－,－,－,－,－,1,足立区(1件)
川口市／川口,7,4,3,－,3,6,6,－,－,－,－,3,3,足立区(7件)
和光市／和光,1,1,－,－,－,1,1,－,－,－,－,－,1,練馬区(1件)
新座市／新座,5,4,1,－,1,4,4,－,－,－,－,－,4,清瀬市(5件)
新座市／片山,2,2,－,－,－,2,2,－,－,－,－,－,2,練馬区(2件)
所沢市／東分署,1,1,－,－,－,1,1,－,－,－,－,－,1,清瀬市(1件)
所沢市／西分署,4,4,－,－,－,5,5,－,－,－,1,3,1,"東村山市(1件)､東大和市(2件)
武蔵村山市(1件)"
所沢市／南分署,23,19,4,－,4,37,37,－,－,－,2,13,22,"東村山市(1件)､東大和市(20件)
武蔵村山市(2件)"
入間市／第1救急,1,－,1,－,1,－,－,－,－,－,－,－,－,青梅市(1件)
戸田市／戸田,2,1,1,－,1,1,1,－,－,－,－,－,1,板橋区(2件)
三郷市／南分署,1,1,－,－,－,1,1,－,－,－,－,1,－,葛飾区(1件)
川崎市／大師,1,1,－,－,－,1,1,－,－,－,1,－,－,大田区(1件)
川崎市／高津,3,3,－,－,－,4,4,－,－,－,－,1,3,世田谷区(3件)
川崎市／久地,4,3,1,－,1,6,6,－,－,－,－,3,3,世田谷区(4件)
川崎市／宮前,12,10,2,－,2,13,13,－,－,－,1,4,8,世田谷区(12件)
相模原市／相模原,1,1,－,－,－,1,1,－,－,－,－,1,－,町田市(1件)
相模原市／橋本,2,－,2,－,2,－,－,－,－,－,－,－,－,町田市(2件)
相模原市／大沼,1,1,－,－,－,1,1,－,－,－,－,－,1,町田市(1件)
横浜市／長津田,1,－,1,－,1,－,－,－,－,－,－,－,－,町田市(1件)
横浜市／若葉台,2,1,1,－,1,2,2,－,－,－,－,－,2,町田市(2件)
津久井郡広域行政組合／本署,2,－,2,－,2,－,－,－,－,－,－,－,－,八王子市(2件)
津久井郡広域行政組合／城山,1,1,－,－,－,1,1,－,1,－,－,－,－,町田市(1件)
津久井郡広域行政組合／藤野,28,23,5,－,5,39,39,－,1,－,－,8,30,八王子市(28件)
津久井郡広�人,みつばち保育園,108-0072,港区白金四丁目７番２号,139.72835,35.64256,JGD2011,03-3444-8767,30
営利法人,太陽の子三田保育園,108-0073,港区三田一丁目２番１８号　ＴＴＤ　ＰＬＡＺＡビル２階,139.74052,35.65503,JGD2011,03-5439-6390,69
営利法人,アイグラン保育園赤羽橋,108-0073,港区三田一丁目３番３１号　Ｆｏｒｅｃａｓｔ三田２階,139.74344,35.6546,JGD2011,03-6453-9325,60
営利法人,うれしい保育園白金高輪,108-0073,港区三田五丁目１７番２号,139.73694,35.6451,JGD2011,03-5795-2310,60
営利法人,太陽の子三田五丁目保育園,108-0073,港区三田五丁目４番３号　三田プラザビル３階,139.73889,35.64762,JGD2011,03-5439-6775,60
区市町村,伊皿子坂保育園,108-0073,港区三田四丁目１９番３０号,139.73956,35.64084,JGD2011,03-3444-7601,149
営利法人,高輪さつき保育園,108-0074,港区高輪一丁目１６番１５号　自動車部品会館２階,139.73421,35.64091,JGD2011,03-3473-2320,60
社福法人,愛星保育園,108-0074,港区高輪一丁目２７番４０号,139.73232,35.63655,JGD2011,03-3441-5410,65
営利法人,ゆらりん高輪保育園,108-0074,港区高輪一丁目５番３８号　ＨＵＧ高輪１階、２階,139.73677,35.642,JGD2011,03-5422-6170,101
社福法人,みなと保育園,108-0074,港区高輪一丁目６番９号,139.73553,35.6423,JGD2011,03-3443-3406,63
区市町村,高輪保育園,108-0074,港区高輪三丁目１８番１５号,139.7354,35.63314,JGD2011,03-3449-1641,143
社福法人,高輪夢保育園,108-0074,港区高輪三丁目２５番３３号　長田ビル３階,139.73883,35.63111,JGD2011,03-5791-9680,50
営利法人,ほっぺるランド高輪二丁目,108-0074,港区高輪二丁目１６番８号,139.73901,35.63874,JGD2011,03-5422-9781,60
営利法人,さくらさくみらい高輪,108-0074,港区高輪二丁目６番２１号,139.7336,35.63588,JGD2011,03-5860-2339,84
営利法人,ゆらりん港南保育園,108-0075,港区港南一丁目６番２７号　芝浦クリスタル品川港南２階,139.74547,35.63041,JGD2011,03-6712-1188,60
営利法人,ゆらりんはぁと保育園,108-0075,港区港南一丁目８番２３号 ＳｈｉｎａｇａｗａＨＥＡＲＴ２階,139.74399,35.63012,JGD2011,03-6260-0873,50
営利法人,グローバルキッズ港南保育園,108-0075,港区港南四丁目１番８号　リバージュ品川２階,139.74661,35.62985,JGD2011,03-3450-6130,99
区市町村,こうなん保育園,108-0075,港区港南四丁目２番３号101,139.74774,35.6291,JGD2011,03-3450-3800,148
区市町村,たかはま保育園,108-0075,港区港南四丁目３番７号,139.74971,35.62935,JGD2011,03-5781-0255,151
営利法人,ベネッセ港南保育園,108-0075,港区港南四丁目６番７号,139.75101,35.62699,JGD2011,03-5783-5871,60
営利法人,ゆらりん港南緑水保育園,108-0075,港区港南四丁目７番３７号（港南緑水公園内）,139.75125,35.62992,JGD2011,03-5781-2781,101
