年次,救急要請,医療機関案内,かかりつけ案内,口頭指導,他機関案内,看護師への医師助言,医師直接対応,監督員対応,相談者による途中切断等,その他
平成27年,"25,576",72544,27909,39338,2038,47127,21,1,946,10259
平成28年,"28,269",74782,27295,56875,1559,36892,3,15,1094,11686
平成29年,"29,838",85864,30096,78307,1852,35616,2,9,1506,13470
平成30年,"30,003",103000,37898,91441,2769,44183,68,0,1881,14791
令和元年,"31,412",117877,45616,91671,4559,40265,2,0,2678,17129
1月,"2,940",11136,4563,9506,409,4440,1,0,239,1511
2月,"2,444",8824,4056,7348,323,3069,0,0,235,1283
3月,"2,407",9791,3729,7648,308,3355,0,0,274,1398
4月,"2,349",9602,3459,7110,392,3264,0,0,219,1342
5月,"2,623",10666,3714,8148,429,3579,1,0,233,1439
6月,"2,575",9137,3858,7367,325,3185,0,0,224,1378
7月,"2,658",10046,4369,8122,412,3285,0,0,185,1469
8月,"2,795",10234,3950,8000,398,3543,0,0,186,1505
9月,"2,582",9800,3657,7589,375,3311,0,0,231,1573
10月,"2,690",9402,3487,7367,380,3228,0,0,218,1534
11月,"2,549",9096,3136,6949,365,3030,0,0,190,1333
12月,"2,800",10143,3638,6517,443,2976,0,0,244,1364
