政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成27年,"2,827",79,92,482,"2,174","3,250",108,109,600,"2,433","2,330",198,192,"1,940","4,610","20,297","3,550,989,811",82,756
平成28年,"2,681",71,86,400,"2,124","2,986",93,98,494,"2,301","2,072",135,143,"1,794","3,985","16,652","3,787,755,715",75,763
平成29年,"2,730",83,75,442,"2,130","3,126",113,92,573,"2,348","2,406",206,216,"1,984","4,746","20,431","4,812,225,813",70,714
平成30年,"2,609",58,86,423,"2,042","2,883",74,101,511,"2,197","2,151",172,169,"1,810","4,116","18,158","5,853,910,274",80,754
令和元年,"2,811",73,81,434,"2,223","3,147",92,97,553,"2,405","2,289",203,168,"1,918","4,292","18,030","7,135,079,558",103,649
政令用途から出火,"2,287",16,38,348,"1,885","2,398",18,42,390,"1,948","1,527",128,106,"1,293","2,504","9,493","5,403,366,128",63,473
一項・イ・劇場,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,3800,-,1
二項・ロ・遊技場,4,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,100960,-,-
三項・ロ・飲食店,56,1,2,13,40,63,1,3,16,43,4,-,1,3,7,189,67919388,-,10
四項・百貨店,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,"54,600",-,2
四項・マーケット,15,-,-,3,12,15,-,-,3,12,1,-,-,1,5,7,"3,958,443",-,6
四項・物品販売店舗,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,"65,080",-,-
五項・イ・ホテル,14,-,-,-,14,14,-,-,-,14,-,-,-,-,-,-,185275,-,3
五項・イ・宿泊所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"12,000",-,-
五項・イ・簡易宿泊所,2,-,-,-,2,2,-,-,-,2,2,-,-,2,2,-,30100,-,1
五項・ロ・寄宿舎,11,-,-,-,11,11,-,-,-,11,13,-,-,13,18,-,"104,920",-,1
五項・ロ・共同住宅,718,3,6,127,582,745,3,8,135,599,866,56,43,767,1475,2310,"560,245,215",27,203
六項・イ・(1)・特定病院,4,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,"126,700",-,1
六項・イ・(3)・病院（特定病院以外）,8,-,-,2,6,8,-,-,2,6,-,-,-,-,-,8,"13,020,669",-,-
六項・ロ・(1)・養護老人ホーム,4,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,"12,268",-,-
六項・ロ・(1)・有料老人ホーム（要介護者入居）,7,-,-,-,7,7,-,-,-,7,2,-,-,2,3,-,"195,850",-,2
六項・ロ・(5)・障害者支援施設（避難困難者入所）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,500,-,-
六項・ロ・(1)・認知症対応型老人共同生活援助,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,310,-,-
六項・ハ・(1)・老人デイサービスセンター,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"1,700",-,-
六項・ハ・(1)・有料老人ホーム（要介護者入居以外）,2,-,-,1,1,2,-,-,1,1,1,-,-,1,1,-,"34,200",-,1
