用途,火災件数／計,火災件数／全焼,火災件数／半焼,火災件数／部分焼,火災件数／ぼや,焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,り災人員,焼損床面積(m2),損害額(千円),死者,傷者
計,1210,28,63,112,1007,1423,31,75,133,1184,1203,186,123,894,2765,12287,3580844,28,278
(二)／イ／キャバレー,3,－,－,－,3,3,－,－,－,3,－,－,－,－,－,－,2561,－,－
(二)／イ／ナイトクラブ,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,－,104,－,3
(二)／イ／その他これらの類,8,－,－,1,7,8,－,－,1,7,1,－,－,1,3,75,20142,－,2
(二)／ロ／遊技場,10,－,－,－,10,10,－,－,－,10,－,－,－,－,－,－,1257,－,－
(三)／イ／料理店,2,－,－,－,2,2,－,－,－,2,1,－,－,1,4,－,1310,－,－
(三)／ロ／飲食店,166,－,7,17,142,186,－,7,17,162,73,6,8,59,177,721,264833,1,36
(四)／百貨店,12,－,－,－,12,12,－,－,－,12,－,－,－,－,－,－,24453,－,－
(四)／物品販売店舗,51,3,3,5,40,62,3,4,5,50,45,4,4,37,122,709,136122,－,13
(五)／イ／旅館,1,－,－,－,1,1,－,－,－,1,1,－,－,1,1,－,2,－,－
(五)／イ／ホテル,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－
(五)／ロ／寄宿舎,23,1,1,2,19,27,1,1,3,22,35,9,2,24,42,192,34269,－,6
(五)／ロ／共同住宅,373,－,16,37,320,406,－,16,39,351,470,64,39,367,894,1709,428245,11,86
(六)／イ／病院,2,－,－,－,2,2,－,－,－,2,1,－,－,1,1,－,637,－,－
(六)／イ／診療所,3,－,－,－,3,3,－,－,－,3,－,－,－,－,－,－,504,－,－
(六)／ロ／児童福祉施設,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－
(七)／小学校,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,21,－,－
(九)／イ／熱気浴場,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,31,－,－
(九)／ロ／公衆浴場,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－
(十)／停車場,3,－,－,－,3,3,－,－,－,3,－,－,－,－,－,－,1772,－,1
(十一)／教会,1,－,－,1,－,2,－,－,1,1,2,－,2,－,5,85,4208,－,－
(十二)／イ／工場,10,－,－,－,10,10,－,－,－,10,5,－,－,5,12,－,4645,－,2
(十二)／イ／作業場,88,7,5,10,66,122,8,9,16,89,96,15,14,67,292,2888,989016,3,33
(十三)／イ／車庫,7,－,－,1,6,9,－,－,1,8,6,－,1,5,21,23,1549,－,－
(十三)／イ／駐車場,11,－,－,－,11,11,－,－,－,11,3,－,－,3,3,－,8607,－,－
(十四)／倉庫,33,3,7,2,21,52,5,7,4,36,29,6,1,22,92,1081,276287,－,8
(十五)／事務所,46,2,1,8,35,53,2,1,9,41,18,1,4,13,39,443,262072,2,8
(十五)／研究所,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,301,－,－
(十五)／その他の事業場,29,1,1,1,26,29,1,1,1,26,12,6,－,6,23,217,58376,－,2
(十六の二)／地下街(指定),1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,30,－,－
共用部分／(十六)イの共用部分,68,1,－,1,66,74,1,1,3,69,4,2,2,－,10,537,59055,－,1
共用部分／(十六)ロの共用部分,19,－,－,－,19,19,－,－,－,19,4,－,－,4,16,－,1996,－,－
住宅部分,216,9,22,23,162,289,9,28,29,223,394,72,45,277,1003,3429,962979,11,73
空室部分,7,－,－,3,4,8,－,－,3,5,1,－,－,1,2,95,23858,－,－
工事部分,9,1,－,－,8,11,1,－,1,9,2,1,1,－,3,83,11602,－,4
