月別,受付件数・計,受付件数・医療機関案内,受付件数・救急相談,受付件数・相談前救急要請,受付件数・かけ直し依頼,受付件数・その他
平成27年,"375,458",224844,145554,232,4823,5
平成28年,"378,776",225879,152145,535,215,2
平成29年,"369,018",195707,172551,613,146,1
平成30年,"398,877",196012,201943,666,254,2
令和元年,"417,013",184425,231686,717,185,0
1月,"44,292",22158,22031,73,30,0
2月,"31,363",13130,18156,52,25,0
3月,"32,839",13856,18902,58,23,0
4月,"32,787",14364,18353,50,20,0
5月,"38,004",17823,20107,59,15,0
6月,"32,497",13914,18511,62,10,0
7月,"34,361",14091,20194,67,9,0
8月,"36,820",16443,20304,64,9,0
9月,"33,823",14550,19210,50,13,0
10月,"32,411",13674,18673,53,10,0
11月,"31,086",13454,17570,54,9,0
12月,"36,730",16968,19675,75,12,0
