覚知方法,計・火災件数,計・建物火災・  小計,計・建物火災・  全焼,計・建物火災・  半焼,計・建物火災・  部分焼,計・建物火災・  ぼや,計・建物以外の火災,計・火災１件当たり焼損床面積(㎡),計・損害額(円),特別区・火災件数,特別区・建物・小計,特別区・建物・全焼,特別区・建物・半焼,特別区・火災・部分焼,特別区・火災・ぼや,特別区・建物以外の火災,特別区・火災１件当たり焼損床面積（㎡）,特別区・損害額（円）,受託地区・火災件数,受託地区・建物火災・小計,受託地区・建物火災・全焼,受託地区・建物火災・半焼,受託地区・建物火災・部分焼,受託地区・建物火災・ぼや,受託地区・建物以外の火災,受託地区・火災１件当たり焼損床面積(㎡),受託地区・損害額(円)
平成27年,"4,430","2,922",84,93,515,"2,230","1,508",7,"886,156","3,249","2,249",53,63,397,"1,736",1000,6.5,"947,548",1181,673,31,30,118,494,508,9,"717,263"
平成28年,"3,980","2,766",75,89,421,"2,181","1,214",6.3,"1,237,289","3,008","2,154",37,60,335,"1,722",854,5.5,"1,322,923",972,612,38,29,86,459,360,9.4,"972,280"
平成29年,"4,204","2,837",84,77,474,"2,202","1,367",7.3,"1,224,322","3,098","2,192",49,56,354,"1,733",906,6.2,"1,252,059","1,106",645,35,21,120,469,461,11,"1,146,627"
平成30年,"3,972","2,696",64,87,447,"2,098","1,276",6.9,"1,528,445","2,912","2,047",27,66,330,"1,624",865,5.4,"805,545","1,060",649,37,21,117,474,411,11.7,"3,514,373"
令和元年,"4,085","2,904",81,83,455,"2,285","1,181",6.3,"1,882,238","3,049","2,228",39,55,355,"1,779",821,5.4,"1,877,518",1036,676,42,28,100,506,360,9.4,"1,896,128"
報知電話,"2,111","1,468",78,81,413,896,643,12,"3,506,344","1,563",1122,37,53,321,711,441,10.3,"3,510,757",548,346,41,28,92,185,202,17.6,"3,493,754"
加入電話,66,40,-,-,3,37,26,0.2,"96,944",47,29,-,-,3,26,18,0.3,"133,687",19,11,-,-,-,11,8,-,"6,055"
警察電話,209,104,3,1,21,79,105,5,"957,847",157,83,2,1,17,63,74,3.5,"1,148,216",52,21,1,-,4,16,31,11,"383,077"
専用電話,20,4,-,-,-,4,16,-,"423,946",16,3,-,-,-,3,13,-,"510,557",4,1,-,-,-,1,3,-,"77,500"
駆付,18,11,-,1,2,8,7,9.5,"579,565",16,9,-,1,1,7,7,11.7,"578,204",2,2,-,-,1,1,-,-,590450
事後聞知,"1,629","1,267",-,-,14,"1,253",362,-,"32,319","1,230",975,-,-,11,964,255,-,"19,887",399,292,-,-,3,289,107,-,"70,644"
その他,32,10,-,-,2,8,22,2,"278,219",20,7,-,-,2,5,13,2.9,"440,226",12,3,-,-,-,3,9,-,"8,208"
