月別,計／回数,計／聴衆数,本庁行事／回数,本庁行事／聴衆数,消防署行事／回数,消防署行事／聴衆数,東京都関係／回数,東京都関係／聴衆数,官公庁関係／回数,官公庁関係／聴衆数,学校関係／回数,学校関係／聴衆数,一般／回数,一般／聴衆数
計,159,734680,47,140024,26,127476,34,68590,20,115030,5,13600,27,269960
1月,4,11910,4,11910,－,－,－,－,－,－,－,－,－,－
2月,10,39064,7,20854,－,－,－,－,2,9500,－,－,1,8710
3月,13,62503,5,13904,3,14000,1,2019,2,11500,－,－,2,21080
4月,15,51821,5,15915,2,9807,5,10090,2,13509,1,2500,－,－
5月,13,53484,2,5860,5,24520,4,8070,1,5034,－,－,1,10000
6月,9,32167,2,6050,2,10800,3,6065,1,6452,1,2800,－,－
7月,17,98724,4,11910,2,8804,2,4530,2,10500,1,2900,6,60080
8月,11,64553,1,2970,3,15410,2,3540,2,12500,－,－,3,30133
9月,16,58119,4,12925,1,4004,7,14120,3,17260,－,－,1,9810
10月,20,105438,5,16920,1,5805,5,10086,4,23025,－,－,5,49602
11月,21,108886,4,11900,6,29426,4,8060,1,5750,1,3400,5,50350
12月,10,48011,4,8906,1,4900,1,2010,－,－,1,2000,3,30195
