火元建物の構造,火災件数・計,火災件数・焼損程度・全焼,火災件数・焼損程度・半焼,火災件数・焼損程度・部分焼,火災件数・焼損程度・ぼや,火災件数・出火階・地階,火災件数・出火階・１階,火災件数・出火階・２階,火災件数・出火階・３階,"火災件数・出火階・４階以上",焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成27年,"2,827",79,92,482,"2,174",158,"1,233",629,261,546,"3,250",108,109,600,"2,433","2,330",198,192,"1,940","20,297","3,550,989,811",82,756
平成28年,"2,681",71,86,400,"2,124",151,"1,143",593,261,533,"2,986",93,98,494,"2,301","2,072",135,143,"1,794","16,652","3,787,755,715",75,763
平成29年,"2,730",83,75,442,"2,130",149,"1,140",616,270,555,"3,126",113,92,573,"2,348","2,406",206,216,"1,984","20,431","4,812,225,813",70,714
平成30年,"2,609",58,86,423,"2,042",135,"1,093",590,231,560,"2,883",74,101,511,"2,197","2,151",172,169,"1,810","18,158","5,853,910,274",80,754
令和元年,"2,811",73,81,434,"2,223",165,"1,135",626,260,625,"3,147",92,97,553,"2,405","2,289",203,168,"1,918","18,030","7,135,079,558",103,649
木造建物,57,22,4,7,24,1,47,8,-,1,143,32,10,38,63,114,31,8,75,"3,054","395,018,465",11,15
防火構造建物,674,35,62,133,444,2,442,225,5,-,874,38,72,205,559,966,103,95,768,"8,163","1,645,718,462",49,234
耐火建物,"1,838",3,5,237,"1,593",160,489,326,242,621,"1,853",3,4,239,"1,607",1028,58,51,919,"4,610","4,617,495,498",35,340
準耐火建物イ,141,3,5,34,99,-,74,54,11,2,155,3,6,40,106,143,8,12,123,917,"249,233,569",4,35
準耐火建物ロ,34,1,3,7,23,-,25,9,-,-,38,1,3,9,25,24,2,2,20,655,"145,717,462",3,13
その他,67,9,2,16,40,2,58,4,2,1,84,15,2,22,45,14,1,-,13,631,"81,896,102",1,12
