事故種別,内容,救急搬送人員（人）,,,,
落ちる,階段,142,,,,
落ちる,椅子,93,,,,
落ちる,ベッド,51,,,,
落ちる,ソファ,38,,,,
落ちる,自転車の補助イス,37,,,,
ころぶ,その他の家具,38,,,,
ころぶ,机・テーブル,37,,,,
ころぶ,椅子,26,,,,
ころぶ,階段,16,,,,
ころぶ,ベビーカー,15,,,,
ものがつまる等,その他の玩具,31,,,,
ものがつまる等,たばこ,28,,,,
ものがつまる等,野菜・果物,20,,,,
ものがつまる等,電池,18,,,,
ものがつまる等,薬剤等,18,,,,
ぶつかる,机・テーブル,41,,,,
ぶつかる,ベッド,20,,,,
ぶつかる,その他の家具,13,,,,
ぶつかる,人,11,,,,
ぶつかる,手動ドア,10,,,,
やけど,お茶・コーヒー類,39,,,,
やけど,味噌汁・スープ,29,,,,
やけど,ポット・魔法瓶,25,,,,
やけど,食器類,13,,,,
やけど,熱湯,12,,,,
はさむ・はさまれる,手動ドア,47,,,,
はさむ・はさまれる,エレベーター,8,,,,
はさむ・はさまれる,椅子,5,,,,
はさむ・はさまれる,自転車,4,,,,
はさむ・はさまれる,その他の家具,4,,,,
切る・刺さる,歯ブラシ,16,,,,
切る・刺さる,ナイフ,11,,,,
切る・刺さる,ハサミ・爪切り,8,,,,
切る・刺さる,筆記具,4,,,,
切る・刺さる,箸,3,,,,
切る・刺さる,ハンガー,3,,,,
かまれる・刺される,動物等,10,,,,
かまれる・刺される,虫,1,,,,
おぼれる,浴槽,5,,,,
おぼれる,ビニールプール,1,,,,
