月別,救急出場件数／計,救急出場件数／交通事故,救急出場件数／火災事故,救急出場件数／運動競技事故,救急出場件数／自然災害事故,救急出場件数／水難事故,救急出場件数／労働災害事故,救急出場件数／一般負傷,救急出場件数／自損行為,救急出場件数／加害,救急出場件数／急病,救急出場件数／転院搬送,救急出場件数／医師搬送,救急出場件数／資器材等輸送,救急出場件数／その他,救護人員／計,救護人員／交通事故,救護人員／火災事故,救護人員／運動競技事故,救護人員／自然災害事故,救護人員／水難事故,救護人員／労働災害事故,救護人員／一般負傷,救護人員／自損行為,救護人員／加害,救護人員／急病,救護人員／転院搬送
計,378205,81141,3734,2928,11,204,5282,49038,3538,8632,199432,19071,322,951,3921,356857,87606,993,3036,13,162,5231,45948,2914,8424,183675,18855
1,29786,5288,422,119,－,20,314,4097,262,591,16715,1594,29,64,271,28030,5825,118,120,－,14,305,3822,219,569,15457,1581
2,26786,5493,380,109,－,27,357,3585,250,599,14193,1443,20,71,259,25196,5894,119,110,－,24,354,3339,207,594,13131,1424
3,31443,6999,415,168,5,30,478,4179,287,713,16159,1629,29,66,286,29536,7438,136,169,8,25,472,3900,224,688,14867,1609
4,31336,7052,325,291,1,9,422,4273,316,762,15945,1538,30,84,288,29571,7595,85,300,1,5,418,3996,253,757,14634,1527
5,30783,6682,286,323,－,16,414,4035,275,698,16088,1546,26,87,307,29184,7286,85,341,－,11,409,3795,210,687,14831,1529
6,30620,6789,237,339,－,16,456,3867,292,721,15912,1568,21,66,336,29018,7353,48,348,－,13,458,3659,235,709,14643,1552
7,33134,7459,225,252,－,16,494,4057,323,800,17393,1635,38,90,352,31435,8142,54,267,－,15,486,3826,271,805,15959,1610
8,30338,6475,239,165,5,22,467,3795,346,677,16265,1428,28,83,343,28652,7027,52,170,4,16,463,3572,302,640,15013,1393
9,31771,7293,229,348,－,11,492,3866,316,765,16448,1516,22,72,393,30111,7904,46,366,－,9,481,3655,267,750,15134,1499
10,33577,7620,270,362,－,7,477,4167,292,732,17416,1745,30,101,358,31686,8204,67,378,－,6,480,3898,242,701,15981,1729
11,31502,6977,287,305,－,11,435,4126,283,734,16266,1636,23,80,339,29665,7448,77,311,－,11,433,3851,244,694,14964,1632
12,37129,7014,419,147,－,19,476,4991,296,840,20632,1793,26,87,389,34773,7490,106,156,－,13,472,4635,240,830,19061,1770
