時間帯,火災件数・計,火災件数・建物・小計,"火災件数・建物・焼損床面積なし
",火災件数・建物・50㎡未満,"火災件数・建物・50㎡以上～100㎡未満","火災件数・建物・100㎡以上～200㎡未満","火災件数・建物・200㎡以上～300㎡未満","火災件数・建物・300㎡以上～400㎡未満","火災件数・建物・400㎡以上～500㎡未満","火災件数・建物・500㎡以上～600㎡未満","火災件数・建物・600㎡以上～700㎡未満","火災件数・建物・700㎡以上～800㎡未満","火災件数・建物・800㎡以上～900㎡未満","火災件数・建物・900㎡以上～1,000㎡未満",火災件数・建物・1000㎡以上,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,火災件数・管外からの延焼火災,り災世帯数,り災人員,焼損棟数,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成27年,"4,433","2,922","2,463",332,72,42,6,6,1,-,-,-,-,-,-,3,296,2,3,1204,3,-,"2,413","4,802","3,390","20,750","3,925,668,879",95,827
平成28年,"3,982","2,766","2,352",307,68,24,9,3,2,-,1,-,-,-,-,1,275,3,1,934,2,-,"2,133","4,123","3,107","17,529","4,924,408,207",83,853
平成29年,"4,205","2,837","2,420",300,65,37,8,1,4,1,-,-,-,-,1,3,216,-,-,"1,148",1,-,"2,486","4,884","3,266","20,719","5,147,049,552",79,758
平成30年,"3,973","2,696","2,306",291,58,26,9,-,1,1,3,-,-,-,1,2,225,3,-,1046,1,-,"2,200","4,239","2,999","18,604","6,070,982,850",86,798
令和元年,"4,089","2,904","2,484",323,45,38,9,2,1,1,1,-,-,-,-,5,206,1,-,969,3,1,"2,335","4,395","3,284","18,295","7,688,941,420",108,705
昼間,"2,053","1,428","1,215",169,19,18,2,2,1,1,1,-,-,-,-,5,141,1,-,477,-,1,"1,185","2,244","1,617","9,505","4,579,598,758",41,361
６時台,105,76,60,9,4,3,-,-,-,-,-,-,-,-,-,-,6,-,-,23,-,-,103,170,96,846,"250,782,717",1,28
７時台,106,83,70,10,-,2,-,1,-,-,-,-,-,-,-,-,6,-,-,17,-,-,112,215,98,914,"168,442,812",2,27
８時台,139,97,78,15,2,1,-,1,-,-,-,-,-,-,-,-,13,-,-,29,-,-,95,201,124,854,"127,571,365",5,20
９時台,173,125,111,10,1,2,1,-,-,-,-,-,-,-,-,-,12,-,-,36,-,-,101,190,139,720,"316,817,915",2,28
10時台,172,120,102,14,3,1,-,-,-,-,-,-,-,-,-,-,23,-,-,29,-,-,97,167,133,630,"246,898,359",2,30
11時台,174,130,117,10,1,1,-,-,1,-,-,-,-,-,-,-,10,-,-,34,-,-,78,133,146,798,"147,616,890",3,25
12時台,201,140,107,22,4,6,1,-,-,-,-,-,-,-,-,-,10,-,-,51,-,-,137,253,166,1622,"280,445,190",6,41
13時台,192,118,96,20,1,-,-,-,-,-,1,-,-,-,-,2,19,-,-,53,-,-,81,143,132,1003,"2,023,368,754",4,37
14時台,197,127,111,16,-,-,-,-,-,-,-,-,-,-,-,2,12,-,-,56,-,-,96,181,131,289,"392,176,177",5,36
15時台,191,127,112,12,1,2,-,-,-,-,-,-,-,-,-,1,13,-,-,50,-,-,105,213,157,620,"181,290,528",4,47
16時台,187,133,115,17,-,-,-,-,-,1,-,-,-,-,-,-,6,-,-,47,-,1,82,165,133,857,"338,134,514",4,16
17時台,216,152,136,14,2,-,-,-,-,-,-,-,-,-,-,-,11,1,-,52,-,-,98,213,162,352,"106,053,537",3,26
夜間,"1,622","1,169",963,153,26,20,7,-,-,-,-,-,-,-,-,-,62,-,-,388,3,-,"1,044","1,970","1,359","8,789","3,079,700,606",64,337
18時台,205,155,132,20,2,1,-,-,-,-,-,-,-,-,-,-,6,-,-,44,-,-,131,259,179,590,"252,696,279",4,40
19時台,170,118,105,6,3,2,2,-,-,-,-,-,-,-,-,-,7,-,-,44,1,-,92,197,137,1027,"160,092,105",3,28
20時台,178,134,116,16,1,-,1,-,-,-,-,-,-,-,-,-,5,-,-,37,2,-,123,229,143,612,"168,587,006",2,33
21時台,173,123,107,12,2,2,-,-,-,-,-,-,-,-,-,-,5,-,-,45,-,-,104,195,131,593,"156,381,633",5,27
22時台,162,110,89,16,2,1,2,-,-,-,-,-,-,-,-,-,3,-,-,49,-,-,113,227,139,1134,"205,916,872",11,39
23時台,128,90,75,12,1,2,-,-,-,-,-,-,-,-,-,-,2,-,-,36,-,-,53,85,101,421,"43,155,585",3,16
０時台,118,88,76,12,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,24,-,-,76,130,93,217,"78,245,496",5,22
１時台,127,87,67,13,5,2,-,-,-,-,-,-,-,-,-,-,3,-,-,37,-,-,87,149,102,909,"144,182,785",4,26
２時台,100,71,54,10,3,2,2,-,-,-,-,-,-,-,-,-,6,-,-,23,-,-,69,146,92,1048,"505,609,079",7,21
３時台,83,62,46,15,-,1,-,-,-,-,-,-,-,-,-,-,5,-,-,16,-,-,66,101,75,342,"115,930,010",5,33
４時台,86,61,42,10,3,6,-,-,-,-,-,-,-,-,-,-,10,-,-,15,-,-,70,140,89,1178,"919,434,172",9,25
５時台,92,70,54,11,4,1,-,-,-,-,-,-,-,-,-,-,4,-,-,18,-,-,60,112,78,718,"329,469,584",6,27
不明,414,307,306,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,104,-,-,106,181,308,1,"29,642,056",3,7
