ガス漏れ要因,火災件数／合計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者,火元建物等用途別火災件数／(四)／物品販売店舗,火元建物等用途別火災件数／(五)ロ／共同住宅,火元建物等用途別火災件数／(十五)／その他の事業所,火元建物等用途別火災件数／複合用途の住宅部分,火元建物等用途別火災件数／住宅,火元建物等用途別火災件数／建物以外
計,30,25,－,1,2,22,5,157,65867,1,20,2,13,1,3,5,6
器具等の取扱不適,5,5,－,－,－,5,－,－,723,－,4,－,4,－,－,1,－
器具等の取扱不適／コックの誤操作,4,4,－,－,－,4,－,－,650,－,3,－,3,－,－,1,－
器具等の取扱不適／コックの誤操作／使用していない一口ガスのコックを開いた,1,1,－,－,－,1,－,－,21,－,1,－,1,－,－,－,－
器具等の取扱不適／コックの誤操作／二口ガス栓の不使用側を開いた,1,1,－,－,－,1,－,－,5,－,－,－,1,－,－,－,－
器具等の取扱不適／コックの誤操作／ガス栓を締めずにゴム管を抜いた,1,1,－,－,－,1,－,－,600,－,1,－,1,－,－,－,－
器具等の取扱不適／コックの誤操作／器具栓を完全に締めなかった,1,1,－,－,－,1,－,－,24,－,1,－,－,－,－,1,－
器具等の取扱不適／点火失敗,1,1,－,－,－,1,－,－,73,－,1,－,1,－,－,－,－
維持管理不適,13,12,－,1,－,11,1,53,26995,－,5,1,4,1,2,3,2
維持管理不適／ゴム管結合部の緩み,4,4,－,1,－,3,－,53,25562,－,2,－,2,－,1,1,－
維持管理不適／ゴム管結合部の緩み／ホースバンドなし,1,1,－,－,－,1,－,－,6,－,－,－,1,－,－,－,－
維持管理不適／ゴム管結合部の緩み／ゴム管の差し込み不良,2,2,－,1,－,1,－,53,25521,－,1,－,1,－,－,1,－
維持管理不適／ゴム管結合部の緩み／分岐金具の結合不良,1,1,－,－,－,1,－,－,35,－,1,－,－,－,1,－,－
維持管理不適／ゴム管等の老化亀裂,8,7,－,－,－,7,1,－,1430,－,3,1,2,1,1,2,1
維持管理不適／ゴム管等の老化亀裂／ゴム管,7,6,－,－,－,6,1,－,1190,－,1,1,1,1,1,2,1
維持管理不適／ゴム管等の老化亀裂／高圧導管,1,1,－,－,－,1,－,－,240,－,2,－,1,－,－,－,－
維持管理不適／故障,1,1,－,－,－,1,－,－,3,－,－,－,－,－,－,－,1
維持管理不適／故障／メーター,1,1,－,－,－,1,－,－,3,－,－,－,－,－,－,－,1
ガス関係工事人の行為,1,1,－,－,－,1,－,－,40,－,－,－,1,－,－,－,－
ガス関係工事人の行為／ガス配管工事等の不適切,1,1,－,－,－,1,－,－,40,－,－,－,1,－,－,－,－
その他,7,4,－,－,－,4,3,－,15258,－,5,1,2,－,1,－,3
自殺,2,2,－,－,1,1,－,89,19125,1,1,－,2,－,－,－,－
その他意図的に放出,2,1,－,－,1,－,1,15,3726,－,5,－,－,－,－,1,1
