応援を受けた消防署／応援消防本部,件数／計,件数／普通応援,件数／特別応援,出場車両／計,出場車両／ポンプ車,出場車両／救急車,出場車両／特殊車,出場車両／その他,従事／件数,従事／台数,従事／放水口数,従事／使用ホース数,従事／放水時間(分),出場人員／計,出場人員／従事,出場人員／不従事,公務災害発生状況,焼損床面積(m2)
計,237,224,13,249,91,136,22,－,115,124,4,13,62,910,414,496,－,1235
蒲田／川崎市,1,1,－,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
玉川／川崎市,3,3,－,3,－,3,－,－,3,3,－,－,－,9,9,－,－,－
成城／川崎市,16,16,－,16,－,16,－,－,13,13,－,－,－,48,39,9,－,－
志村／戸田市,2,2,－,2,－,2,－,－,1,1,－,－,－,6,3,3,－,－
練馬／和光市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
石神井／新座市,2,2,－,2,－,2,－,－,2,2,－,－,－,6,6,－,－,－
足立／八潮市,5,5,－,5,－,5,－,－,5,5,－,－,－,15,15,－,－,－
足立／草加市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
西新井／川口市,8,8,－,15,3,7,5,－,5,12,－,－,－,64,55,9,－,－
金町／松戸市,3,－,3,3,－,3,－,－,1,1,－,－,－,9,3,6,－,－
金町／三郷市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
江戸川／浦安市,23,23,－,25,3,11,11,－,9,11,－,－,－,92,38,54,－,50
江戸川／市川市,1,1,－,1,－,1,－,－,－,－,－,－,－,3,－,3,－,－
小岩／市川市,18,18,－,20,7,8,5,－,9,9,1,1,8,91,36,55,－,－
小平／東久留米市,2,2,－,2,2,－,－,－,1,1,－,－,－,6,3,3,－,163
保谷／東久留米市,10,10,－,10,10,－,－,－,－,－,－,－,－,40,－,40,－,－
保谷／新座市,7,7,－,7,7,－,－,－,－,－,－,－,－,28,－,28,－,392
調布／稲城市,4,4,－,4,4,－,－,－,－,－,－,－,－,16,－,16,－,－
東村山／所沢市,6,5,1,7,5,2,－,－,4,4,2,11,33,29,15,14,－,－
東村山／東久留米市,4,4,－,4,4,－,－,－,1,1,－,－,－,14,6,8,－,－
狛江／川崎市,3,3,－,3,3,－,－,－,－,－,－,－,－,15,－,15,－,31
北多摩西部／所沢市,25,25,－,25,－,25,－,－,21,21,－,－,－,75,63,12,－,－
清瀬／東久留米市,11,11,－,11,9,2,－,－,1,1,－,－,－,41,3,38,－,18
清瀬／新座市,10,10,－,10,5,5,－,－,4,4,－,－,－,34,12,22,－,176
清瀬／所沢市,3,2,1,3,1,1,1,－,2,2,－,－,－,10,7,3,－,165
八王子／津久井広域,38,34,4,38,8,30,－,－,24,24,1,1,21,127,74,53,－,－
町田／相模原市,12,12,－,12,8,4,－,－,2,2,－,－,－,52,6,46,－,104
町田／横浜市,11,11,－,11,8,3,－,－,1,1,－,－,－,44,3,41,－,－
町田／川崎市,1,1,－,1,1,－,－,－,－,－,－,－,－,5,－,5,－,10
町田／津久井広域,2,2,－,2,1,1,－,－,1,1,－,－,－,8,3,5,－,－
多摩／川崎市,2,2,－,2,2,－,－,－,－,－,－,－,－,8,－,8,－,126
多摩／稲城市,1,－,1,1,－,1,－,－,1,1,－,－,－,3,3,－,－,－
