発災場所を管轄する消防本部,事案数・計,事案数・普通応援で対応,事案数・特別応援で対応,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
令和元年,267,259,10,648,391,131,73,53,77,221,12,0,271,"2,590",883,"1,707"
川口市,4,4,0,20,7,2,7,4,1,5,0,0,0,83,22,61
秩父,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,14,12,2,35,22,8,1,4,9,19,1,0,13,142,78,64
草加八潮,3,3,0,6,4,2,0,0,1,2,0,0,0,22,7,15
戸田市,21,21,0,64,30,24,7,3,15,39,0,0,0,239,146,93
埼玉県南西部,35,34,1,73,48,19,3,3,9,21,1,0,150,284,76,208
三郷市,2,2,0,2,2,0,0,0,0,0,0,0,0,8,0,8
市川市,35,35,0,78,49,10,14,5,3,13,0,0,0,315,55,260
松戸市,18,18,0,35,25,2,6,2,0,0,0,0,0,143,0,143
浦安市,18,18,0,21,19,2,0,0,1,3,0,0,0,82,11,71
稲城市,5,5,0,21,11,1,4,5,2,5,8,0,35,89,46,43
横浜市,10,8,2,25,14,8,1,2,7,15,0,0,0,96,59,37
川崎市,89,85,5,222,136,37,27,22,21,73,2,0,73,913,287,626
相模原市,10,11,0,43,21,16,3,3,8,26,0,0,0,162,96,66
大和市,3,3,0,3,3,0,0,0,0,0,0,0,0,12,0,12
都留市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上野原市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
