用途,防火管理者を届出している防火対象物,防火管理者,防火管理者の選任届・解任届受理状況／選任,防火管理者の選任届・解任届受理状況／解任,共同防火管理協議事項を届出している防火対象物
計,84875,147544,23329,12501,16333
(一)／イ／劇場・映画館・演芸場又は観覧場,88,107,44,28,1
(一)／ロ／公会堂又は集会場,59,64,17,12,0
(二)／イ／キャバレー・カフェー・ナイトクラブ・その他これらに類するもの,73,291,39,13,1
(二)／ロ／遊技場又はダンスホール,509,836,205,93,6
(三)／イ／待合・料理店・その他これらに類するもの,326,387,48,18,0
(三)／ロ／飲食店,3289,6533,2002,910,132
(四)／百貨店・マーケット・その他の物品販売業を営む店舗又は展示場,2190,3960,1433,792,64
(五)／イ／旅館・ホテル又は宿泊所,1539,1657,321,191,17
(五)／ロ／寄宿舎・下宿又は共同住宅,18769,18565,3068,2019,399
(六)／イ／病院・診療所又は助産所,995,1260,244,168,8
(六)／ロ／各種福祉施設,1423,1597,317,246,1
(六)／ハ／幼稚園・盲学校・聾学校・養護学校,1032,1046,120,94,0
(七)／小学校・中学校・高等学校・高等専門学校・大学・専修学校・各種学校・その他これらに類するもの,3237,3296,881,679,2
(八)／図書館・博物館・美術館・その他これらに類するもの,227,248,50,40,0
(九)／イ／蒸気浴場・熱気浴場・その他これらに類するもの,240,264,46,19,1
(九)／ロ／公衆浴場,1592,1633,27,23,0
(十)／車両の停車場又は船舶若しくは航空機の発着場,152,167,107,100,0
(十一)／神社・寺院・協会・その他これらに類するもの,1018,1029,101,48,0
(十二)／イ／工場又は作業場,2117,2268,349,261,0
(十二)／ロ／映画スタジオ又はテレビスタジオ,15,32,11,15,0
(十三)／イ／自動車車庫又は駐車場,80,81,41,16,0
(十三)／ロ／飛行機又は回転翼航空機の格納庫,7,7,1,0,0
(十四)／倉庫,719,954,183,114,4
(十五)／その他の事業場,12418,24463,6559,3228,386
(十六)／イ／特定用途を含む複合用途,25240,63992,5955,2841,13051
(十六)／ロ／その他の複合用途,6954,11654,1040,430,2248
(十六の二)／地下街,13,816,97,82,10
(十六の三)／準地下街,0,0,0,0,2
(十七)／文化財建造物,33,29,3,1,0
条例該当,521,308,20,20,0
