ガス漏れ要因,火災件数／合計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者,火元建物等用途別火災件数／(三)ロ／飲食店,火元建物等用途別火災件数／(四)／物品販売店舗,火元建物等用途別火災件数／(五)ロ／共同住宅,火元建物等用途別火災件数／(十五)／その他の事業所,火元建物等用途別火災件数／複合用途の住宅部分,火元建物等用途別火災件数／住宅,火元建物等用途別火災件数／使用中の建物の工事部分,火元建物等用途別火災件数／建物以外
計,36,32,1,－,4,27,4,186,44464,3,26,10,2,4,5,3,6,2,4
器具等の取扱不適,7,7,1,－,－,6,－,60,18104,－,5,－,2,3,－,－,2,－,－
器具等の取扱不適／コックの誤操作,5,5,－,－,－,5,－,－,882,－,4,－,2,2,－,－,1,－,－
器具等の取扱不適／コックの誤操作／使用していない一口ガスのコックを開いた,2,2,－,－,－,2,－,－,36,－,－,－,－,2,－,－,－,－,－
器具等の取扱不適／コックの誤操作／ゴム管のみ接続してあるガス栓を開いた,1,1,－,－,－,1,－,－,55,－,1,－,－,－,－,－,1,－,－
器具等の取扱不適／コックの誤操作／使用中の器具栓を絞めるつもりで不使用側のコックを開いた,1,1,－,－,－,1,－,－,236,－,2,－,1,－,－,－,－,－,－
器具等の取扱不適／コックの誤操作／器具栓を完全に締めなかった,1,1,－,－,－,1,－,－,555,－,1,－,1,－,－,－,－,－,－
器具等の取扱不適／点火失点,1,1,－,－,－,1,－,－,18,－,－,－,－,1,－,－,－,－,－
器具等の取扱不適／その他,1,1,1,－,－,－,－,60,17204,－,1,－,－,－,－,－,1,－,－
維持管理不適,7,7,－,－,－,7,－,－,320,－,2,2,－,－,－,3,2,－,－
維持管理不適／ゴム管結合部の緩み,3,3,－,－,－,3,－,－,270,－,1,－,－,－,－,1,2,－,－
維持管理不適／ゴム管結合部の緩み／ホースバンドなし,1,1,－,－,－,1,－,－,232,－,1,－,－,－,－,1,－,－,－
維持管理不適／ゴム管結合部の緩み／ゴム管の差し込み不良,1,1,－,－,－,1,－,－,29,－,－,－,－,－,－,－,1,－,－
維持管理不適／ゴム管結合部の緩み／分岐金具の結合不良,1,1,－,－,－,1,－,－,16,－,－,－,－,－,－,－,1,－,－
維持管理不適／ゴム管等の老化亀裂,3,3,－,－,－,3,－,－,36,－,1,2,－,－,－,1,－,－,－
維持管理不適／ゴム管等の老化亀裂／ゴム管,1,1,－,－,－,1,－,－,3,－,－,－,－,－,－,1,－,－,－
維持管理不適／ゴム管等の老化亀裂／ガス管の腐食,2,2,－,－,－,2,－,－,33,－,1,2,－,－,－,－,－,－,－
維持管理不適／故障,1,1,－,－,－,1,－,－,7,－,－,－,－,－,－,1,－,－,－
維持管理不適／故障／器具栓,1,1,－,－,－,1,－,－,7,－,－,－,－,－,－,1,－,－,－
ガス関係工事人の行為,2,2,－,－,－,2,－,－,208,－,－,－,－,－,1,－,－,1,－
ガス関係工事人の行為／ガス配管工事等の不適切,2,2,－,－,－,2,－,－,208,－,－,－,－,－,1,－,－,1,－
その他,11,7,－,－,－,7,4,1,596,－,6,－,－,1,4,－,1,1,4
自殺,5,5,－,－,3,2,－,77,14493,3,8,4,－,－,－,－,1,－,－
その他意図的に放出,4,4,－,－,1,3,－,48,10743,－,5,4,－,－,－,－,－,－,－
