事故種別,内容,救急搬送人員（人）,,,,
ころぶ,階段,76,,,,
ころぶ,机・テーブル,66,,,,
ころぶ,その他の家具,63,,,,
ころぶ,椅子,52,,,,
ころぶ,自転車,48,,,,
落ちる,階段,140,,,,
落ちる,椅子,90,,,,
落ちる,ソファ,57,,,,
落ちる,ベッド,55,,,,
落ちる,自転車の補助イス,50,,,,
ぶつかる,机・テーブル,72,,,,
ぶつかる,その他の家具,41,,,,
ぶつかる,人,31,,,,
ぶつかる,手動ドア,30,,,,
ぶつかる,壁・天井,25,,,,
ものがつまる等,その他の玩具,40,,,,
ものがつまる等,ビー玉類,28,,,,
ものがつまる等,魚等の骨,25,,,,
ものがつまる等,アメ玉類,23,,,,
ものがつまる等,食物,11,,,,
はさむ・はさまれる,手動ドア,37,,,,
はさむ・はさまれる,自転車,25,,,,
はさむ・はさまれる,自動車のドア,5,,,,
はさむ・はさまれる,その他の玩具,5,,,,
はさむ・はさまれる,椅子,3,,,,
やけど,カップ麺,19,,,,
やけど,味噌汁・スープ,13,,,,
やけど,メン類,10,,,,
やけど,お茶・コーヒー類,9,,,,
やけど,鍋,8,,,,
切る・刺さる,ナイフ,23,,,,
切る・刺さる,ハサミ・爪切り,10,,,,
切る・刺さる,歯ブラシ,10,,,,
切る・刺さる,針・ヘアピン・釘等,6,,,,
切る・刺さる,筆記具,3,,,,
かまれる・刺される,動物等,9,,,,
かまれる・刺される,虫,7,,,,
おぼれる,浴槽,1,,,,
おぼれる,海,1,,,,
