政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成27年,1028,12,18,177,821,"1,110",14,21,198,877,529,51,38,440,966,"4,773","1,052,907,387",25,251
平成28年,990,6,18,145,821,"1,036",8,20,159,849,488,35,37,416,824,"4,173","933,629,761",9,228
平成29年,1035,14,14,164,843,"1,117",18,18,189,892,579,42,64,473,994,"6,148","1,607,909,740",18,226
平成30年,988,5,23,155,805,"1,062",5,28,182,847,552,53,62,437,981,"4,476","915,426,048",23,206
令和元年,"1,151",2,26,173,950,"1,204",3,26,192,983,616,70,61,485,946,"3,682","1,104,228,700",33,211
政令用途からの出火,883,1,13,144,725,912,1,12,155,744,443,54,35,354,666,"2,191","855,028,604",19,170
一項・イ・劇場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
一項・イ・観覧場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,9350,0,0
二項・イ・カフェー,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,800,0,0
二項・イ・その他（２項イ）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2000,0,0
二項・ロ・遊技場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,100,0,0
二項・ロ・ダンスホール,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"3,200",0,0
二項・ハ・性風俗特殊店舗,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,300,0,0
二項・ニ・カラオケボックス等,5,0,0,2,3,5,0,0,2,3,0,0,0,0,0,2,"10,691,100",0,1
三項・ロ・飲食店,312,0,1,61,250,320,0,1,62,257,23,0,0,23,43,491,"293,329,927",1,65
四項・百貨店,9,0,0,0,9,9,0,0,0,9,0,0,0,0,0,0,"59,150",0,1
四項・マーケット,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,7547,0,0
四項・物品販売店舗,77,0,2,3,72,82,0,1,5,76,9,1,0,8,22,166,"34,138,452",1,9
四項・展示場,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,"136,900",0,0
五項・イ・ホテル,13,0,0,1,12,13,0,0,1,12,0,0,0,0,0,0,"19,463,500",0,0
五項・ロ・寄宿舎,4,0,0,1,3,4,0,0,1,3,10,2,2,6,10,45,"3,870,500",0,1
五項・ロ・共同住宅,227,0,9,54,164,240,0,9,60,171,375,48,32,295,543,1152,"359,669,854",15,66
六項・イ・(3)・病院（特定病院以外）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"12,980",0,0
六項・イ・(4)・診療所（患者入院施設を有しないもの）,7,0,0,2,5,7,0,0,2,5,0,0,0,0,0,20,"4,237,400",0,1
六項・ロ・(1)・特別養護老人ホーム,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,8500,0,0
六項・ロ・(1)・有料老人ホーム（要介護者入居）,2,0,0,0,2,2,0,0,0,2,1,0,0,1,1,0,59300,0,0
六項・ハ・(3)・保育所,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
六項・ハ・(5)・共同生活援助施設（避難困難者入所以外）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,50,0,0
七項・その他の学校,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,500,0,0
七項・専修学校,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,100,0,0
八項・美術館,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,"400,150",0,0
九項・ロ・公衆浴場,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,4,262000,0,3
十項・停車場,6,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,"4,210",0,0
十項・航空機の発着場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"160,000",0,0
十二項・イ・工場,3,0,0,1,2,3,0,0,1,2,1,0,0,1,1,0,"63,500",0,0
十二項・イ・作業場,26,0,0,6,20,26,0,0,6,20,9,0,1,8,17,75,"20,921,564",0,5
十二項・ロ・テレビスタジオ,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,500,0,0
十三項・イ・車庫,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"1,000",0,0
十三項・イ・駐車場,10,0,0,0,10,10,0,0,0,10,0,0,0,0,0,0,"2,307,700",0,4
十四項・倉庫,4,0,0,3,1,4,0,0,3,1,0,0,0,0,0,0,"978,300",0,0
十五項・変電所,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,"9,800",0,0
十五項・官公署,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,14690,0,0
十五項・事務所,110,0,1,4,105,110,0,1,4,105,9,2,0,7,16,112,"33,307,014",0,10
十五項・その他の事業所,35,1,0,4,30,38,1,0,6,31,6,1,0,5,13,124,70896666,2,4
政令用途以外から出火,268,1,13,29,225,292,2,14,37,239,173,16,26,131,280,1491,249200096,14,41
複合用途建物の住宅部分,110,1,12,23,74,132,2,13,30,87,160,16,20,124,257,1392,210254919,14,37
使用中建物の空室部分,3,0,0,0,3,3,0,0,0,3,1,0,0,1,1,0,6500,0,0
使用中建物の工事部分,6,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,3200,0,0
複合用途建物の共用部分,149,0,1,6,142,151,0,1,7,143,12,0,6,6,22,99,38935477,0,4
