月別,計,大島,利島,新島,式根島,神津島,三宅島,御蔵島,八丈島,青ヶ島,その他
平成27年件数,343,73,4,19,15,23,60,2,31,1,115
平成27年輸送人員,263,68,4,19,15,19,55,1,28,1,53
平成28年件数,391,69,8,24,5,23,42,2,51,2,165
平成28年件数,282,67,7,23,5,20,39,2,46,2,71
平成29年件数,423,59,5,31,3,20,39,3,37,2,224
平成29年輸送人員,274,57,5,31,3,19,37,3,34,2,83
平成30年件数,466,82,4,21,7,20,34,7,42,1,248
平成30年輸送人員,264,73,4,22,6,18,31,5,38,1,66
令和元年件数,418,62,8,29,8,22,40,5,44,6,194
令和元年輸送人員,252,55,7,25,8,19,38,4,35,6,55
1月件数,51,7,2,3,0,0,5,2,3,1,28
1月輸送人員,24,6,1,2,0,0,5,1,3,1,5
2月件数,28,2,0,2,1,0,2,0,4,1,16
2月輸送人員,20,2,0,2,1,0,2,0,3,1,9
3月件数,27,6,0,3,2,1,2,0,2,0,11
3月輸送人員,16,5,0,3,2,1,1,0,2,0,2
4月件数,42,1,0,4,0,2,4,1,8,0,22
4月輸送人員,24,1,0,3,0,1,4,1,5,0,9
5月件数,46,7,0,3,1,3,9,0,1,0,22
5月輸送人員,28,7,0,3,1,3,8,0,1,0,5
6月件数,24,3,0,2,0,0,3,0,5,0,11
6月輸送人員,14,3,0,2,0,0,3,0,4,0,2
7月件数,37,3,0,1,1,4,3,0,4,1,20
7月輸送人員,21,3,0,1,1,4,3,0,4,1,4
8月件数,48,12,0,1,1,2,3,1,12,0,16
8月輸送人員,32,9,0,1,1,2,3,1,9,0,6
9月件数,26,4,0,3,0,3,3,0,2,0,11
9月輸送人員,19,3,0,2,0,2,3,0,2,0,7
10月件数,28,5,2,2,0,1,3,0,2,0,13
10月輸送人員,14,4,2,1,0,1,3,0,1,0,2
11月件数,20,3,2,3,0,1,0,1,0,1,9
11月輸送人員,13,3,2,3,0,1,0,1,0,1,2
12月件数,41,9,2,2,2,5,3,0,1,2,15
12月輸送人員,27,9,2,2,2,4,3,0,1,2,2
