用途,火災件数／計,火災件数／全焼,火災件数／半焼,火災件数／部分焼,火災件数／ぼや,焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,り災人員,焼損床面積(m2),損害額(千円),死者,傷者
計,3698,272,234,271,2921,4978,385,314,332,3947,4255,652,403,3200,10957,58425,13357277,98,949
政令用途,2554,99,118,217,2120,3072,131,148,250,2543,2512,380,228,1904,5646,31878,8583478,50,584
(二)／ロ／遊技場,4,－,－,－,4,4,－,－,－,4,－,－,－,－,－,－,1682,－,－
(三)／ロ／飲食店,50,2,4,2,42,65,2,9,2,52,8,－,2,6,20,272,71287,－,11
(四)／百貨店,12,－,－,－,12,12,－,－,－,12,－,－,－,－,－,－,2261,－,2
(四)／物品販売店舗,10,2,2,－,6,19,2,3,1,13,4,－,1,3,16,880,197446,－,5
(四)／展示場,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,2,123,－,－
(五)／イ／旅館,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,71,－,－
(五)／イ／ホテル,6,－,－,－,6,6,－,－,－,6,－,－,－,－,－,－,637,－,－
(五)／イ／宿泊所,4,－,－,－,4,4,－,－,－,4,－,－,－,－,－,－,32,－,1
(五)／ロ／寄宿舎,41,5,5,4,27,56,6,5,5,40,109,44,10,55,179,862,129432,－,12
(五)／ロ／共同住宅,766,8,24,73,661,840,8,25,75,732,1036,133,78,825,2217,4312,1001902,19,179
(六)／イ／病院,14,－,－,－,14,14,－,－,－,14,2,－,－,2,2,－,3519,1,1
(六)／イ／診療所,1,－,－,1,－,1,－,－,1,－,－,－,－,－,－,10,11206,－,4
(六)／ロ／老人福祉施設,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,－,6,－,－
(六)／ロ／救護施設,1,－,－,－,1,1,－,－,－,1,1,－,－,1,2,－,1542,－,－
(六)／ロ／児童福祉施設,2,－,－,－,2,2,－,－,－,2,1,－,－,1,4,－,109,－,1
(六)／ハ／幼稚園,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－
(七)／小学校,11,－,－,－,11,11,－,－,－,11,－,－,－,－,－,－,1011,－,2
(七)／中学校,14,－,－,－,14,14,－,－,－,14,－,－,－,－,－,－,201,－,－
(七)／高等学校,7,－,－,2,5,8,－,－,2,6,－,－,－,－,－,218,84438,－,2
(七)／大学,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,－,2066,－,－
(八)／その他これらの類,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,300,－,－
(九)／イ／蒸気浴場,1,－,－,－,1,2,－,－,－,2,1,－,－,1,2,－,110,－,－
(九)／ロ／公衆浴場,3,－,－,－,3,3,－,－,－,3,3,－,－,3,14,3,264,－,2
(十)／停車場,10,－,－,－,10,10,－,－,－,10,－,－,－,－,－,3,6850,－,－
(十一)／神社,7,－,－,－,7,7,－,－,－,7,3,－,－,3,8,－,235,－,－
(十一)／寺院,4,2,－,－,2,5,2,－,1,2,3,1,2,－,6,910,421418,－,－
(十一)／教会,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,－,35,－,－
(十二)／イ／工場,35,2,2,3,28,43,2,2,3,36,3,－,－,3,13,1157,236323,－,14
(十二)／イ／作業楊,128,21,9,12,86,237,39,17,18,163,90,14,12,64,256,7042,1563767,－,36
(十二)／ロ／映画スタジオ,2,－,1,－,1,2,－,1,－,1,－,－,－,－,－,721,125270,1,26
(十二)／ロ／テレビスタジオ,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,40,－,－
(十三)／イ／車庫,12,－,－,－,12,14,－,－,－,14,1,－,－,1,5,－,2711,－,－
(十三)／イ／駐車場,3,－,1,－,2,6,－,1,－,5,1,－,－,1,4,30,3551,－,－
(十四)／倉庫,61,20,3,3,35,105,25,4,3,73,18,－,－,18,66,1260,228819,－,1
(十五)／発電所,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,300,－,－
(十五)／官公署,6,－,－,－,6,6,－,－,－,6,－,－,－,－,－,－,1134,－,－
(十五)／銀行,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,21,－,－
(十五)／事務所,48,5,3,5,35,65,8,3,6,48,21,1,－,20,60,976,759268,－,6
(十五)／研究所,3,－,－,－,3,3,－,－,－,3,－,－,－,－,－,－,693,－,－
(十五)／その他の事業場,64,4,1,－,59,70,6,3,－,61,4,1,－,3,7,933,142552,1,1
(十六)／イ／複合用途建物(特定用途),614,9,21,53,531,689,9,26,62,592,397,55,47,295,1004,4779,1580850,8,121
(十六)／ロ／複合用途建物(非特定用途),596,19,42,59,476,734,22,49,71,592,806,131,76,599,1761,7508,1999994,20,157
政令用途以外,1144,173,116,54,801,1906,254,166,82,1404,1743,272,175,1296,5311,26547,4773799,48,365
政令用途以外／住宅,955,126,102,42,685,1545,182,142,63,1158,1585,234,161,1190,4900,19529,3969934,47,339
政令用途以外／住宅の付属家,60,23,3,－,34,114,31,5,－,78,39,5,1,33,128,1138,88803,1,5
政令用途以外／空家,51,16,7,7,21,108,24,11,11,62,52,17,6,29,123,3797,367425,－,10
政令用途以外／使用中建物の空家部分,6,2,1,1,2,26,6,3,1,16,17,4,3,10,46,511,39612,－,1
政令用途以外／工事中の建物,63,6,2,4,51,100,11,4,7,78,42,12,3,27,88,1548,295896,－,7
政令用途以外／使用中建物の工事部分,9,－,1,－,8,13,－,1,－,12,8,－,1,7,26,24,12129,－,3
