"救急隊出場先
区市町村","全事故
種別",ころぶ,落ちる,ぶつかる,"ものが
つまる等","切る・
刺さる","はさむ・
はさまれる",やけど,"かまれる・
刺される",おぼれる,その他,不明
全出場先,127382 ,74004 ,14253 ,5985 ,3238 ,2952 ,1692 ,1143 ,589 ,534 ,17829 ,5163 
千代田区,1810 ,999 ,316 ,97 ,25 ,42 ,31 ,12 ,7 ,4 ,225 ,52 
中央区,1860 ,1053 ,270 ,93 ,43 ,58 ,40 ,16 ,5 ,6 ,219 ,57 
港区,3323 ,1842 ,445 ,185 ,67 ,100 ,69 ,33 ,15 ,6 ,434 ,127 
品川区,3683 ,2213 ,387 ,168 ,79 ,73 ,50 ,29 ,9 ,12 ,542 ,121 
大田区,6819 ,3943 ,765 ,287 ,146 ,147 ,112 ,53 ,24 ,29 ,927 ,386 
目黒区,2333 ,1376 ,264 ,127 ,47 ,62 ,40 ,15 ,10 ,2 ,308 ,82 
世田谷区,7550 ,4376 ,825 ,380 ,215 ,196 ,89 ,78 ,19 ,40 ,1038 ,294 
渋谷区,2814 ,1520 ,357 ,191 ,39 ,83 ,42 ,28 ,13 ,10 ,422 ,109 
新宿区,4671 ,2565 ,634 ,247 ,86 ,121 ,73 ,54 ,10 ,10 ,667 ,204 
中野区,2863 ,1675 ,323 ,132 ,74 ,66 ,25 ,31 ,7 ,13 ,396 ,121 
杉並区,4650 ,2749 ,533 ,196 ,133 ,107 ,48 ,49 ,14 ,25 ,606 ,190 
文京区,1876 ,1059 ,215 ,101 ,56 ,43 ,25 ,26 ,7 ,8 ,261 ,75 
豊島区,3239 ,1817 ,391 ,171 ,61 ,83 ,37 ,30 ,7 ,4 ,479 ,159 
北区,3630 ,2245 ,349 ,142 ,82 ,63 ,49 ,31 ,11 ,18 ,471 ,169 
板橋区,5109 ,3086 ,484 ,228 ,134 ,118 ,59 ,52 ,21 ,18 ,672 ,237 
練馬区,6033 ,3597 ,661 ,240 ,166 ,141 ,56 ,54 ,24 ,12 ,847 ,235 
台東区,2804 ,1611 ,362 ,122 ,42 ,62 ,31 ,19 ,10 ,14 ,408 ,123 
荒川区,2185 ,1268 ,234 ,91 ,65 ,49 ,36 ,23 ,9 ,17 ,308 ,85 
